run_id,preset,variant,seed,p_obs,prototype_lr_scale,init_noise,prototype_update_every_q,target_interaction_budget,num_interaction_events_executed,num_rounds_executed,final_matched_cross_entropy,final_mce,final_belief_entropy,final_belief_argmax_accuracy,final_prototype_gap,prototype_update_count
init_noise/seed_0/init_noise_0p05/seed_0,init_noise_recovery_sweep,init_noise_0p05,0,1.0,22.0,0.05,15,,363,40,1.459161161557542,0.729580580778771,0.6931232316692205,0.45263157894736844,0.0016307726960109181,25
init_noise/seed_1/init_noise_0p05/seed_1,init_noise_recovery_sweep,init_noise_0p05,1,1.0,22.0,0.05,15,,385,40,1.3861425786860067,0.6930712893430033,0.6917037461581863,0.5078947368421053,0.004115296344374297,26
k_latent/seed_0/K_2/seed_0,k_latent_recovery_sweep,K_2,0,1.0,22.0,0.05,15,,363,40,1.459161161557542,0.729580580778771,0.6931232316692205,0.45263157894736844,0.0016307726960109181,25
k_latent/seed_1/K_2/seed_1,k_latent_recovery_sweep,K_2,1,1.0,22.0,0.05,15,,385,40,1.3861425786860067,0.6930712893430033,0.6917037461581863,0.5078947368421053,0.004115296344374297,26
q_recovery/seed_0/Q_1/seed_0,q_recovery_sweep,Q_1,0,1.0,22.0,0.05,1,,363,40,1.3882003386733937,0.6941001693366968,0.6931448408105152,0.7789473684210526,0.0001582770855073079,363
q_recovery/seed_0/Q_2/seed_0,q_recovery_sweep,Q_2,0,1.0,22.0,0.05,2,,363,40,1.3906072149489555,0.6953036074744777,0.6931437314438802,0.7526315789473684,0.0003084255275274117,182
q_recovery/seed_1/Q_1/seed_1,q_recovery_sweep,Q_1,1,1.0,22.0,0.05,1,,385,40,1.38696764063324,0.69348382031662,0.69304353432636,0.7894736842105263,0.0024798624933594637,385
q_recovery/seed_1/Q_2/seed_1,q_recovery_sweep,Q_2,1,1.0,22.0,0.05,2,,385,40,1.3809580170938478,0.6904790085469239,0.6929018160495393,0.7631578947368421,0.003930454867487498,193
sparse/seed_0/p_obs_0p5/seed_0,sparse_pobs_sweep,p_obs_0p5,0,0.5,22.0,0.05,15,,384,40,1.3901594990184614,0.6950797495092307,0.6931469316119467,0.6473684210526316,5.742534619768147e-05,26
sparse/seed_0/p_obs_1p0/seed_0,sparse_pobs_sweep,p_obs_1p0,0,1.0,22.0,0.05,15,,363,40,1.459161161557542,0.729580580778771,0.6931232316692205,0.45263157894736844,0.0016307726960109181,25
sparse/seed_1/p_obs_0p5/seed_1,sparse_pobs_sweep,p_obs_0p5,1,0.5,22.0,0.05,15,,358,40,1.3891205647492506,0.6945602823746253,0.6930676270989352,0.4631578947368421,0.00010468896966930874,24
sparse/seed_1/p_obs_1p0/seed_1,sparse_pobs_sweep,p_obs_1p0,1,1.0,22.0,0.05,15,,385,40,1.3861425786860067,0.6930712893430033,0.6917037461581863,0.5078947368421053,0.004115296344374297,26
