belief_updates_enabled,belief_variant,experiment,final_mce,focal_mean_payoff_per_round,mean_payoff_per_agent_per_round,metrics_num_true_types,num_prototypes,observability,p_obs,payoff_game,run_dir,seed
True,,k_misspec,0.7136558395112778,1.247,1.9788192128085391,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_0,0
True,,k_misspec,0.728419236132658,1.257,1.9907038512616202,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_1,1
True,,k_misspec,0.751977704613291,1.232,1.936063936063936,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_2,2
True,,k_misspec,0.7473390772563057,1.3365,1.969702042182792,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_3,3
True,,k_misspec,0.7403024166349125,1.2825,1.9567468269873078,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_4,4
True,,k_misspec,0.7525396027481751,1.2965,1.9731610337972167,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_5,5
True,,k_misspec,0.7651695489703516,1.2235,1.9486531986531987,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_6,6
True,,k_misspec,0.7448998349938404,1.278,1.946969696969697,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_7,7
True,,k_misspec,0.7402867507165218,1.216,1.9599733155436958,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_8,8
True,,k_misspec,0.7668094159719296,1.197,1.958444592790387,2,1,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_1/seed_9,9
True,,k_misspec,0.03139995174459945,1.247,1.9898299433144382,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_0,0
True,,k_misspec,0.02983589983006553,1.264,1.999003984063745,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_1,1
True,,k_misspec,0.032668629439696555,1.2365,1.944055944055944,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_2,2
True,,k_misspec,0.029530832255825853,1.3365,1.9854368932038835,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_3,3
True,,k_misspec,0.034406249418675275,1.2835,1.9662545940527898,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_4,4
True,,k_misspec,0.02983608201916665,1.2905,1.9885723749585955,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_5,5
True,,k_misspec,0.028566601958913515,1.2265,1.9601278600269179,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp2_k_misspec/k_model_2/seed_6,6
