method,metric,metric_defined,n,mean,ci95_low,ci95_high
ESL,post_switch_oracle_regret,true,30,96.70159166666666,76.62483371355069,116.77834961978263
ESL,prediction_regret,true,30,74.27626340798585,69.86239475119304,78.69013206477867
ESL,latent_identification_error,true,30,3.289197301157498,3.108504171246391,3.4698904310686056
ESL,early_adaptation_gap_auc,true,30,40.948441666666675,31.361776772793615,50.53510656053973
PPO,post_switch_oracle_regret,true,30,268.93492499999996,220.99828855187621,316.8715614481237
PPO,prediction_regret,true,30,88.72768713346751,83.22259960400055,94.23277466293447
PPO,latent_identification_error,false,,,,
PPO,early_adaptation_gap_auc,true,30,90.34844166666669,65.47773775584145,115.21914557749193
FP,post_switch_oracle_regret,true,30,187.86825833333333,161.07016345502709,214.66635321163957
FP,prediction_regret,true,30,103.03346798443798,95.64979003050533,110.41714593837062
FP,latent_identification_error,false,,,,
FP,early_adaptation_gap_auc,true,30,51.515108333333345,43.052295813303374,59.977920853363315
SOM,post_switch_oracle_regret,true,30,159.934925,139.64604028390772,180.22380971609226
SOM,prediction_regret,true,30,85.50261084681824,80.93219440290484,90.07302729073164
SOM,latent_identification_error,false,,,,
SOM,early_adaptation_gap_auc,true,30,53.81510833333334,45.73537896115291,61.89483770551377
Fixed-K Bayesian,post_switch_oracle_regret,true,30,131.46825833333332,102.56015673571935,160.3763599309473
Fixed-K Bayesian,prediction_regret,true,30,102.08083282605702,96.05744514629436,108.10422050581968
Fixed-K Bayesian,latent_identification_error,true,30,3.644056442396203,3.4686141275384346,3.819498757253972
Fixed-K Bayesian,early_adaptation_gap_auc,true,30,45.481775000000006,35.43671614288051,55.5268338571195
Online EM,post_switch_oracle_regret,true,30,149.56825833333332,115.93745520106657,183.19906146560007
Online EM,prediction_regret,true,30,86.9728815467482,80.2522140607434,93.693549032753
Online EM,latent_identification_error,true,30,1.0986122886681016,1.0986122886680847,1.0986122886681184
Online EM,early_adaptation_gap_auc,true,30,39.74844166666667,30.393608789100345,49.103274544233
