method,metric,n,mean,ci95_low,ci95_high
ESL,psr,30,101.26825833333332,81.94490001518672,120.59161665147992
ESL,dpr,30,73.9117664219312,69.790439493185,78.0330933506774
ESL,lte_postswitch_mean,30,3.300748754611253,3.1217615831062333,3.479735926116273
ESL,early_gap_auc,30,1.0758678310292706,0.8446856405485315,1.3070500215100098
No-Sharing,psr,30,129.234925,101.24868226473075,157.22116773526926
No-Sharing,dpr,30,89.90022499053707,85.36641633862527,94.43403364244887
No-Sharing,lte_postswitch_mean,30,3.6591528687585693,3.4102105463308976,3.908095191186241
No-Sharing,early_gap_auc,30,1.163707974059937,0.8846355845085171,1.442780363611357
Fixed-K Bayesian,psr,30,132.86825833333333,104.50296071649805,161.2335559501686
Fixed-K Bayesian,dpr,30,102.08083282605702,96.05744514629436,108.10422050581968
Fixed-K Bayesian,lte_postswitch_mean,30,3.644056442396203,3.4686141275384346,3.819498757253972
Fixed-K Bayesian,early_gap_auc,30,1.1517191788600392,0.8704125962575586,1.4330257614625197
No-Belief,psr,30,150.334925,115.85639591086934,184.81345408913066
No-Belief,dpr,30,87.09367667046239,80.39315716588412,93.79419617504065
No-Belief,lte_postswitch_mean,30,1.09861228866811,1.0986122886681098,1.0986122886681102
No-Belief,early_gap_auc,30,1.1033594299239504,0.8330592893084705,1.3736595705394303
Online EM,psr,30,153.90159166666666,118.36185973616489,189.44132359716843
Online EM,dpr,30,86.9728815467482,80.2522140607434,93.693549032753
Online EM,lte_postswitch_mean,30,1.0986122886681016,1.0986122886680845,1.0986122886681187
Online EM,early_gap_auc,30,1.1083313664159564,0.8267047799923045,1.3899579528396084
