task,regime,method,status,n,mean,std,ci95_low,ci95_high
ipd,adaptive_agents,ESL,READY,2,1.6666666666666665,0.47140452079103173,-2.568734912144033,5.902068245477366
ipd,adaptive_agents,Independent PPO,READY,2,0.9583333333333334,0.29462782549439487,-1.6887926534233535,3.6054593200900205
ipd,adaptive_agents,Simple Opponent Model,APPENDIX_ONLY,2,1.75,0.7071067811865476,-4.603102368216048,8.103102368216048
ipd,belief_conditioned_agents,ESL,READY,2,1.5833333333333335,0.5892556509887895,-3.7109186401800387,6.877585306846706
ipd,belief_conditioned_agents,Independent PPO,READY,2,0.6666666666666666,0.4714045207910317,-3.568734912144032,4.902068245477365
ipd,belief_conditioned_agents,Simple Opponent Model,APPENDIX_ONLY,2,1.625,0.5303300858899106,-3.1398267761620353,6.389826776162035
ipd,fixed_types,ESL,READY,2,2.5833333333333335,0.3535533905932738,-0.5932178507746904,5.759884517441357
ipd,fixed_types,Independent PPO,READY,2,2.416666666666667,0.47140452079103157,-1.8187349121440297,6.652068245477364
ipd,fixed_types,Simple Opponent Model,APPENDIX_ONLY,2,2.666666666666667,0.47140452079103157,-1.5687349121440297,6.902068245477364
matching_pennies,adaptive_agents,ESL,READY,2,0.08333333333333333,0.3535533905932738,-3.0932178507746904,3.2598845174413573
matching_pennies,adaptive_agents,Independent PPO,READY,2,0.08333333333333331,0.8249579113843053,-7.328619429585387,7.495286096252053
matching_pennies,adaptive_agents,Simple Opponent Model,APPENDIX_ONLY,2,0.3333333333333333,0.23570226039551584,-1.784367456072016,2.4510341227386827
matching_pennies,belief_conditioned_agents,ESL,READY,2,0.08333333333333334,0.5892556509887895,-5.210918640180039,5.377585306846705
matching_pennies,belief_conditioned_agents,Independent PPO,READY,2,0.16666666666666666,0.23570226039551584,-1.9510341227386825,2.2843674560720157
matching_pennies,belief_conditioned_agents,Simple Opponent Model,APPENDIX_ONLY,2,0.16666666666666666,0.7071067811865476,-6.186435701549381,6.519769034882715
matching_pennies,fixed_types,ESL,READY,2,0.08333333333333334,0.5892556509887895,-5.210918640180039,5.377585306846705
matching_pennies,fixed_types,Independent PPO,READY,2,-0.41666666666666663,0.35355339059327373,-3.59321785077469,2.759884517441357
matching_pennies,fixed_types,Simple Opponent Model,APPENDIX_ONLY,2,-0.16666666666666666,0.23570226039551584,-2.2843674560720157,1.9510341227386825
stag_hunt,adaptive_agents,ESL,READY,2,2.0,0.0,2.0,2.0
stag_hunt,adaptive_agents,Independent PPO,READY,2,1.6666666666666665,0.7071067811865474,-4.68643570154938,8.019769034882712
stag_hunt,adaptive_agents,Simple Opponent Model,APPENDIX_ONLY,2,1.9583333333333335,0.17677669529663703,0.37005774127932023,3.5466089253873467
stag_hunt,belief_conditioned_agents,ESL,READY,2,1.8333333333333335,0.3535533905932739,-1.3432178507746912,5.009884517441359
stag_hunt,belief_conditioned_agents,Independent PPO,READY,2,1.6666666666666665,0.23570226039551578,-0.4510341227386818,3.784367456072015
stag_hunt,belief_conditioned_agents,Simple Opponent Model,APPENDIX_ONLY,2,1.8333333333333335,0.11785113019775798,0.7744829386306584,2.8921837280360085
stag_hunt,fixed_types,ESL,READY,2,2.041666666666667,0.058925565098879064,1.5122414693153288,2.571091864018005
stag_hunt,fixed_types,Independent PPO,READY,2,2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335
stag_hunt,fixed_types,Simple Opponent Model,APPENDIX_ONLY,2,2.666666666666667,0.11785113019775781,1.6078162719639935,3.7255170613693407
