run_id,preset,variant,seed,p_obs,prototype_lr_scale,init_noise,prototype_update_every_q,target_interaction_budget,num_interaction_events_executed,num_rounds_executed,final_matched_cross_entropy,final_mce,final_belief_entropy,final_belief_argmax_accuracy,final_prototype_gap,prototype_update_count
init_noise/seed_0/init_noise_0p01/seed_0,init_noise_recovery_sweep,init_noise_0p01,0,1.0,22.0,0.01,15,,50140,5000,0.05021635025322167,0.025108175126610836,0.0980391132797322,1.0,0.9504088269228363,3343
init_noise/seed_0/init_noise_0p05/seed_0,init_noise_recovery_sweep,init_noise_0p05,0,1.0,22.0,0.05,15,,50140,5000,0.048031663960413445,0.024015831980206723,0.0980391132797322,1.0,0.9525405067331635,3343
init_noise/seed_0/init_noise_0p1/seed_0,init_noise_recovery_sweep,init_noise_0p1,0,1.0,22.0,0.1,15,,50140,5000,0.0469658382923866,0.0234829191461933,0.0980391132797322,1.0,0.95358131793455,3343
init_noise/seed_1/init_noise_0p01/seed_1,init_noise_recovery_sweep,init_noise_0p01,1,1.0,22.0,0.01,15,,49690,5000,0.04646810991203696,0.02323405495601848,0.0980391132797322,1.0,0.9540675640943413,3313
init_noise/seed_1/init_noise_0p05/seed_1,init_noise_recovery_sweep,init_noise_0p05,1,1.0,22.0,0.05,15,,49690,5000,0.045654592416823146,0.022827296208411573,0.0980391132797322,1.0,0.9548625609285679,3313
init_noise/seed_1/init_noise_0p1/seed_1,init_noise_recovery_sweep,init_noise_0p1,1,1.0,22.0,0.1,15,,49690,5000,0.04569117018770141,0.022845585093850707,0.0980391132797322,1.0,0.9548268091836544,3313
init_noise/seed_2/init_noise_0p01/seed_2,init_noise_recovery_sweep,init_noise_0p01,2,1.0,22.0,0.01,15,,49817,5000,0.04577190490047136,0.02288595245023568,0.0980391132797322,1.0,0.9547479179448617,3322
init_noise/seed_2/init_noise_0p05/seed_2,init_noise_recovery_sweep,init_noise_0p05,2,1.0,22.0,0.05,15,,49817,5000,0.04472801836045254,0.02236400918022627,0.0980391132797322,1.0,0.9557684530782083,3322
init_noise/seed_2/init_noise_0p1/seed_2,init_noise_recovery_sweep,init_noise_0p1,2,1.0,22.0,0.1,15,,49817,5000,0.04431870717629268,0.02215935358814634,0.0980391132797322,1.0,0.9561687547067308,3322
init_noise/seed_3/init_noise_0p01/seed_3,init_noise_recovery_sweep,init_noise_0p01,3,1.0,22.0,0.01,15,,50091,5000,0.04498554558720638,0.02249277279360319,0.0980391132797322,1.0,0.9555166369366856,3340
init_noise/seed_3/init_noise_0p05/seed_3,init_noise_recovery_sweep,init_noise_0p05,3,1.0,22.0,0.05,15,,50091,5000,0.04414324659235303,0.022071623296176516,0.0980391132797322,1.0,0.9563403806581298,3340
init_noise/seed_3/init_noise_0p1/seed_3,init_noise_recovery_sweep,init_noise_0p1,3,1.0,22.0,0.1,15,,50091,5000,0.044113520930179735,0.022056760465089868,0.0980391132797322,1.0,0.9563694571821462,3340
init_noise/seed_4/init_noise_0p01/seed_4,init_noise_recovery_sweep,init_noise_0p01,4,1.0,22.0,0.01,15,,50155,5000,0.04608890365431073,0.023044451827155366,0.0980391132797322,1.0,0.9544381391520329,3344
init_noise/seed_4/init_noise_0p05/seed_4,init_noise_recovery_sweep,init_noise_0p05,4,1.0,22.0,0.05,15,,50155,5000,0.04507450056076648,0.02253725028038324,0.0980391132797322,1.0,0.9554296846940039,3344
init_noise/seed_4/init_noise_0p1/seed_4,init_noise_recovery_sweep,init_noise_0p1,4,1.0,22.0,0.1,15,,50155,5000,0.04474244945715537,0.022371224728577686,0.0980391132797322,1.0,0.9557543646422427,3344
init_noise/seed_5/init_noise_0p01/seed_5,init_noise_recovery_sweep,init_noise_0p01,5,1.0,22.0,0.01,15,,49968,5000,0.04631149179463279,0.023155745897316397,0.0980391132797322,1.0,0.9542205896068073,3332
init_noise/seed_5/init_noise_0p05/seed_5,init_noise_recovery_sweep,init_noise_0p05,5,1.0,22.0,0.05,15,,49968,5000,0.04526327555790535,0.022631637778952676,0.0980391132797322,1.0,0.9552450821176365,3332
init_noise/seed_5/init_noise_0p1/seed_5,init_noise_recovery_sweep,init_noise_0p1,5,1.0,22.0,0.1,15,,49968,5000,0.044866472509452845,0.022433236254726423,0.0980391132797322,1.0,0.9556330444134533,3332
init_noise/seed_6/init_noise_0p01/seed_6,init_noise_recovery_sweep,init_noise_0p01,6,1.0,22.0,0.01,15,,49901,5000,0.049252966437462145,0.024626483218731073,0.0980391132797322,1.0,0.951348614746802,3327
init_noise/seed_6/init_noise_0p05/seed_6,init_noise_recovery_sweep,init_noise_0p05,6,1.0,22.0,0.05,15,,49901,5000,0.0468908935552663,0.02344544677763315,0.0980391132797322,1.0,0.9536546030008104,3327
init_noise/seed_6/init_noise_0p1/seed_6,init_noise_recovery_sweep,init_noise_0p1,6,1.0,22.0,0.1,15,,49901,5000,0.045907690415299005,0.022953845207649502,0.0980391132797322,1.0,0.9546152619432128,3327
init_noise/seed_7/init_noise_0p01/seed_7,init_noise_recovery_sweep,init_noise_0p01,7,1.0,22.0,0.01,15,,49892,5000,0.04590066060357546,0.02295033030178773,0.0980391132797322,1.0,0.9546220674754445,3327
init_noise/seed_7/init_noise_0p05/seed_7,init_noise_recovery_sweep,init_noise_0p05,7,1.0,22.0,0.05,15,,49892,5000,0.04487569212975663,0.022437846064878315,0.0980391132797322,1.0,0.9556240346951598,3327
init_noise/seed_7/init_noise_0p1/seed_7,init_noise_recovery_sweep,init_noise_0p1,7,1.0,22.0,0.1,15,,49892,5000,0.04446067385039151,0.022230336925195757,0.0980391132797322,1.0,0.9560298858623828,3327
init_noise/seed_8/init_noise_0p01/seed_8,init_noise_recovery_sweep,init_noise_0p01,8,1.0,22.0,0.01,15,,50084,5000,0.04655463718692829,0.023277318593464144,0.0980391132797322,1.0,0.9539830356025529,3339
init_noise/seed_8/init_noise_0p05/seed_8,init_noise_recovery_sweep,init_noise_0p05,8,1.0,22.0,0.05,15,,50084,5000,0.045344355824052426,0.022672177912026213,0.0980391132797322,1.0,0.9551658237290969,3339
init_noise/seed_8/init_noise_0p1/seed_8,init_noise_recovery_sweep,init_noise_0p1,8,1.0,22.0,0.1,15,,50084,5000,0.04481923021841969,0.022409615109209843,0.0980391132797322,1.0,0.9556792434365748,3339
init_noise/seed_9/init_noise_0p01/seed_9,init_noise_recovery_sweep,init_noise_0p01,9,1.0,22.0,0.01,15,,49559,5000,0.04532376598109088,0.02266188299054544,0.0980391132797322,1.0,0.9551859392103401,3304
init_noise/seed_9/init_noise_0p05/seed_9,init_noise_recovery_sweep,init_noise_0p05,9,1.0,22.0,0.05,15,,49559,5000,0.04435237975399302,0.02217618987699651,0.0980391132797322,1.0,0.9561357908891828,3304
init_noise/seed_9/init_noise_0p1/seed_9,init_noise_recovery_sweep,init_noise_0p1,9,1.0,22.0,0.1,15,,49559,5000,0.04403604160237275,0.022018020801186373,0.0980391132797322,1.0,0.9564452158113008,3304
