seed,method,focal_cumulative_payoff,focal_mean_payoff_per_round,mean_payoff_per_agent_per_round,final_mce,final_belief_argmax_accuracy,run_dir
0,esl,5164.0,1.291,1.9769154393513155,0.023467974040593677,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_0
0,esl_ablation_k1,5136.0,1.284,1.9683051969546508,1.1022911139900264,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_0
0,clustering_kmeans,5109.0,1.27725,1.9719510177064372,0.0010005003335836456,0.5,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_kmeans/seed_0
0,clustering_fcm,5117.0,1.27925,1.9712063544597054,0.0010005003335836456,0.6333333333333333,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_fcm/seed_0
1,esl,4918.0,1.2295,1.972157385795265,0.02358966777242963,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_1
1,esl_ablation_k1,4882.0,1.2205,1.9618976154744039,0.9877860304760816,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_1
1,clustering_kmeans,4868.0,1.217,1.9654884961653885,0.0010005003335836456,0.7,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_kmeans/seed_1
1,clustering_fcm,4885.0,1.22125,1.9641547182394132,0.0010005003335836456,0.43333333333333335,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_fcm/seed_1
2,esl,4984.0,1.246,1.9589713715046604,0.024736250978846488,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_2
2,esl_ablation_k1,4968.0,1.242,1.9475699067909453,1.076246659997604,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_2
2,clustering_kmeans,4935.0,1.23375,1.9516478029294275,0.3470738404467645,0.6666666666666666,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_kmeans/seed_2
2,clustering_fcm,4922.0,1.2305,1.9528129161118508,0.5498063945008467,0.43333333333333335,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_fcm/seed_2
3,esl,5150.0,1.2875,1.975894506971275,0.02432520951719537,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_3
3,esl_ablation_k1,5147.0,1.28675,1.9616159919368386,1.0057425619255498,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_3
3,clustering_kmeans,5128.0,1.282,1.9658995464471696,0.3470738404467645,0.3333333333333333,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_kmeans/seed_3
3,clustering_fcm,5113.0,1.27825,1.9696791533680498,0.3470738404467645,0.5333333333333333,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_fcm/seed_3
4,esl,5180.0,1.295,1.9627845157002823,0.025918214035209285,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_4
4,esl_ablation_k1,5167.0,1.29175,1.9514119601328903,1.0418422676992602,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_4
4,clustering_kmeans,5161.0,1.29025,1.9567203854460873,3.4543778896578603,0.5333333333333333,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_kmeans/seed_4
4,clustering_fcm,5142.0,1.2855,1.956471174613723,3.4543778896578603,0.4666666666666667,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_fcm/seed_4
5,esl,5079.0,1.26975,1.9781172584640794,0.02435815731336352,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_5
5,esl_ablation_k1,5096.0,1.274,1.9652353426919902,1.0446822087822119,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_5
5,clustering_kmeans,5060.0,1.265,1.9725020644095788,0.0010005003335836456,0.6666666666666666,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_kmeans/seed_5
5,clustering_fcm,5047.0,1.26175,1.9711808422791082,0.0010005003335836456,0.7666666666666667,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/clustering_fcm/seed_5
6,esl,4914.0,1.2285,1.9524089306698003,0.024192926051951148,0.8333333333333334,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl/seed_6
6,esl_ablation_k1,4896.0,1.224,1.9402383750209837,1.0636445597731807,1.0,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone5/esl_ablation_k1/seed_6
