round,timestep,ppo_step_reward,opponent_action,row_action
0,1,1.0,1,1
0,2,1.0,1,1
0,3,0.0,1,0
0,4,0.0,1,0
0,5,1.0,1,1
0,6,0.0,1,0
0,7,0.0,1,0
0,8,0.0,1,0
0,9,1.0,1,1
0,10,0.0,1,0
0,11,0.0,1,0
0,12,0.0,1,0
1,13,1.0,1,1
1,14,0.0,1,0
1,15,0.0,1,0
1,16,0.0,1,0
1,17,0.0,1,0
1,18,1.0,1,1
1,19,1.0,1,1
1,20,1.0,1,1
1,21,0.0,1,0
1,22,1.0,1,1
1,23,0.0,1,0
1,24,0.0,1,0
2,25,0.0,1,0
2,26,1.0,1,1
2,27,0.0,1,0
2,28,0.0,1,0
2,29,0.0,1,0
2,30,1.0,1,1
2,31,0.0,1,0
2,32,1.0,1,1
2,33,1.0,1,1
2,34,1.0,1,1
2,35,1.0,1,1
2,36,1.0,1,1
3,37,1.0,1,1
3,38,0.0,1,0
3,39,0.0,1,0
3,40,0.0,1,0
3,41,0.0,1,0
3,42,0.0,1,0
3,43,1.0,1,1
3,44,1.0,1,1
3,45,1.0,1,1
3,46,1.0,1,1
3,47,1.0,1,1
3,48,0.0,1,0
4,49,0.0,1,0
4,50,1.0,1,1
4,51,1.0,1,1
4,52,1.0,1,1
4,53,0.0,1,0
4,54,0.0,1,0
4,55,1.0,1,1
4,56,1.0,1,1
4,57,0.0,1,0
4,58,0.0,1,0
4,59,0.0,1,0
4,60,1.0,1,1
5,61,1.0,1,1
5,62,1.0,1,1
5,63,1.0,1,1
5,64,0.0,1,0
5,65,0.0,1,0
5,66,1.0,1,1
5,67,1.0,1,1
5,68,1.0,1,1
5,69,1.0,1,1
5,70,1.0,1,1
5,71,1.0,1,1
5,72,0.0,1,0
6,73,1.0,1,1
6,74,0.0,1,0
6,75,0.0,1,0
6,76,0.0,1,0
6,77,0.0,1,0
6,78,0.0,1,0
6,79,1.0,1,1
6,80,0.0,1,0
6,81,0.0,1,0
6,82,0.0,1,0
6,83,0.0,1,0
6,84,0.0,1,0
7,85,0.0,1,0
7,86,1.0,1,1
7,87,1.0,1,1
7,88,0.0,1,0
7,89,1.0,1,1
7,90,0.0,1,0
7,91,1.0,1,1
7,92,0.0,1,0
7,93,0.0,1,0
7,94,0.0,1,0
7,95,1.0,1,1
7,96,0.0,1,0
