round,i,j,r_i,r_j
0,4,8,3.0,3.0
0,10,7,0.0,5.0
0,11,2,5.0,0.0
0,17,11,5.0,0.0
0,9,5,5.0,0.0
0,18,11,5.0,0.0
0,4,5,3.0,3.0
1,17,2,5.0,0.0
1,7,9,3.0,3.0
1,14,10,1.0,1.0
1,5,3,3.0,3.0
1,10,14,0.0,5.0
1,10,9,3.0,3.0
2,7,16,0.0,5.0
2,12,5,5.0,0.0
2,11,4,3.0,3.0
2,6,10,3.0,3.0
2,1,5,3.0,3.0
2,2,13,3.0,3.0
2,10,13,3.0,3.0
2,15,5,5.0,0.0
2,14,13,1.0,1.0
2,15,0,5.0,0.0
2,6,17,0.0,5.0
2,3,19,0.0,5.0
2,7,8,3.0,3.0
3,18,10,5.0,0.0
3,18,0,5.0,0.0
3,10,13,3.0,3.0
3,16,12,5.0,0.0
3,16,0,5.0,0.0
4,6,5,3.0,3.0
4,10,12,0.0,5.0
4,14,18,1.0,1.0
4,12,8,5.0,0.0
4,9,8,3.0,3.0
4,19,2,5.0,0.0
5,4,18,0.0,5.0
5,9,2,3.0,3.0
5,15,12,5.0,0.0
5,10,4,3.0,3.0
5,12,3,5.0,0.0
5,14,18,1.0,1.0
5,7,15,0.0,5.0
5,9,11,5.0,0.0
5,12,0,3.0,3.0
5,15,18,1.0,1.0
5,14,3,5.0,0.0
5,5,2,3.0,3.0
5,14,10,5.0,0.0
5,13,5,3.0,3.0
6,11,16,0.0,5.0
6,19,6,5.0,0.0
6,15,10,5.0,0.0
6,10,15,0.0,5.0
6,17,8,5.0,0.0
6,12,8,3.0,3.0
6,6,3,3.0,3.0
6,0,18,0.0,5.0
7,11,8,0.0,5.0
7,13,14,0.0,5.0
7,15,4,5.0,0.0
7,6,4,3.0,3.0
7,13,19,0.0,5.0
7,7,0,3.0,3.0
7,5,0,3.0,3.0
7,2,5,3.0,3.0
7,5,12,3.0,3.0
8,9,13,3.0,3.0
8,15,9,5.0,0.0
8,0,7,3.0,3.0
8,14,12,5.0,0.0
8,2,9,3.0,3.0
8,8,7,0.0,5.0
8,0,15,0.0,5.0
8,4,15,0.0,5.0
8,7,8,3.0,3.0
8,1,8,3.0,3.0
8,16,5,5.0,0.0
8,0,14,0.0,5.0
8,1,2,3.0,3.0
9,3,7,3.0,3.0
9,5,19,0.0,5.0
9,4,16,0.0,5.0
9,8,19,0.0,5.0
9,7,14,0.0,5.0
9,2,19,0.0,5.0
9,13,17,0.0,5.0
10,0,13,3.0,3.0
10,13,18,0.0,5.0
10,0,19,0.0,5.0
10,15,7,5.0,0.0
10,18,7,5.0,0.0
10,5,0,3.0,3.0
10,13,0,3.0,3.0
10,13,16,0.0,5.0
10,10,3,5.0,0.0
10,10,5,5.0,0.0
10,3,16,0.0,5.0
10,9,14,0.0,5.0
10,2,14,0.0,5.0
11,13,15,1.0,1.0
11,14,15,1.0,1.0
11,18,19,1.0,1.0
11,12,11,3.0,3.0
11,19,8,5.0,0.0
11,14,16,1.0,1.0
11,15,13,5.0,0.0
11,10,12,3.0,3.0
11,4,1,3.0,3.0
11,13,12,1.0,1.0
11,0,9,0.0,5.0
11,14,11,1.0,1.0
11,18,2,5.0,0.0
11,7,14,0.0,5.0
11,7,2,3.0,3.0
12,5,12,3.0,3.0
12,18,5,5.0,0.0
12,6,8,3.0,3.0
12,13,7,3.0,3.0
12,16,8,5.0,0.0
12,14,10,1.0,1.0
12,12,16,0.0,5.0
12,8,3,3.0,3.0
12,6,5,3.0,3.0
12,0,4,3.0,3.0
13,6,2,3.0,3.0
13,1,9,3.0,3.0
13,1,19,3.0,3.0
13,12,0,3.0,3.0
13,17,5,5.0,0.0
13,12,13,5.0,0.0
13,14,0,5.0,0.0
13,14,1,3.0,3.0
13,15,10,5.0,0.0
13,14,4,5.0,0.0
13,6,11,5.0,0.0
14,3,16,0.0,5.0
14,11,9,3.0,3.0
14,7,18,0.0,5.0
14,15,17,1.0,1.0
14,18,16,1.0,1.0
14,2,16,0.0,5.0
14,10,3,3.0,3.0
15,8,12,3.0,3.0
15,12,16,0.0,5.0
15,10,6,3.0,3.0
15,17,10,5.0,0.0
15,17,9,5.0,0.0
15,19,9,1.0,1.0
16,6,16,0.0,5.0
16,5,6,3.0,3.0
16,10,14,0.0,5.0
16,0,12,3.0,3.0
16,2,5,3.0,3.0
16,4,13,3.0,3.0
16,0,16,0.0,5.0
16,3,2,3.0,3.0
16,7,9,3.0,3.0
16,5,4,3.0,3.0
16,14,17,1.0,1.0
17,5,14,0.0,5.0
17,0,13,3.0,3.0
17,0,1,0.0,5.0
17,5,12,3.0,3.0
17,14,18,1.0,1.0
17,8,2,3.0,3.0
18,11,7,3.0,3.0
18,7,12,1.0,1.0
18,4,6,3.0,3.0
18,10,13,3.0,3.0
18,2,12,3.0,3.0
18,17,10,5.0,0.0
18,1,12,3.0,3.0
18,3,15,0.0,5.0
