prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_mean_b_snap_k4,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,batch_frac_argmax_k4,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1,softmax_k4_a0,softmax_k4_a1
0,6,False,1.8417487280261182,90,82,0.20001833443479883,0.19983531461060547,0.1999682952050253,0.20009202048095506,0.20008603526861388,0.00018301982419335894,1.6094301037210812,0.9111111111111111,0.022222222222222223,0.011111111111111112,0.05555555555555555,0.0,0.7615992618586769,0.23840073814132307,0.77309377349464,0.22690622650535996,0.7648080322100884,0.23519196778991158,0.7567821891181816,0.24321781088181846,0.7571775746429957,0.2428224253570042
1,13,False,0.2780079859919582,73,68,0.20007035934673043,0.1993558831866847,0.19987365074582744,0.20036193818946577,0.20033816853129144,0.0007144761600457183,1.6093975598847163,0.6301369863013698,0.1232876712328767,0.0,0.2465753424657534,0.0,0.7299723080788788,0.2700276919211211,0.7304795876827964,0.26952041231720353,0.7300679821736574,0.2699320178263425,0.7298925515066016,0.2701074484933984,0.7298962693207994,0.2701037306792005
2,20,False,0.8674012236486488,64,60,0.20001613082421588,0.1998581451626657,0.19997325843046415,0.20007876488124068,0.20007370070141287,0.00015798566155017513,1.6094004618872946,0.640625,0.171875,0.015625,0.171875,0.0,0.6097702506998611,0.39022974930013893,0.6095795358024604,0.3904204641975396,0.6096970020609892,0.39030299793901085,0.6099079886437585,0.3900920113562415,0.6098954531528261,0.3901045468471738
3,27,False,0.30691043388027056,67,61,0.20006181493599212,0.1994459256957882,0.19989351718618042,0.2003094211356508,0.20028932104638825,0.0006158892402039207,1.6093938987392447,0.4626865671641791,0.22388059701492538,0.0,0.31343283582089554,0.0,0.6547136656414476,0.34528633435855227,0.6560197777719452,0.3439802222280548,0.6550662639199673,0.3449337360800327,0.6542008532951985,0.3457991467048015,0.6542422169385687,0.3457577830614314
4,34,False,0.4007175983677099,62,58,0.19999755789008025,0.20006751543999063,0.20002175452133766,0.19995468061040986,0.1999584915381815,6.995754991037662e-05,1.6094116694575222,0.41935483870967744,0.2903225806451613,0.0,0.2903225806451613,0.0,0.5954434796559517,0.4045565203440483,0.5965284670356783,0.4034715329643217,0.5957348115675178,0.40426518843248227,0.5950222241159483,0.4049777758840517,0.5950560867430453,0.4049439132569547
5,41,False,0.169667547338164,67,63,0.20006556638374257,0.19941780402465162,0.19988918461213773,0.2003242008269503,0.20030324415251766,0.0006477623590909476,1.6093999593326611,0.417910447761194,0.2537313432835821,0.0,0.3283582089552239,0.0,0.6210476572126694,0.37895234278733064,0.6217269792098988,0.3782730207901011,0.621232403056834,0.3787675969431659,0.6207772521441662,0.3792227478558339,0.6207991366161051,0.37920086338389497
6,48,False,0.08318757692958442,75,70,0.20011238145202456,0.1989564532283077,0.1997924921316434,0.20058880575374774,0.20054986743427627,0.0011559282237168511,1.609375383193726,0.32,0.29333333333333333,0.013333333333333334,0.37333333333333335,0.0,0.6085688284530214,0.3914311715469786,0.6094736644623205,0.39052633553767935,0.6088164528534943,0.3911835471465058,0.6082040207915161,0.39179597920848397,0.608233656606515,0.391766343393485
7,55,False,0.15781163810706383,85,79,0.20005760696677474,0.19949070483686313,0.19990351590361408,0.20028321958055229,0.20026495271219527,0.0005669021299116173,1.6094080787253617,0.16470588235294117,0.4235294117647059,0.0,0.4,0.011764705882352941,0.6321229372018213,0.3678770627981788,0.6324498797469444,0.36755012025305556,0.6322108603385158,0.36778913966148413,0.6319956403618582,0.3680043596381419,0.6320058799415635,0.3679941200584364
8,62,False,0.07309637455329844,69,65,0.20003674448605227,0.1996904521004943,0.19994437933898848,0.20016953277822214,0.20015889129624237,0.0003462923855579725,1.6094008506036122,0.2318840579710145,0.36231884057971014,0.028985507246376812,0.37681159420289856,0.0,0.6212997743684999,0.3787002256315001,0.621719659407025,0.37828034059297494,0.621413446284292,0.378586553715708,0.621134031111984,0.37886596888801594,0.6211474185173425,0.37885258148265755
9,69,False,0.10024574756594212,84,80,0.19998678820349908,0.20012777015473965,0.20002635367919083,0.19992708698619835,0.19993200097637168,0.00014098195124057078,1.609398276303678,0.21428571428571427,0.5,0.011904761904761904,0.27380952380952384,0.0,0.6361051631926801,0.36389483680731993,0.636454678005946,0.363545321994054,0.6362000879565176,0.36379991204348233,0.6359663100405791,0.3640336899594209,0.6359775459585632,0.36402245404143685
10,76,False,0.030316100243139917,81,77,0.2000559330484089,0.1995181780941681,0.1999111204440253,0.2002658311158837,0.20024893729751383,0.0005377549542407989,1.6093953929480502,0.16049382716049382,0.41975308641975306,0.0,0.4074074074074074,0.012345679012345678,0.6316624837356805,0.36833751626431954,0.6319494373696951,0.36805056263030483,0.6317407845328967,0.3682592154671032,0.6315474229702587,0.3684525770297413,0.631556757437096,0.36844324256290395
11,83,False,0.001352108853026661,57,55,0.20012814571033652,0.19882986287919055,0.19977100446833246,0.20065703960103656,0.20061394734110358,0.0012982828311459693,1.6093855034905657,0.14035087719298245,0.38596491228070173,0.03508771929824561,0.43859649122807015,0.0,0.6316730834980742,0.3683269165019258,0.6315828494580988,0.36841715054190116,0.6316452117859881,0.3683547882140119,0.6317186353624078,0.36828136463759226,0.6317147324118012,0.3682852675881987
12,90,False,0.034650407519785584,67,61,0.20003433451115743,0.19969428374939932,0.1999416925758639,0.20017036087141155,0.20015932829216757,0.00034005076175810944,1.6094034790729927,0.1044776119402985,0.3880597014925373,0.0,0.5074626865671642,0.0,0.636760758805209,0.363239241194791,0.6366214708837228,0.36337852911627716,0.6367182724142021,0.3632817275857979,0.6368295511062345,0.3631704488937656,0.6368236825542116,0.3631763174457884
13,97,False,0.06003275447357611,83,76,0.20011292111765883,0.19898319031051354,0.19980372735354893,0.20056859429518892,0.20053156692308965,0.0011297308071452905,1.6093891812849246,0.07228915662650602,0.3855421686746988,0.0,0.5421686746987951,0.0,0.6279141282980435,0.37208587170195656,0.6279791517653575,0.37202084823464243,0.6279274640485812,0.3720725359514188,0.6279008090386026,0.37209919096139743,0.6279016053135206,0.3720983946864795
14,104,False,0.03645885059823887,76,73,0.2000514652354384,0.19955577973410626,0.1999179353800001,0.2002452128547721,0.20022960679568294,0.0004956855013321382,1.6094042295220377,0.06578947368421052,0.4342105263157895,0.013157894736842105,0.4868421052631579,0.0,0.6332569233680211,0.3667430766319789,0.6335889648178932,0.3664110351821069,0.6333434132568274,0.36665658674317264,0.6331357345029137,0.36686426549708634,0.6331452977672954,0.3668547022327046
15,111,False,0.0035420378963604052,44,44,0.2000508436820643,0.19955761983699247,0.1999176055508233,0.20024479182284824,0.2002291391072717,0.0004932238450718329,1.6094006289446015,0.09090909090909091,0.4318181818181818,0.0,0.4772727272727273,0.0,0.6337639744835016,0.36623602551649836,0.6342009359018922,0.36579906409810786,0.6338795468965828,0.3661204531034173,0.6335994037771682,0.3664005962228318,0.633612515758557,0.36638748424144296
16,118,False,0.040570656665055556,57,52,0.20002525589686895,0.19981573689372611,0.19997275486899294,0.20009584173525954,0.20009041060515242,0.00020951900314283844,1.6093950714355287,0.03508771929824561,0.5263157894736842,0.05263157894736842,0.38596491228070173,0.0,0.6278267523263499,0.37217324767365006,0.6278972975255129,0.3721027024744872,0.6278404721270562,0.3721595278729438,0.6278145222446953,0.37218547775530475,0.6278151541829493,0.3721848458170507
17,125,False,0.021966744633008097,61,55,0.2000178458413399,0.19984475416000744,0.19997106735307396,0.2000859117479838,0.20008042089759503,0.000173091681332449,1.6094024460583278,0.03278688524590164,0.5573770491803278,0.0,0.4098360655737705,0.0,0.6245852253962357,0.3754147746037644,0.6245539051302849,0.3754460948697152,0.624570824698425,0.375429175301575,0.624614780143497,0.375385219856503,0.6246120012730882,0.37538799872691164
18,132,False,0.1543929065763963,77,70,0.20001806948321466,0.19985201602174238,0.19997423626045122,0.20008031425111678,0.2000753639834749,0.0001660534614722764,1.6093953930605553,0.05194805194805195,0.5324675324675324,0.025974025974025976,0.37662337662337664,0.012987012987012988,0.6014143964080491,0.3985856035919509,0.60149933884358,0.39850066115641997,0.6014318846204754,0.3985681153795245,0.6013968862432716,0.3986031137567284,0.6013979342685384,0.3986020657314615
19,139,False,0.01950887393418079,62,58,0.20004786855780068,0.19956659801007423,0.19991583513208686,0.20024277393693493,0.20022692436310344,0.0004812705477264534,1.6093892621556367,0.016129032258064516,0.5645161290322581,0.0,0.4032258064516129,0.016129032258064516,0.5984519005866,0.40154809941339986,0.598548017482537,0.40145198251746295,0.5984724005033953,0.40152759949660466,0.5984299753023824,0.40157002469761766,0.5984313819134395,0.4015686180865605
20,146,False,0.07142026870239047,59,53,0.19996072727784256,0.20038483019976222,0.20008027233968392,0.19977961527337593,0.1997945549093353,0.00042410292191966126,1.609412737095819,0.03389830508474576,0.576271186440678,0.01694915254237288,0.3728813559322034,0.0,0.6092496043154298,0.3907503956845701,0.6094185446871511,0.39058145531284894,0.6092904307821886,0.3907095692178114,0.6091971288838873,0.39080287111611267,0.6092010454346196,0.3907989545653805
21,153,False,0.08410756717285463,58,54,0.20003588611646184,0.19968058301764235,0.1999390179639822,0.20017801585964298,0.20016649704227046,0.00035530309881948163,1.60939771635669,0.0,0.5862068965517241,0.0,0.41379310344827586,0.0,0.6218402738118713,0.3781597261881286,0.6219702506763535,0.3780297493236465,0.6218699032502604,0.37813009674973963,0.6218051138209048,0.3781948861790953,0.6218075854355353,0.3781924145644646
22,160,False,0.008903924674983835,54,50,0.20013919087788642,0.198701798406985,0.19974075833950114,0.20073342760634016,0.20068482476928726,0.0014373924709014385,1.6093690548186752,0.05555555555555555,0.46296296296296297,0.0,0.46296296296296297,0.018518518518518517,0.620506163644582,0.3794938363554179,0.62074335057973,0.37925664942027,0.620565769569906,0.37943423043009394,0.6204259681004762,0.3795740318995237,0.6204321370605808,0.37956786293941935
23,167,False,0.014317518327973894,78,74,0.20005534895432037,0.1994531079941149,0.19988513174496264,0.2003138833043132,0.200292528002289,0.0006022409602054746,1.609381625822848,0.01282051282051282,0.5,0.0,0.48717948717948717,0.0,0.6183668427915106,0.3816331572084895,0.6186636436900738,0.3813363563099262,0.6184438428102509,0.3815561571897491,0.6182594984684865,0.3817405015315135,0.618267941548469,0.3817320584515311
24,174,False,0.03032851647066261,76,72,0.20002580396933037,0.19979972915230443,0.19996743712860246,0.20010668337106222,0.20010034637870044,0.00022607481702593968,1.6094116548170632,0.013157894736842105,0.4473684210526316,0.0,0.5263157894736842,0.013157894736842105,0.6228765949505147,0.37712340504948527,0.6232278394077486,0.37677216059225144,0.6229676391095954,0.3770323608904045,0.6227498055110375,0.37725019448896235,0.6227597714124188,0.37724022858758127
25,181,False,0.05489397983962478,66,59,0.2001129270202668,0.19895366125050296,0.19979237707217937,0.20059000637946164,0.20055102827758914,0.0011592657697638564,1.6093835432092387,0.0,0.4393939393939394,0.015151515151515152,0.5454545454545454,0.0,0.6309953509648254,0.3690046490351747,0.6313566130019557,0.3686433869980443,0.6310894236508161,0.36891057634918395,0.6308636798915842,0.3691363201084158,0.6308740615545186,0.36912593844548136
26,188,False,0.023986370192140276,82,75,0.19995482933940478,0.20041726928732506,0.20008254216992954,0.19976492527088088,0.19978043393245962,0.000462439947920279,1.6094013300142755,0.012195121951219513,0.5975609756097561,0.0,0.3902439024390244,0.0,0.6274627070300051,0.3725372929699948,0.6277626593280203,0.3722373406719797,0.6275401548195091,0.37245984518049097,0.6273553100074921,0.37264468999250777,0.6273637296004941,0.3726362703995059
27,195,False,0.054587127570008734,82,78,0.2000432626701792,0.1996129446188155,0.19992576438553225,0.20021602417188403,0.2002020041535889,0.0004303180513636762,1.6094034629923772,0.024390243902439025,0.4878048780487805,0.0,0.4878048780487805,0.0,0.6193705897555601,0.3806294102444399,0.6195416793929203,0.38045832060707974,0.6194120507663232,0.3805879492336768,0.6193172472651586,0.38068275273484153,0.6193212284659926,0.3806787715340073
28,202,False,0.014535752176707904,78,72,0.20004364352653511,0.19964778968085273,0.19993979766214848,0.20019019090476847,0.20017857822569507,0.0003958538456823868,1.6094192795584712,0.0,0.46153846153846156,0.05128205128205128,0.47435897435897434,0.01282051282051282,0.621529714566154,0.37847028543384603,0.621746205137825,0.378253794862175,0.6215823924609679,0.37841760753903214,0.6214615650938551,0.378538434906145,0.6214666715113226,0.37853332848867743
