round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,theta_2_0,theta_2_1,theta_3_0,theta_3_1,theta_4_0,theta_4_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1,softmax_2_0,softmax_2_1,softmax_3_0,softmax_3_1,softmax_4_0,softmax_4_1
0,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,-0.06049201029899162,0.07006578337466067,0.008878575407142491,0.02356449476954907,0.03129203523222514,-0.028589855449965857,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485,0.4674068352256329,0.5325931647743671,0.496328586145552,0.503671413854448,0.5149660007964029,0.48503399920359713
1,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,-0.06049201029899162,0.07006578337466067,0.008878575407142491,0.02356449476954907,0.03129203523222514,-0.028589855449965857,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485,0.4674068352256329,0.5325931647743671,0.496328586145552,0.503671413854448,0.5149660007964029,0.48503399920359713
2,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,-0.06049201029899162,0.07006578337466067,0.008878575407142491,0.02356449476954907,0.03129203523222514,-0.028589855449965857,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485,0.4674068352256329,0.5325931647743671,0.496328586145552,0.503671413854448,0.5149660007964029,0.48503399920359713
3,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,-0.06049201029899162,0.07006578337466067,0.008878575407142491,0.02356449476954907,0.03129203523222514,-0.028589855449965857,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485,0.4674068352256329,0.5325931647743671,0.496328586145552,0.503671413854448,0.5149660007964029,0.48503399920359713
4,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,-0.06049201029899162,0.07006578337466067,0.008878575407142491,0.02356449476954907,0.03129203523222514,-0.028589855449965857,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485,0.4674068352256329,0.5325931647743671,0.496328586145552,0.503671413854448,0.5149660007964029,0.48503399920359713
5,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,-0.06049201029899162,0.07006578337466067,0.008878575407142491,0.02356449476954907,0.03129203523222514,-0.028589855449965857,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485,0.4674068352256329,0.5325931647743671,0.496328586145552,0.503671413854448,0.5149660007964029,0.48503399920359713
6,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
7,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
8,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
9,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
10,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
11,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
12,1,0.7930256475010034,-0.8505273975135708,0.7804529288824866,-0.7831939691101736,0.9234633557517318,-0.9138895826760628,0.8622613192941976,-0.829818249117506,0.8003141035534604,-0.7976119237712012,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
