prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1
0,6,False,4.171202063176726,59,55,0.33333508948511126,0.33333095811809477,0.3333339523967939,4.131367016491083e-06,1.098607747062396,0.9661016949152542,0.03389830508474576,0.0,0.9655161384185408,0.03448386158145932,0.9698701209029416,0.030129879097058387,0.9667717358072142,0.033228264192785746
1,13,False,3.2649853748719404,78,75,0.3337136908708853,0.33282387675201197,0.33346243237710205,0.0008898141188733444,1.0985875391354885,0.9487179487179487,0.038461538461538464,0.01282051282051282,0.6627412295715,0.3372587704285,0.6886072000373662,0.31139279996263386,0.6698982848818245,0.3301017151181756
2,20,False,0.4748937339198867,63,59,0.3346738840382186,0.3315584622057004,0.33376765375608075,0.003115421832518228,1.098443234359423,0.8095238095238095,0.19047619047619047,0.0,0.5837597241789553,0.4162402758210448,0.5852499704664493,0.4147500295335507,0.5841171998682502,0.41588280013174983
3,27,False,0.26106011886446473,63,58,0.33440269229968766,0.33190190961259386,0.3336953980877184,0.0025007826870938055,1.0984874466761385,0.7142857142857143,0.2857142857142857,0.0,0.631910692730721,0.3680893072692791,0.6390929623040907,0.3609070376959092,0.6339341634653369,0.36606583653466307
4,34,False,0.015157836660050996,57,54,0.3348338580684358,0.331323931828473,0.3338422101030913,0.003509926239962824,1.0984671933827743,0.7368421052631579,0.2631578947368421,0.0,0.6301732749257299,0.36982672507426995,0.6351007274686186,0.3648992725313814,0.6315453182388383,0.36845468176116164
5,41,False,0.2801137515527392,74,70,0.3346122343099639,0.33162297305478905,0.33376479263524655,0.0029892612551748465,1.098489603022681,0.7162162162162162,0.28378378378378377,0.0,0.5748775208880831,0.42512247911191686,0.5814571720822573,0.4185428279177427,0.5767240479011454,0.42327595209885466
6,48,False,0.08854660082507174,71,64,0.334701175039749,0.3315244534422066,0.333774371518044,0.003176721597542398,1.0984228723029976,0.704225352112676,0.29577464788732394,0.0,0.5563714881383234,0.44362851186167673,0.5647900027295545,0.43520999727044546,0.5587521126152771,0.4412478873847229
7,55,False,0.4007794838658266,61,57,0.3352780982299378,0.3307556241531008,0.3339662776169614,0.004522474076837035,1.0983832446675008,0.639344262295082,0.36065573770491804,0.0,0.6360288775293377,0.3639711224706623,0.6414753324944927,0.3585246675055074,0.6375727906196704,0.3624272093803296
8,62,False,0.013746782317462227,73,69,0.334899617955189,0.3312577296681821,0.3338426523766284,0.0036418882870069003,1.0983844444388897,0.5616438356164384,0.4383561643835616,0.0,0.6382757576072833,0.36172424239271683,0.6444606382725394,0.3555393617274607,0.640040385808284,0.3599596141917159
9,69,False,0.023023348153992415,65,60,0.33442074476815287,0.33190724252846726,0.33367201270337976,0.0025135022396856055,1.0983621396750178,0.5076923076923077,0.49230769230769234,0.0,0.6335860806485107,0.36641391935148926,0.6406298783035314,0.3593701216964687,0.6355869369656078,0.3644130630343923
