prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_mean_b_snap_k4,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,batch_frac_argmax_k4,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1,softmax_k4_a0,softmax_k4_a1
0,6,False,2.6415380087826708,71,67,0.20005228981661524,0.20022940441250278,0.1996203146717679,0.19994453153894007,0.20015345956017286,0.00017711459588753975,1.6093972328794497,0.9436619718309859,0.04225352112676056,0.014084507042253521,0.0,0.0,0.8380178212249614,0.1619821787750386,0.8268760364326552,0.1731239635673449,0.8626353432414952,0.13736465675850484,0.8444974476237705,0.15550255237622934,0.8317283192138876,0.16827168078611246
1,13,False,2.0457345503423046,60,57,0.2001550569181125,0.2006497178210853,0.1989071835046197,0.19984919005692353,0.20043885169925837,0.0004946609029727878,1.6093212886484518,0.8,0.13333333333333333,0.06666666666666667,0.0,0.0,0.5901936242580534,0.4098063757419466,0.5843159648409059,0.415684035159094,0.6073079611381933,0.3926920388618067,0.5941087479117351,0.40589125208826504,0.5867492769728992,0.41325072302710075
2,20,False,0.5252044241729797,75,67,0.20033567495553245,0.2016009167555486,0.19742371301351955,0.1995864822483231,0.20105321302707538,0.001265241800016137,1.6091127783023627,0.6266666666666667,0.21333333333333335,0.14666666666666667,0.013333333333333334,0.0,0.66925559361032,0.33074440638968,0.6700162965750244,0.32998370342497557,0.6683764606792124,0.3316235393207876,0.6689037465600338,0.3310962534399661,0.6696628855157012,0.3303371144842987
3,27,False,0.39085963836922877,63,59,0.20030221206222876,0.2016575545197387,0.1974461684748675,0.19953124615271614,0.20106281879044835,0.001355342457509956,1.6089621044648188,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.0,0.0,0.6125511509798007,0.3874488490201993,0.6130807708050428,0.3869192291949573,0.6114494993833519,0.388550500616648,0.6122489990151283,0.3877510009848717,0.6128490084950459,0.387150991504954
4,34,False,0.4972967415535519,63,56,0.20040014149467547,0.20203088390119717,0.196796063950556,0.1994525703043749,0.2013203403491962,0.0016307424065216958,1.6089021986857084,0.4603174603174603,0.30158730158730157,0.23809523809523808,0.0,0.0,0.535609276351213,0.46439072364878703,0.5351922483573437,0.46480775164265636,0.5365135115516733,0.4634864884483268,0.5358476625958257,0.4641523374041744,0.5353752574087589,0.46462474259124104
5,41,False,0.07457466294743995,80,75,0.2002775863963772,0.20128091309084306,0.19791545502579372,0.19967834211937024,0.2008477033676154,0.0010033266944658725,1.6091113703772557,0.3625,0.2875,0.35,0.0,0.0,0.5474814367530113,0.45251856324698875,0.547925573058961,0.45207442694103905,0.5465289444636912,0.4534710555363089,0.5472261267365188,0.4527738732634812,0.5477314773157044,0.4522685226842957
6,48,False,0.10843864155020144,76,72,0.20020112477699406,0.2010097996104223,0.19840159406309962,0.19972959010882038,0.20065789144066307,0.0008086748334282523,1.609154724929778,0.4473684210526316,0.32894736842105265,0.2236842105263158,0.0,0.0,0.5639961368212545,0.4360038631787455,0.5631014806818614,0.43689851931813856,0.5660836304689011,0.43391636953109897,0.5645296070581519,0.43547039294184803,0.5634877881759769,0.43651221182402306
7,55,False,0.06618523397310609,75,70,0.2002634589144798,0.2012100636550668,0.1980279614164978,0.19969675056062902,0.20080176545332626,0.0009466047405869982,1.6091904982785914,0.22666666666666666,0.41333333333333333,0.3466666666666667,0.013333333333333334,0.0,0.5537481954064115,0.4462518045935885,0.5530331918469006,0.44696680815309947,0.5553320023527208,0.4446679976472791,0.554164576040927,0.4458354239590731,0.5533444346472002,0.4466555653527997
8,62,False,0.013683827575670247,66,56,0.20026895126535124,0.20119891091248027,0.19802639033497837,0.19970647763348215,0.20079926985370777,0.000929959647129025,1.6092416264544858,0.18181818181818182,0.4393939393939394,0.3787878787878788,0.0,0.0,0.5559195128150382,0.4440804871849619,0.5558502481324904,0.4441497518675097,0.5560700977346754,0.44392990226532464,0.5559598558352822,0.4440401441647177,0.5558803510528108,0.4441196489471892
9,69,False,0.20267981867177265,67,60,0.20045037125143053,0.20202142440435056,0.1966802295579279,0.19950219220032742,0.20134578258596336,0.0015710531529200267,1.6090811141887509,0.22388059701492538,0.417910447761194,0.34328358208955223,0.014925373134328358,0.0,0.5873124620878009,0.41268753791219914,0.58719411813413,0.4128058818658699,0.5874451502523832,0.41255484974761686,0.5873663020948054,0.4126336979051945,0.5872494031845606,0.4127505968154394
10,76,False,0.032640696068770535,67,61,0.20023957909447304,0.2010347409767187,0.19827796820869606,0.19975332310579685,0.20069438861431496,0.0007951618822456541,1.6092485220407318,0.1044776119402985,0.43283582089552236,0.44776119402985076,0.014925373134328358,0.0,0.5821814647956961,0.417818535204304,0.5815599776126482,0.41844002238735173,0.5835777158395311,0.41642228416046884,0.5825461280730431,0.41745387192695693,0.5818297559628436,0.4181702440371564
11,83,False,0.12246218033856957,62,57,0.20035498902155577,0.20157456966714382,0.1974037201650419,0.19961582584198853,0.20105089530426987,0.0012195806455880531,1.6090586222491094,0.0967741935483871,0.45161290322580644,0.43548387096774194,0.016129032258064516,0.0,0.5630942694293779,0.43690573057062215,0.561927571051736,0.43807242894826404,0.5657601834781079,0.4342398165218922,0.5637837904576892,0.4362162095423108,0.5624328116444832,0.4375671883555169
12,90,False,0.002870135417618263,80,72,0.20024783028421916,0.20121060064984744,0.19806633305880555,0.1996828845096214,0.2007923514975062,0.0009627703656282793,1.608975879827924,0.075,0.4625,0.4625,0.0,0.0,0.5628088568952868,0.43719114310471313,0.5612920451341011,0.4387079548658988,0.566281214372102,0.433718785627898,0.5637058436238264,0.43629415637617364,0.5619487977389175,0.4380512022610824
13,97,False,0.028332605476386222,53,48,0.20034822742602917,0.20158608942350353,0.19740835820373837,0.19960429494630164,0.20105303000042715,0.0012378619974743599,1.6091401373514616,0.05660377358490566,0.5094339622641509,0.4339622641509434,0.0,0.0,0.5673091382001542,0.43269086179984584,0.5662865564326078,0.4337134435673923,0.5696318584870023,0.4303681415129977,0.5679117993573067,0.4320882006426933,0.5667298195672456,0.43327018043275434
14,104,False,0.054945291482083033,67,62,0.20023333520087508,0.2011171588290054,0.1982045548416403,0.19971049155767082,0.20073445957080813,0.0008838236281303313,1.6089963914820016,0.08955223880597014,0.44776119402985076,0.44776119402985076,0.014925373134328358,0.0,0.5587803643325543,0.4412196356674457,0.5578061384166815,0.4421938615833184,0.5609635319015606,0.4390364680984395,0.5593509727125576,0.44064902728744243,0.5582293410681244,0.44177065893187567
15,111,False,0.09419764062003495,78,74,0.20013045063004345,0.20079148074976322,0.19881536893522506,0.19976357138476764,0.2004991283002005,0.0006610301197197688,1.6090655522277466,0.07692307692307693,0.358974358974359,0.5384615384615384,0.01282051282051282,0.01282051282051282,0.5735423650804128,0.42645763491958716,0.5731852940341117,0.42681470596588833,0.5743834862325994,0.42561651376740056,0.5737565969701963,0.4262434030298038,0.5733390832666867,0.42666091673331324
16,118,False,0.16238733454595075,65,63,0.20020870266935192,0.20111381117001473,0.1982696610705266,0.19969032708149437,0.2007174980086122,0.0009051085006628046,1.609041775115591,0.046153846153846156,0.4307692307692308,0.5230769230769231,0.0,0.0,0.5983759583732519,0.4016240416267481,0.5977057858507017,0.40229421414929845,0.5998875722056424,0.40011242779435763,0.5987699958033125,0.4012300041966875,0.5979964735019613,0.4020035264980388
17,125,False,0.025564992735018867,61,58,0.2003855560493346,0.20183118993439522,0.1970493566226683,0.1995280498066064,0.20120584758699553,0.0014456338850606099,1.6089509751386128,0.0,0.47540983606557374,0.5245901639344263,0.0,0.0,0.5944763512530051,0.405523648746995,0.593793150377584,0.4062068496224161,0.5960404886547811,0.4039595113452188,0.5948809817130887,0.40511901828691127,0.5940887207357679,0.405911279264232
18,132,False,0.02525969220906354,58,55,0.20041541070408714,0.20179887281382933,0.19700940690670557,0.19956951910629178,0.20120679046908602,0.0013834621097421895,1.6090922308886144,0.05172413793103448,0.5689655172413793,0.3793103448275862,0.0,0.0,0.5905944202825849,0.40940557971741515,0.5898090832363293,0.4101909167636707,0.5923933298615581,0.40760667013844193,0.5910597662114525,0.4089402337885475,0.590148760427416,0.40985123957258396
19,139,False,0.049125221960106775,65,62,0.20033663840016513,0.2014773437942539,0.19755511547210797,0.1996427051356727,0.20098819719780042,0.0011407053940887535,1.6092165826808755,0.07692307692307693,0.5384615384615384,0.38461538461538464,0.0,0.0,0.5830603667319381,0.416939633268062,0.582264335191934,0.41773566480806595,0.5848811337164345,0.41511886628356565,0.583531555497148,0.4164684445028521,0.5826087937111997,0.4173912062888004
20,146,False,0.05353496395153109,84,77,0.20014018126675287,0.20057412549779996,0.1990258689892079,0.1998704871691102,0.20038933707712903,0.0004339442310470898,1.6092230143451887,0.011904761904761904,0.4166666666666667,0.5714285714285714,0.0,0.0,0.5912595805663012,0.4087404194336989,0.5904254557229176,0.4095745442770824,0.5931517215862666,0.4068482784137333,0.5917513007385419,0.40824869926145824,0.5907869335472181,0.4092130664527819
21,153,False,0.0901500161876147,76,73,0.20032545303735896,0.20162717010789838,0.19742082260127092,0.19956570705110152,0.20106084720237027,0.0013017170705394154,1.6091070907017517,0.02631578947368421,0.47368421052631576,0.4868421052631579,0.013157894736842105,0.0,0.5773594387589314,0.4226405612410686,0.5763351955597785,0.42366480444022153,0.5797166693292279,0.420283330670772,0.5779670453733239,0.42203295462667606,0.5767781326890576,0.42322186731094236
22,160,False,0.012424321929100812,81,75,0.20017476911950247,0.20088253338616724,0.19860507847003492,0.19976361904852832,0.200573999975767,0.0007077642666647732,1.6090971642531935,0.024691358024691357,0.43209876543209874,0.5185185185185185,0.024691358024691357,0.0,0.5792336780360441,0.42076632196395597,0.5780898518542518,0.4219101481457482,0.5818854705190933,0.4181145294809067,0.5799145796574522,0.4200854203425477,0.5785838997386765,0.4214161002613235
23,167,False,0.05562005530352443,77,70,0.2001480435065003,0.200891809497638,0.19866199343968868,0.19973553237830594,0.200562621177867,0.0007437659911376793,1.6090488196985777,0.025974025974025976,0.45454545454545453,0.5194805194805194,0.0,0.0,0.5877564366949726,0.4122435633050274,0.5865512583321276,0.4134487416678724,0.590582882685595,0.40941711731440494,0.5884775568314087,0.41152244316859143,0.587070897399458,0.41292910260054205
24,174,False,0.07713717966283025,61,56,0.20024414098690202,0.2011985884710348,0.19808901307207433,0.19968421976613668,0.20078403770385203,0.0009544474841327866,1.6091962263876558,0.03278688524590164,0.5737704918032787,0.3770491803278688,0.0,0.01639344262295082,0.599558084796177,0.40044191520382305,0.5984815899663185,0.4015184100336815,0.602073351092688,0.3979266489073121,0.6002011426991933,0.3997988573008067,0.5989460079339726,0.40105399206602754
25,181,False,0.03696452933151564,80,67,0.20032317528185564,0.20153283222943755,0.19752823174401776,0.1996067212428431,0.20100903950184607,0.0012096569475819052,1.6091078361111282,0.025,0.5875,0.3875,0.0,0.0,0.5939727769738273,0.4060272230261726,0.5930452834223315,0.4069547165776685,0.5961601833605736,0.40383981663942636,0.5945292716446989,0.4054707283553011,0.5934447980583567,0.40655520194164335
26,188,False,0.04253370194751297,86,79,0.20027884735641419,0.20139345999196512,0.19779051205558276,0.19962891934556137,0.20090826125047656,0.0011146126355509323,1.6090397111882135,0.011627906976744186,0.5348837209302325,0.45348837209302323,0.0,0.0,0.5874287357888941,0.4125712642111059,0.5863468640544928,0.41365313594550723,0.5899851457307241,0.41001485426927586,0.5880782280353172,0.4119217719646828,0.5868128168577706,0.41318718314222924
27,195,False,0.029415624082537985,73,69,0.2003278151636649,0.20151756811945706,0.1975334085475276,0.19961723992775968,0.2010039682415907,0.001189752955792156,1.6090906778455705,0.0136986301369863,0.5205479452054794,0.4520547945205479,0.0,0.0136986301369863,0.5919452767969529,0.4080547232030471,0.5909201581765601,0.40907984182343987,0.5943640107384554,0.4056359892615446,0.5925602223773646,0.4074397776226354,0.5913617944244147,0.40863820557558517
28,202,False,0.019027542877328052,78,73,0.2002981526714926,0.20154274820132972,0.19758070635889494,0.1995789544354137,0.20099943833286898,0.0012445955298371336,1.6090368584411245,0.0,0.5256410256410257,0.46153846153846156,0.01282051282051282,0.0,0.5891338438908836,0.4108661561091164,0.5884116044351331,0.411588395564867,0.5908707140501364,0.4091292859498637,0.5895712758726295,0.4104287241273706,0.5887216599745914,0.4112783400254086
29,209,False,0.03594335361055543,73,66,0.20016675297409053,0.20085109138672477,0.19865964702462882,0.19976975010223982,0.20055275851231608,0.0006843384126342389,1.609090098098158,0.0,0.5068493150684932,0.4931506849315068,0.0,0.0,0.5835681139551607,0.4164318860448393,0.5826113025949239,0.41738869740507617,0.5858304209320716,0.41416957906792834,0.5841428301680007,0.41585716983199916,0.5830232926868107,0.4169767073131893
30,216,False,0.031334707745206206,60,55,0.20017616421427245,0.20085501560422514,0.1986315993458186,0.1997767968898577,0.20056042394582604,0.0006788513899526893,1.6090953808256618,0.0,0.4666666666666667,0.5333333333333333,0.0,0.0,0.5884132825667097,0.41158671743329023,0.587557462937177,0.41244253706282286,0.5903825988739235,0.4096174011260765,0.5889211707269401,0.41107882927306,0.5879274813693122,0.41207251863068783
31,223,False,0.05530710866523043,56,51,0.2002883815866236,0.2012977196416676,0.1978703015694693,0.19968032893642165,0.20086326826581788,0.0010093380550439957,1.6091165004240664,0.0,0.5535714285714286,0.44642857142857145,0.0,0.0,0.5968381331963577,0.40316186680364224,0.5959044270288937,0.4040955729711063,0.5989721684028034,0.4010278315971965,0.5973904086269343,0.4026095913730657,0.5963085988177574,0.4036914011822425
32,230,False,0.004708051887798872,81,74,0.20028605288134418,0.2013201876619612,0.19785212661356405,0.1996676359705562,0.20087399687257407,0.0010341347806170076,1.6091440345977137,0.0,0.6172839506172839,0.38271604938271603,0.0,0.0,0.5975497236984948,0.4024502763015052,0.5965764956475692,0.40342350435243085,0.5997433924278888,0.40025660757211134,0.5981216185590263,0.4018783814409737,0.5969987437865606,0.40300125621343946
33,237,False,0.006872960284166709,87,82,0.2001701566494134,0.20082902005966752,0.19867513503057482,0.19978250164169645,0.20054318661864765,0.000658863410254118,1.609084143253262,0.011494252873563218,0.5287356321839081,0.4367816091954023,0.0,0.022988505747126436,0.596565658852782,0.4034343411472179,0.5957736418223883,0.40422635817761154,0.5983695933743792,0.4016304066256208,0.5970334655826485,0.4029665344173516,0.5961166400829833,0.40388335991701674
34,244,False,0.013022971293479152,71,63,0.2004257548989018,0.20197225042967493,0.19679544572081534,0.19950166865487887,0.20130488029572913,0.0015464955307731287,1.6090634258035341,0.014084507042253521,0.5492957746478874,0.4225352112676056,0.014084507042253521,0.0,0.5985329129976629,0.4014670870023372,0.5977334784448809,0.4022665215551191,0.6004040052857805,0.39959599471421947,0.5990112035976188,0.4009887964023811,0.5980781267672346,0.40192187323276546
35,251,False,0.002776330965372447,64,59,0.20037730447086124,0.20183425106933253,0.19706644761577402,0.19951977300429324,0.2012022238397389,0.001456946598471287,1.6089795315487414,0.0,0.53125,0.46875,0.0,0.0,0.5980995395118285,0.4019004604881716,0.5972718503391234,0.40272814966087667,0.6000635172494203,0.3999364827505798,0.5985979485636438,0.4014020514363562,0.5976278589160983,0.4023721410839017
36,258,False,0.009226184095678418,65,60,0.20042859553581538,0.2021081018865937,0.19664098750666775,0.1994437410400632,0.20137857403085982,0.0016795063507783203,1.6089030030012228,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,0.599475848515446,0.4005241514845541,0.59857294243545,0.40142705756455005,0.6016231213200276,0.3983768786799724,0.6000200408449703,0.3999799591550297,0.5989611933878519,0.40103880661214797
37,265,False,0.015234787602544684,70,66,0.19998472593592645,0.1999460943255398,0.20009627698808757,0.20001107037532673,0.19996183237511933,3.863161038664131e-05,1.6092045637353203,0.0,0.45714285714285713,0.5428571428571428,0.0,0.0,0.6017387944976784,0.3982612055023217,0.6006958099499663,0.3993041900500337,0.6042275691735213,0.39577243082647867,0.6023683175513633,0.3976316824486366,0.6011440802919643,0.3988559197080356
38,272,False,0.013713867750179498,70,64,0.20036555751838087,0.20153615569595182,0.1974183475494138,0.1996433500421362,0.2010365891941172,0.0011705981775709529,1.6091227303070568,0.02857142857142857,0.5285714285714286,0.44285714285714284,0.0,0.0,0.603767941559932,0.3962320584400679,0.6025628122227535,0.3974371877772464,0.606610704492841,0.39338929550715884,0.6044911966606248,0.3955088033393753,0.6030818534821246,0.3969181465178754
39,279,False,0.0011942442741073504,81,72,0.20033072194104648,0.2014744191159858,0.19757296821890147,0.19963894598574092,0.2009829447383253,0.0011436971749393121,1.6090712235604745,0.0,0.5432098765432098,0.4444444444444444,0.012345679012345678,0.0,0.6037954167275986,0.3962045832724014,0.6024383803320869,0.3975616196679132,0.6069707346927394,0.39302926530726057,0.6046066628963624,0.3953933371036376,0.6030236653799547,0.3969763346200454
