round,i,j,r_i,r_j
0,0,16,0.0,5.0
0,12,6,3.0,3.0
0,15,10,0.0,5.0
0,13,6,5.0,0.0
0,2,8,3.0,3.0
0,7,13,1.0,1.0
0,16,1,5.0,0.0
0,5,13,0.0,5.0
0,0,1,3.0,3.0
0,3,5,3.0,3.0
0,7,6,0.0,5.0
0,10,11,5.0,0.0
0,8,15,0.0,5.0
1,18,13,0.0,5.0
1,2,10,3.0,3.0
1,17,8,5.0,0.0
1,6,2,3.0,3.0
1,10,7,5.0,0.0
1,19,9,5.0,0.0
1,11,2,3.0,3.0
1,12,10,3.0,3.0
1,9,8,0.0,5.0
1,13,19,3.0,3.0
1,17,9,1.0,1.0
1,6,12,0.0,5.0
1,3,17,0.0,5.0
2,11,0,3.0,3.0
2,15,0,3.0,3.0
2,1,5,3.0,3.0
2,19,2,5.0,0.0
2,8,12,0.0,5.0
2,18,4,5.0,0.0
2,4,9,3.0,3.0
2,18,1,5.0,0.0
2,16,8,5.0,0.0
2,18,17,5.0,0.0
2,0,5,3.0,3.0
3,7,0,3.0,3.0
3,5,4,3.0,3.0
3,14,1,3.0,3.0
3,8,14,0.0,5.0
3,16,15,3.0,3.0
3,16,7,5.0,0.0
3,3,9,3.0,3.0
3,3,12,0.0,5.0
3,1,6,3.0,3.0
3,10,19,5.0,0.0
3,8,16,5.0,0.0
3,19,0,5.0,0.0
3,18,10,5.0,0.0
3,4,10,3.0,3.0
4,16,2,5.0,0.0
4,16,9,5.0,0.0
4,14,10,0.0,5.0
4,14,7,5.0,0.0
4,2,8,0.0,5.0
4,13,5,5.0,0.0
4,2,17,0.0,5.0
4,14,0,3.0,3.0
4,15,1,3.0,3.0
4,6,17,0.0,5.0
4,0,16,0.0,5.0
4,8,4,3.0,3.0
5,15,13,3.0,3.0
5,18,16,3.0,3.0
5,5,2,5.0,0.0
5,11,15,0.0,5.0
5,1,4,3.0,3.0
5,16,14,0.0,5.0
5,2,10,0.0,5.0
5,13,11,0.0,5.0
5,8,14,0.0,5.0
5,0,1,3.0,3.0
5,17,5,1.0,1.0
5,3,0,0.0,5.0
