round,i,j,r_i,r_j
0,0,16,-1.0,1.0
0,12,6,1.0,-1.0
0,15,10,-1.0,1.0
0,13,6,-1.0,1.0
0,2,8,1.0,-1.0
0,7,13,1.0,-1.0
0,16,1,-1.0,1.0
0,5,13,-1.0,1.0
0,0,1,1.0,-1.0
0,3,5,-1.0,1.0
0,7,6,-1.0,1.0
0,10,11,-1.0,1.0
0,8,15,-1.0,1.0
1,18,13,-1.0,1.0
1,2,10,-1.0,1.0
1,17,8,-1.0,1.0
1,6,2,1.0,-1.0
1,10,7,-1.0,1.0
1,19,9,-1.0,1.0
1,11,2,-1.0,1.0
1,12,10,1.0,-1.0
1,9,8,-1.0,1.0
1,13,19,1.0,-1.0
1,17,9,1.0,-1.0
1,6,12,-1.0,1.0
1,3,17,-1.0,1.0
2,11,0,1.0,-1.0
2,15,0,1.0,-1.0
2,1,5,-1.0,1.0
2,19,2,1.0,-1.0
2,8,12,-1.0,1.0
2,18,4,-1.0,1.0
2,4,9,1.0,-1.0
2,18,1,-1.0,1.0
2,16,8,-1.0,1.0
2,18,17,1.0,-1.0
2,0,5,1.0,-1.0
3,7,0,1.0,-1.0
3,5,4,1.0,-1.0
3,14,1,1.0,-1.0
3,8,14,-1.0,1.0
3,16,15,1.0,-1.0
3,16,7,-1.0,1.0
3,3,9,-1.0,1.0
3,3,12,1.0,-1.0
3,1,6,1.0,-1.0
3,10,19,-1.0,1.0
3,8,16,-1.0,1.0
3,19,0,-1.0,1.0
3,18,10,1.0,-1.0
3,4,10,1.0,-1.0
4,16,2,-1.0,1.0
4,16,9,-1.0,1.0
4,14,10,-1.0,1.0
4,14,7,-1.0,1.0
4,2,8,-1.0,1.0
4,13,5,-1.0,1.0
4,2,17,-1.0,1.0
4,14,0,-1.0,1.0
4,15,1,1.0,-1.0
4,6,17,-1.0,1.0
4,0,16,-1.0,1.0
4,8,4,1.0,-1.0
5,15,13,1.0,-1.0
5,18,16,1.0,-1.0
5,5,2,-1.0,1.0
5,11,15,-1.0,1.0
5,1,4,1.0,-1.0
5,16,14,1.0,-1.0
5,2,10,-1.0,1.0
5,13,11,1.0,-1.0
5,8,14,-1.0,1.0
5,0,1,-1.0,1.0
5,17,5,1.0,-1.0
5,3,0,-1.0,1.0
5,5,4,1.0,-1.0
5,17,15,-1.0,1.0
6,19,12,1.0,-1.0
6,18,7,-1.0,1.0
6,4,6,1.0,-1.0
6,2,10,1.0,-1.0
6,5,10,-1.0,1.0
6,4,14,1.0,-1.0
6,0,18,-1.0,1.0
6,8,6,1.0,-1.0
6,14,2,-1.0,1.0
6,4,2,-1.0,1.0
6,11,9,-1.0,1.0
6,12,10,-1.0,1.0
6,13,12,1.0,-1.0
7,4,2,1.0,-1.0
7,14,0,-1.0,1.0
7,3,0,-1.0,1.0
7,16,8,-1.0,1.0
7,5,1,1.0,-1.0
7,4,7,1.0,-1.0
7,18,9,1.0,-1.0
7,10,15,1.0,-1.0
8,5,12,-1.0,1.0
8,4,13,1.0,-1.0
8,12,6,1.0,-1.0
8,10,11,-1.0,1.0
8,9,19,-1.0,1.0
8,10,19,-1.0,1.0
8,9,17,-1.0,1.0
9,1,12,-1.0,1.0
9,3,15,1.0,-1.0
