prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1
0,6,False,1.3104214496601574,74,69,0.333402724525215,0.3335473941450343,0.3330498813297502,0.00014466961981929316,1.098541682992185,0.9324324324324325,0.04054054054054054,0.02702702702702703,0.7162823093046706,0.2837176906953293,0.6801132029367298,0.3198867970632703,0.7931823028618291,0.20681769713817091
1,13,False,2.5783654654579817,60,57,0.3331846012267095,0.33272701329107096,0.33408838548221953,0.00045758793563854816,1.0982996133708882,0.8,0.1,0.1,0.26304606523063073,0.7369539347693693,0.28763831976585014,0.7123616802341498,0.2233883631291341,0.7766116368708658
2,20,False,1.9315200376265191,75,67,0.33497059103885635,0.34020397957850257,0.32482542938264064,0.005233388539646222,1.096368916774454,0.6133333333333333,0.24,0.14666666666666667,0.627368511163824,0.37263148883617603,0.6285218773623211,0.3714781226376789,0.6193522221641291,0.38064777783587095
3,27,False,0.524041147784493,63,59,0.33610697862588196,0.34594163172232806,0.31795138965179,0.0098346530964461,1.0951656370747331,0.4603174603174603,0.3968253968253968,0.14285714285714285,0.5206522677947101,0.47934773220528987,0.5186920300033823,0.48130796999661773,0.5236800836479312,0.4763199163520688
4,34,False,0.45687314581658106,63,56,0.3354377790103104,0.3416046637392334,0.32295755725045633,0.006166884728923017,1.0957054823026449,0.4126984126984127,0.31746031746031744,0.2698412698412698,0.42763011781500476,0.5723698821849953,0.42703678640661985,0.5729632135933801,0.43012567504168336,0.5698743249583166
5,41,False,0.3040192812055661,80,75,0.33481142028020955,0.3413033168528716,0.3238852628669185,0.006491896572662026,1.0958750953112557,0.4,0.3625,0.2375,0.4906520597281676,0.5093479402718324,0.4962096483735655,0.5037903516264345,0.4812429423843875,0.5187570576156125
6,48,False,0.08306991311607101,76,72,0.33473275441465794,0.3386584776907275,0.3266087678946141,0.003925723276069548,1.096860528539686,0.4605263157894737,0.2894736842105263,0.25,0.5037226613110788,0.4962773386889212,0.502954037047819,0.49704596295218095,0.5066545451866973,0.4933454548133026
7,55,False,0.14142755234392662,75,70,0.33390051732093523,0.33573566926541687,0.33036381341364757,0.0018351519444816389,1.0967260326066557,0.22666666666666666,0.3466666666666667,0.4266666666666667,0.47542239945389325,0.5245776005461067,0.47554995868725075,0.5244500413127493,0.4759143276024518,0.5240856723975482
8,62,False,0.06172559990453528,66,56,0.3338114276356884,0.3357617249432521,0.3304268474210596,0.001950297307563742,1.0975307314596097,0.18181818181818182,0.4696969696969697,0.3484848484848485,0.4884395302488394,0.5115604697511605,0.4904480289980992,0.5095519710019009,0.4850569798192693,0.5149430201807306
9,69,False,0.0807304304691784,67,60,0.33458416811994923,0.3385090147999154,0.3269068170801352,0.003924846679966176,1.0966865127698382,0.2835820895522388,0.373134328358209,0.34328358208955223,0.503229350421702,0.496770649578298,0.5014848481649021,0.49851515183509787,0.5068244978173853,0.4931755021826148
10,76,False,0.08571854184499729,67,61,0.33409074452559634,0.3366297017762809,0.3292795536981224,0.002538957250684537,1.097226548971002,0.1044776119402985,0.4626865671641791,0.43283582089552236,0.486132120487672,0.5138678795123279,0.4857628948548068,0.5142371051451932,0.4873669052819713,0.5126330947180288
11,83,False,0.28354378403981906,62,57,0.3350050943082955,0.3401448861759722,0.32485001951573234,0.005139791867676713,1.0965845616575138,0.14516129032258066,0.5,0.3548387096774194,0.4284430273595904,0.5715569726404096,0.4268634922555591,0.573136507744441,0.43181404325763423,0.5681859567423658
12,90,False,0.05989990052885409,80,72,0.33470412774636926,0.339239429720931,0.3260564425326996,0.004535301974561756,1.0960930972691194,0.1,0.4125,0.4875,0.4404144593377076,0.5595855406622925,0.4396625430410329,0.5603374569589671,0.44304868675079234,0.5569513132492077
13,97,False,0.11427557993979805,53,48,0.33443736626327175,0.3363477393617854,0.329214894374943,0.0019103730985136624,1.0973618707213804,0.05660377358490566,0.4528301886792453,0.49056603773584906,0.4634381978423758,0.5365618021576243,0.4627363166755579,0.5372636833244421,0.466287592325862,0.533712407674138
14,104,False,0.11957254066079216,67,62,0.3343255492095649,0.3374066159399037,0.3282678348505314,0.003081066730338755,1.0970786678718458,0.07462686567164178,0.4626865671641791,0.4626865671641791,0.4390301580040657,0.5609698419959342,0.43736110071081974,0.5626388992891803,0.44361999985886635,0.5563800001411336
15,111,False,0.1080206600707508,78,74,0.33521775043738367,0.34066616846371667,0.32411608109889944,0.005448418026333002,1.0964619433152423,0.07692307692307693,0.48717948717948717,0.4358974358974359,0.46111259089175705,0.5388874091082428,0.4599571621257671,0.5400428378742329,0.4643960280996949,0.5356039719003052
