round,i,j,r_i,r_j
0,0,3,0.0,5.0
1,4,3,1.0,1.0
2,3,5,1.0,1.0
3,2,4,0.0,5.0
4,2,3,0.0,5.0
5,5,0,5.0,0.0
6,0,3,0.0,5.0
7,4,0,5.0,0.0
8,1,2,3.0,3.0
9,0,3,0.0,5.0
10,3,0,5.0,0.0
11,5,4,1.0,1.0
12,4,2,5.0,0.0
13,4,2,5.0,0.0
14,4,1,5.0,0.0
15,4,3,1.0,1.0
16,3,0,5.0,0.0
17,0,4,0.0,5.0
18,5,0,5.0,0.0
19,2,4,0.0,5.0
20,3,0,5.0,0.0
21,2,1,3.0,3.0
22,1,0,3.0,3.0
23,5,2,5.0,0.0
24,4,3,1.0,1.0
25,3,5,1.0,1.0
26,2,3,0.0,5.0
27,4,5,1.0,1.0
28,3,1,5.0,0.0
29,2,4,0.0,5.0
30,2,4,0.0,5.0
31,1,2,3.0,3.0
32,0,3,0.0,5.0
33,3,1,5.0,0.0
34,5,1,5.0,0.0
35,0,2,3.0,3.0
36,5,0,5.0,0.0
37,4,5,1.0,1.0
38,1,4,0.0,5.0
39,3,4,1.0,1.0
40,0,5,0.0,5.0
41,4,2,5.0,0.0
42,4,1,5.0,0.0
43,2,0,3.0,3.0
44,0,3,0.0,5.0
45,5,4,1.0,1.0
46,2,4,0.0,5.0
47,5,1,5.0,0.0
48,4,0,5.0,0.0
49,4,3,1.0,1.0
50,4,2,5.0,0.0
51,1,0,3.0,3.0
52,2,0,3.0,3.0
53,2,5,0.0,5.0
54,2,5,0.0,5.0
55,0,2,3.0,3.0
56,3,1,5.0,0.0
57,0,5,0.0,5.0
58,4,2,5.0,0.0
59,4,0,5.0,0.0
60,5,2,5.0,0.0
61,4,2,5.0,0.0
62,2,0,3.0,3.0
63,5,4,1.0,1.0
64,2,3,0.0,5.0
65,1,5,0.0,5.0
66,5,2,5.0,0.0
67,2,1,3.0,3.0
68,0,3,0.0,5.0
69,2,5,0.0,5.0
70,4,3,1.0,1.0
71,1,0,3.0,3.0
72,2,4,0.0,5.0
73,0,4,0.0,5.0
74,4,0,5.0,0.0
75,2,5,0.0,5.0
76,1,5,0.0,5.0
77,1,2,3.0,3.0
78,3,1,5.0,0.0
79,4,0,5.0,0.0
80,5,3,1.0,1.0
81,2,4,0.0,5.0
82,0,5,0.0,5.0
83,4,5,1.0,1.0
84,3,4,1.0,1.0
85,4,1,5.0,0.0
86,0,3,0.0,5.0
87,1,5,0.0,5.0
88,4,3,1.0,1.0
89,4,5,1.0,1.0
90,2,4,0.0,5.0
91,4,5,1.0,1.0
92,5,0,5.0,0.0
93,2,1,3.0,3.0
94,5,1,5.0,0.0
95,1,4,0.0,5.0
96,1,3,0.0,5.0
97,4,0,5.0,0.0
98,3,5,1.0,1.0
99,0,5,0.0,5.0
100,4,5,1.0,1.0
101,1,0,3.0,3.0
102,4,5,1.0,1.0
103,0,1,3.0,3.0
104,4,3,1.0,1.0
105,4,3,1.0,1.0
106,4,3,1.0,1.0
107,3,5,1.0,1.0
108,2,5,0.0,5.0
109,4,1,5.0,0.0
110,1,4,0.0,5.0
111,4,3,1.0,1.0
112,3,1,5.0,0.0
113,2,4,0.0,5.0
114,3,0,5.0,0.0
115,3,2,5.0,0.0
116,0,2,3.0,3.0
117,0,5,0.0,5.0
118,1,3,0.0,5.0
119,0,4,0.0,5.0
120,2,4,0.0,5.0
121,4,0,5.0,0.0
122,3,5,1.0,1.0
123,2,5,0.0,5.0
124,5,0,5.0,0.0
125,3,1,5.0,0.0
126,0,3,0.0,5.0
127,4,2,5.0,0.0
128,3,2,5.0,0.0
129,3,5,1.0,1.0
130,3,1,5.0,0.0
131,3,1,5.0,0.0
132,0,3,0.0,5.0
133,3,1,5.0,0.0
134,4,3,1.0,1.0
135,1,5,0.0,5.0
136,3,4,1.0,1.0
137,0,1,3.0,3.0
138,2,0,3.0,3.0
139,2,4,0.0,5.0
140,5,4,1.0,1.0
141,1,2,3.0,3.0
142,1,4,0.0,5.0
143,2,3,0.0,5.0
144,5,4,1.0,1.0
145,5,0,5.0,0.0
146,0,2,3.0,3.0
147,1,3,0.0,5.0
148,4,5,1.0,1.0
149,0,2,3.0,3.0
150,5,0,5.0,0.0
151,1,4,0.0,5.0
152,5,2,5.0,0.0
153,1,4,0.0,5.0
154,2,4,0.0,5.0
155,3,5,1.0,1.0
156,0,4,0.0,5.0
157,3,1,5.0,0.0
158,3,0,5.0,0.0
159,4,3,1.0,1.0
160,5,4,1.0,1.0
161,3,5,1.0,1.0
162,2,3,0.0,5.0
163,2,3,0.0,5.0
164,2,3,0.0,5.0
165,4,5,1.0,1.0
166,1,5,0.0,5.0
167,1,0,3.0,3.0
168,2,0,3.0,3.0
169,0,1,3.0,3.0
170,0,4,0.0,5.0
171,0,3,0.0,5.0
172,4,3,1.0,1.0
173,4,1,5.0,0.0
174,4,0,5.0,0.0
175,2,4,0.0,5.0
176,4,1,5.0,0.0
177,0,5,0.0,5.0
178,5,2,5.0,0.0
179,3,0,5.0,0.0
180,5,3,1.0,1.0
181,0,5,0.0,5.0
182,2,5,0.0,5.0
183,4,0,5.0,0.0
184,2,5,0.0,5.0
185,2,4,0.0,5.0
186,0,5,0.0,5.0
187,2,1,3.0,3.0
188,1,3,0.0,5.0
189,1,5,0.0,5.0
190,4,0,5.0,0.0
191,3,4,1.0,1.0
192,3,4,1.0,1.0
193,2,0,3.0,3.0
194,5,3,1.0,1.0
195,0,3,0.0,5.0
196,2,0,3.0,3.0
197,0,4,0.0,5.0
198,2,0,3.0,3.0
199,5,3,1.0,1.0
200,2,0,3.0,3.0
201,5,2,5.0,0.0
202,2,5,0.0,5.0
203,4,0,5.0,0.0
204,2,4,0.0,5.0
205,1,3,0.0,5.0
206,4,2,5.0,0.0
207,5,4,1.0,1.0
208,1,3,0.0,5.0
209,4,3,1.0,1.0
210,1,3,0.0,5.0
211,4,1,5.0,0.0
212,4,3,1.0,1.0
213,2,4,0.0,5.0
214,4,2,5.0,0.0
215,1,4,0.0,5.0
216,0,3,0.0,5.0
217,0,3,0.0,5.0
218,2,4,0.0,5.0
219,5,2,5.0,0.0
220,0,4,0.0,5.0
221,2,4,0.0,5.0
222,4,1,5.0,0.0
223,1,2,3.0,3.0
224,4,1,5.0,0.0
225,1,5,0.0,5.0
226,4,5,1.0,1.0
227,3,2,5.0,0.0
228,3,1,5.0,0.0
229,1,0,3.0,3.0
230,2,4,0.0,5.0
231,5,0,5.0,0.0
232,0,1,3.0,3.0
233,4,2,5.0,0.0
234,2,5,0.0,5.0
235,4,1,5.0,0.0
236,3,5,1.0,1.0
237,2,3,0.0,5.0
238,1,5,0.0,5.0
239,3,4,1.0,1.0
240,0,5,0.0,5.0
241,3,2,5.0,0.0
242,0,3,0.0,5.0
243,3,5,1.0,1.0
244,3,4,1.0,1.0
245,0,3,0.0,5.0
246,4,2,5.0,0.0
247,2,3,0.0,5.0
248,4,3,1.0,1.0
249,0,2,3.0,3.0
