prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,4,False,9.000449958753762,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.00011505364496815003,0.9998849463550319,0.00013234011124920383,0.9998676598887508
1,9,False,5.786383189751189,5,4,0.4980009310078839,0.501999068992116,0.003998137984232097,0.693127198839307,0.6,0.4,0.036140700252035265,0.9638592997479648,0.04133991947864631,0.9586600805213538
2,14,False,5.09819058810793,5,4,0.4932896519871045,0.5067103480128955,0.01342069602579099,0.6926965543135705,0.8,0.2,0.8513481264868169,0.14865187351318312,0.8831908704134703,0.11680912958652964
3,19,False,2.4193374563311494,5,5,0.4843022884080764,0.5156977115919237,0.031395423183847304,0.6921879154214491,0.2,0.8,0.35633266087146,0.64366733912854,0.38310218643973265,0.6168978135602674
4,24,False,1.8199343846444733,5,5,0.5024728627917542,0.49752713720824593,0.004945725583508254,0.6912033917563152,0.8,0.2,0.7694390748543234,0.2305609251456766,0.796847169822312,0.20315283017768793
5,29,False,2.0918364203637276,5,5,0.509008566953999,0.4909914330460009,0.018017133907998084,0.6919128511126594,0.6,0.4,0.2914925549601668,0.7085074450398332,0.326584293141803,0.673415706858197
6,34,False,0.9098380143095223,5,5,0.5074726391702259,0.4925273608297741,0.014945278340451784,0.6896419464794964,0.4,0.6,0.5018439346384529,0.49815606536154716,0.5498977596302774,0.4501022403697226
7,39,False,0.3498976329436161,5,5,0.49750746608340934,0.5024925339165907,0.004985067833181311,0.6919700571647355,0.8,0.2,0.4214975032690202,0.5785024967309798,0.4566728040046855,0.5433271959953145
8,44,False,0.39959597731268975,5,5,0.48147061035928196,0.5185293896407179,0.03705877928143597,0.6908824034539012,0.6,0.4,0.5167458762829065,0.48325412371709364,0.5600084969371095,0.4399915030628904
9,49,False,0.31694212307074987,5,5,0.5203685334389627,0.47963146656103717,0.040737066877925554,0.6867227648657597,0.6,0.4,0.4249105298575643,0.5750894701424357,0.49692558907346146,0.5030744109265386
10,54,False,0.28660017754950406,5,4,0.48178001154336486,0.5182199884566352,0.03643997691327033,0.6894103290260759,0.4,0.6,0.49753349493251325,0.5024665050674867,0.5665982554868568,0.4334017445131431
11,59,False,0.5100091894683619,5,5,0.45542024770624706,0.5445797522937529,0.08915950458750582,0.6848914879329066,0.2,0.8,0.6162358266453613,0.38376417335463886,0.690663197739626,0.30933680226037397
12,64,False,0.10149126751826852,5,5,0.46412944053042615,0.535870559469574,0.07174111893914781,0.6814865119329646,0.4,0.6,0.5886760356826608,0.41132396431733914,0.6720521219133895,0.3279478780866106
13,69,False,0.38525204228811605,5,5,0.5050579316335989,0.4949420683664011,0.010115863267197822,0.6901580400003631,0.6,0.4,0.4973593126987277,0.5026406873012723,0.578517040837772,0.42148295916222794
14,74,False,0.22466831216573865,5,5,0.5250580236810725,0.4749419763189275,0.05011604736214498,0.6783599303469883,0.6,0.4,0.4271771591393134,0.5728228408606866,0.5428662978280753,0.4571337021719247
15,79,False,0.1734895020251811,5,5,0.48447065454351534,0.5155293454564847,0.03105869091296931,0.6763364291350307,0.4,0.6,0.4579458302383319,0.5420541697616682,0.5946323384041112,0.40536766159588883
16,84,False,0.7284524997255352,5,5,0.5591338759913614,0.44086612400863856,0.11826775198272288,0.6799245666433288,1.0,0.0,0.29143135395557906,0.7085686460444208,0.41245449590388494,0.5875455040961151
17,89,False,0.19137678065217517,5,5,0.5788300254910553,0.42116997450894467,0.15766005098211067,0.6711192994216137,0.8,0.2,0.24966499388615418,0.7503350061138457,0.3723552699809647,0.6276447300190353
18,94,False,0.3769558967552268,5,5,0.545266674848924,0.454733325151076,0.09053334969784799,0.6570733708210261,0.4,0.6,0.3168942810682521,0.6831057189317479,0.4737029440991568,0.5262970559008432
19,99,False,0.23745391682845374,5,5,0.49948609898947965,0.5005139010105204,0.0010278020210407468,0.6736742394319547,0.8,0.2,0.2697803862700458,0.7302196137299543,0.4128614060774095,0.5871385939225905
20,104,False,0.09747904273050458,5,4,0.6074632491697843,0.39253675083021566,0.21492649833956867,0.6332914318285916,0.8,0.2,0.27779187794386384,0.7222081220561362,0.44514331606493446,0.5548566839350656
21,109,False,0.17064523993161806,5,4,0.6228561527200512,0.3771438472799487,0.24571230544010253,0.6197356969121806,0.8,0.2,0.23518824579413358,0.7648117542058663,0.42296765325395375,0.5770323467460463
22,114,False,0.1055777348462073,5,5,0.5943771975522165,0.40562280244778337,0.18875439510443315,0.6120773628048621,0.6,0.4,0.24406089516503418,0.7559391048349658,0.4577363951772297,0.5422636048227704
23,119,False,0.07777041682768934,5,5,0.5588554699544306,0.44114453004556947,0.11771093990886111,0.6724603469397342,0.8,0.2,0.26460497397410165,0.7353950260258983,0.4623948862115076,0.5376051137884924
24,124,False,0.11661534439875774,5,5,0.553276146152403,0.44672385384759705,0.1065522923048059,0.5835503072910502,0.6,0.4,0.2530735349130732,0.7469264650869267,0.5007166393109854,0.4992833606890145
25,129,False,0.21445610101021573,5,5,0.45231841928125266,0.5476815807187474,0.09536316143749474,0.6179109999526525,0.4,0.6,0.27890211171256096,0.7210978882874391,0.5685017069370519,0.4314982930629481
26,134,False,0.2539516499543715,5,3,0.36453386307701746,0.6354661369229826,0.27093227384596513,0.3725368101117329,0.4,0.6,0.26062011428795595,0.739379885712044,0.6508271393235247,0.3491728606764754
27,139,False,0.04471430509383517,5,5,0.5819033382639228,0.4180966617360772,0.16380667652784564,0.6182096216260938,0.6,0.4,0.2641009770747977,0.7358990229252023,0.6369275192154397,0.36307248078456045
28,144,False,0.19725961894054705,5,4,0.5855772827824085,0.4144227172175916,0.1711545655648169,0.6493513276421046,0.8,0.2,0.2383411166781775,0.7616588833218224,0.579095911932893,0.42090408806710694
29,149,False,0.16042388151138276,5,4,0.42182576933601146,0.5781742306639885,0.15634846132797708,0.5467410218393235,0.4,0.6,0.24909981649280794,0.750900183507192,0.6314163252554588,0.3685836747445412
30,154,False,0.08933336565443001,5,4,0.6265961700862054,0.3734038299137946,0.25319234017241077,0.4309466986459022,0.6,0.4,0.23400394772914504,0.765996052270855,0.6534064379997171,0.3465935620002828
31,159,False,0.07993937146452812,5,5,0.5402447118208252,0.45975528817917477,0.08048942364165046,0.43173829989516593,0.6,0.4,0.21683314808341683,0.7831668519165832,0.6659100857126998,0.3340899142873001
32,164,False,0.2284373185148119,5,3,0.8574222812966201,0.1425777187033797,0.7148445625932405,0.39159187792696354,1.0,0.0,0.1719412561499785,0.8280587438500217,0.6324671546109764,0.36753284538902375
33,169,False,0.14971920411321718,5,5,0.4816281000852299,0.5183718999147702,0.03674379982954029,0.5077609384935027,0.4,0.6,0.18620227781347962,0.8137977221865205,0.6750241129427786,0.3249758870572213
34,174,False,0.05686492967985372,5,5,0.6002809467017964,0.3997190532982036,0.20056189340359282,0.42938482644379034,0.6,0.4,0.1799615537066299,0.8200384462933702,0.6899193710089816,0.31008062899101846
35,179,False,0.12026290823811266,5,5,0.4314073425225219,0.5685926574774782,0.13718531495495634,0.3913259014192964,0.4,0.6,0.1824699097191651,0.8175300902808348,0.7249156510893964,0.2750843489106035
36,184,False,0.12627404711322973,5,4,0.6417336656025925,0.3582663343974075,0.28346733120518497,0.40714175489892773,0.8,0.2,0.16113527577986936,0.8388647242201307,0.7052102161750733,0.29478978382492665
37,189,False,0.057353332536830004,5,5,0.7927249659968034,0.20727503400319658,0.5854499319936068,0.35345655498082246,0.8,0.2,0.15089434101503404,0.8491056589849659,0.7004191185300938,0.2995808814699062
38,194,False,0.06708770030361891,5,4,0.5079133262996915,0.49208667370030845,0.015826652599383095,0.3413549111937092,0.6,0.4,0.14095743860028792,0.8590425613997121,0.711089047672035,0.28891095232796504
