round,i,j,r_i,r_j
0,1,2,3.0,3.0
1,0,3,0.0,5.0
2,3,0,5.0,0.0
3,5,4,1.0,1.0
4,4,2,5.0,0.0
5,4,2,5.0,0.0
6,4,1,5.0,0.0
7,4,3,1.0,1.0
8,3,0,5.0,0.0
9,0,4,0.0,5.0
10,5,0,5.0,0.0
11,2,4,0.0,5.0
12,3,0,5.0,0.0
13,2,1,3.0,3.0
14,1,0,3.0,3.0
15,5,2,5.0,0.0
16,4,3,1.0,1.0
17,3,5,1.0,1.0
18,2,3,0.0,5.0
19,4,5,1.0,1.0
20,3,1,5.0,0.0
21,2,4,0.0,5.0
22,2,4,0.0,5.0
23,1,2,3.0,3.0
24,0,3,0.0,5.0
25,3,1,5.0,0.0
26,5,1,5.0,0.0
27,0,2,3.0,3.0
28,5,0,5.0,0.0
29,4,5,1.0,1.0
30,1,4,0.0,5.0
31,3,4,1.0,1.0
32,0,5,0.0,5.0
33,4,2,5.0,0.0
34,4,1,5.0,0.0
35,2,0,3.0,3.0
36,0,3,0.0,5.0
37,5,4,1.0,1.0
38,2,4,0.0,5.0
39,5,1,5.0,0.0
40,4,0,5.0,0.0
41,4,3,1.0,1.0
42,4,2,5.0,0.0
43,1,0,3.0,3.0
44,2,0,3.0,3.0
45,2,5,0.0,5.0
46,2,5,0.0,5.0
47,0,2,3.0,3.0
48,3,1,5.0,0.0
49,0,5,0.0,5.0
50,4,2,5.0,0.0
51,4,0,5.0,0.0
52,5,2,5.0,0.0
53,4,2,5.0,0.0
54,2,0,3.0,3.0
55,5,4,1.0,1.0
56,2,3,0.0,5.0
57,1,5,0.0,5.0
58,5,2,5.0,0.0
59,2,1,3.0,3.0
60,0,3,0.0,5.0
61,2,5,0.0,5.0
62,4,3,1.0,1.0
63,1,0,3.0,3.0
64,2,4,0.0,5.0
65,0,4,0.0,5.0
66,4,0,5.0,0.0
67,2,5,0.0,5.0
68,1,5,0.0,5.0
69,1,2,3.0,3.0
70,3,1,5.0,0.0
71,4,0,5.0,0.0
72,5,3,1.0,1.0
73,2,4,0.0,5.0
74,0,5,0.0,5.0
75,4,5,1.0,1.0
76,3,4,1.0,1.0
77,4,1,5.0,0.0
78,0,3,0.0,5.0
79,1,5,0.0,5.0
80,4,3,1.0,1.0
81,4,5,1.0,1.0
82,2,4,0.0,5.0
83,4,5,1.0,1.0
84,5,0,5.0,0.0
85,2,1,3.0,3.0
86,5,1,5.0,0.0
87,1,4,0.0,5.0
88,1,3,0.0,5.0
89,4,0,5.0,0.0
90,3,5,1.0,1.0
91,0,5,0.0,5.0
92,4,5,1.0,1.0
93,1,0,3.0,3.0
94,4,5,1.0,1.0
95,0,1,3.0,3.0
96,4,3,1.0,1.0
97,4,3,1.0,1.0
98,4,3,1.0,1.0
99,3,5,1.0,1.0
100,2,5,0.0,5.0
101,4,1,5.0,0.0
102,1,4,0.0,5.0
103,4,3,1.0,1.0
104,3,1,5.0,0.0
105,2,4,0.0,5.0
106,3,0,5.0,0.0
107,3,2,5.0,0.0
108,0,2,3.0,3.0
109,0,5,0.0,5.0
110,1,3,0.0,5.0
111,0,4,0.0,5.0
112,2,4,0.0,5.0
113,4,0,5.0,0.0
114,3,5,1.0,1.0
115,2,5,0.0,5.0
116,5,0,5.0,0.0
117,3,1,5.0,0.0
118,0,3,0.0,5.0
119,4,2,5.0,0.0
120,3,2,5.0,0.0
121,3,5,1.0,1.0
122,3,1,5.0,0.0
123,3,1,5.0,0.0
124,0,3,0.0,5.0
125,3,1,5.0,0.0
126,4,3,1.0,1.0
127,1,5,0.0,5.0
128,3,4,1.0,1.0
129,0,1,3.0,3.0
130,2,0,3.0,3.0
131,2,4,0.0,5.0
132,5,4,1.0,1.0
133,1,2,3.0,3.0
134,1,4,0.0,5.0
135,2,3,0.0,5.0
136,5,4,1.0,1.0
137,5,0,5.0,0.0
138,0,2,3.0,3.0
139,1,3,0.0,5.0
140,4,5,1.0,1.0
141,0,2,3.0,3.0
142,5,0,5.0,0.0
143,1,4,0.0,5.0
144,5,2,5.0,0.0
145,1,4,0.0,5.0
146,2,4,0.0,5.0
147,3,5,1.0,1.0
148,0,4,0.0,5.0
149,3,1,5.0,0.0
150,3,0,5.0,0.0
151,4,3,1.0,1.0
152,5,4,1.0,1.0
153,3,5,1.0,1.0
154,2,3,0.0,5.0
155,2,3,0.0,5.0
156,2,3,0.0,5.0
157,4,5,1.0,1.0
158,1,5,0.0,5.0
159,1,0,3.0,3.0
160,2,0,3.0,3.0
161,0,1,3.0,3.0
162,0,4,0.0,5.0
163,0,3,0.0,5.0
164,4,3,1.0,1.0
165,4,1,5.0,0.0
166,4,0,5.0,0.0
167,2,4,0.0,5.0
168,4,1,5.0,0.0
169,0,5,0.0,5.0
170,5,2,5.0,0.0
171,3,0,5.0,0.0
172,5,3,1.0,1.0
173,0,5,0.0,5.0
174,2,5,0.0,5.0
175,4,0,5.0,0.0
176,2,5,0.0,5.0
177,2,4,0.0,5.0
178,0,5,0.0,5.0
179,2,1,3.0,3.0
180,1,3,0.0,5.0
181,1,5,0.0,5.0
182,4,0,5.0,0.0
183,3,4,1.0,1.0
184,3,4,1.0,1.0
185,2,0,3.0,3.0
186,5,3,1.0,1.0
187,0,3,0.0,5.0
188,2,0,3.0,3.0
189,0,4,0.0,5.0
190,2,0,3.0,3.0
191,5,3,1.0,1.0
192,2,0,3.0,3.0
193,5,2,5.0,0.0
194,2,5,0.0,5.0
195,4,0,5.0,0.0
196,2,4,0.0,5.0
197,1,3,0.0,5.0
198,4,2,5.0,0.0
199,5,4,1.0,1.0
200,1,3,0.0,5.0
201,4,3,1.0,1.0
202,1,3,0.0,5.0
203,4,1,5.0,0.0
204,4,3,1.0,1.0
205,2,4,0.0,5.0
206,4,2,5.0,0.0
207,1,4,0.0,5.0
208,0,3,0.0,5.0
209,0,3,0.0,5.0
210,2,4,0.0,5.0
211,5,2,5.0,0.0
212,0,4,0.0,5.0
213,2,4,0.0,5.0
214,4,1,5.0,0.0
215,1,2,3.0,3.0
216,4,1,5.0,0.0
217,1,5,0.0,5.0
218,4,5,1.0,1.0
219,3,2,5.0,0.0
220,3,1,5.0,0.0
221,1,0,3.0,3.0
222,2,4,0.0,5.0
223,5,0,5.0,0.0
224,0,1,3.0,3.0
225,4,2,5.0,0.0
226,2,5,0.0,5.0
227,4,1,5.0,0.0
228,3,5,1.0,1.0
229,2,3,0.0,5.0
230,1,5,0.0,5.0
231,3,4,1.0,1.0
232,0,5,0.0,5.0
233,3,2,5.0,0.0
234,0,3,0.0,5.0
235,3,5,1.0,1.0
236,3,4,1.0,1.0
237,0,3,0.0,5.0
238,4,2,5.0,0.0
239,2,3,0.0,5.0
240,4,3,1.0,1.0
241,0,2,3.0,3.0
242,1,0,3.0,3.0
243,2,5,0.0,5.0
244,1,0,3.0,3.0
245,1,5,0.0,5.0
246,3,5,1.0,1.0
247,0,5,0.0,5.0
248,4,0,5.0,0.0
249,0,4,0.0,5.0
