round,belief_entropy_mean,matched_cross_entropy,belief_argmax_accuracy,batch_log_likelihood,alpha_logged,prototype_step_m,prototype_update_norm,belief_change_norm
0,0.693147180559945,1.3663943594532684,0.5,0.0,1.0,0,0.0,0.0
1,0.693145513976608,1.3663943594532684,0.5333333333333333,-0.6931971797266342,0.6597539553864471,0,0.0,0.009999666679979535
2,0.693145513976608,1.3663943594532684,0.5333333333333333,0.0,0.5172818579717866,0,0.0,0.0
3,0.693143847393271,1.3663943594532684,0.5333333333333333,-0.6931971797266342,0.43527528164806206,0,0.0,0.009999666679979535
4,0.6931421808099338,2.0720977288526186,0.4666666666666667,-0.6931971797266342,0.3807307877431757,1,1.8008097638593077,0.009999666679979535
5,0.6931421808099338,2.0720977288526186,0.4666666666666667,0.0,0.34127875184653655,1,0.0,0.0
6,0.6931421808099338,2.0720977288526186,0.4666666666666667,0.0,0.3111294892118257,1,0.0,0.0
7,0.6931280005518903,2.0720977288526186,0.4666666666666667,-1.953047964462308,0.2871745887492588,1,0.0,0.02916667324083727
8,0.6931235402843554,2.0720977288526186,0.5,-1.9533397042188247,0.2675805205867436,1,0.0,0.029172265063637237
9,0.6931235402843554,1.9083267880549948,0.5,0.0,0.251188643150958,2,3.3111136645558346,0.0
10,0.6931232799228353,1.9083267880549948,0.5,-0.19941630919616993,0.23722714866171576,2,0.0,0.0002665061269139235
11,0.6931232799228353,1.9083267880549948,0.5,0.0,0.22516000642010225,2,0.0,0.0
12,0.6931232555780171,1.9083267880549948,0.5333333333333333,-1.710378024354395,0.21460211045300662,2,0.0,0.0012085895662860557
13,0.6931232543922234,1.9083267880549948,0.5333333333333333,-0.19942408897216385,0.20526891114486695,2,0.0,0.00026673511048641574
14,0.6931232300474053,1.3888389150780456,0.5666666666666667,-1.710378024354395,0.19694512927085184,3,1.710111009114813,0.0012085895662860557
15,0.6931230465500449,1.3888389150780456,0.6,-0.5985297035963015,0.18946457081379978,3,0.0,0.003318105095136359
16,0.6931230465500449,1.3888389150780456,0.6,0.0,0.1826966765645725,3,0.0,0.0
17,0.6931230465500449,1.3888389150780456,0.6,0.0,0.17653730684146873,3,0.0,0.0
18,0.6931230465500449,1.3888389150780456,0.6,0.0,0.17090227321766677,3,0.0,0.0
19,0.6931228630526844,1.6864511068531596,0.6333333333333333,-0.5985297035963015,0.16572270086699936,4,0.9312345228189967,0.003318105095136359
20,0.6931228502073294,1.6864511068531596,0.6666666666666666,-0.27983695796923524,0.16094164024930613,4,0.0,0.000877907288294344
21,0.6931228502073294,1.6864511068531596,0.6666666666666666,0.0,0.15651154965461567,4,0.0,0.0
22,0.6931228502073294,1.6864511068531596,0.6666666666666666,0.0,0.15239239637031693,4,0.0,0.0
23,0.6931228502073294,1.6864511068531596,0.6666666666666666,0.0,0.1485502048305003,4,0.0,0.0
24,0.6931228502073294,1.8002522421604108,0.6666666666666666,0.0,0.1449559327355391,5,0.20643624524989673,0.0
25,0.6931228502073294,1.8002522421604108,0.6666666666666666,0.0,0.1415845912056503,5,0.0,0.0
26,0.6931228502073294,1.8002522421604108,0.6666666666666666,0.0,0.1384145488461686,5,0.0,0.0
27,0.6931230540314072,1.8002522421604108,0.6666666666666666,-0.23324548017461078,0.13542697604569512,5,0.0,0.0006314079435714715
28,0.6931230540314072,1.8002522421604108,0.6666666666666666,0.0,0.1326053973592681,5,0.0,0.0
29,0.6931230219461375,1.9905064169307447,0.6666666666666666,-0.2332384025286127,0.12993532803053964,6,0.2986406150466928,0.0006314656947554731
30,0.6931230219461375,1.9905064169307447,0.6666666666666666,0.0,0.12740397661775155,6,0.0,0.0
31,0.6931230219461375,1.9905064169307447,0.6666666666666666,0.0,0.125,6,0.0,0.0
32,0.6931230219461375,1.9905064169307447,0.6666666666666666,0.0,0.12271330022108154,6,0.0,0.0
33,0.6931230219461375,1.9905064169307447,0.6666666666666666,0.0,0.12053485499943511,6,0.0,0.0
34,0.6931230026813588,1.679934038155266,0.6666666666666666,-1.8134769169635288,0.1184565755177503,7,0.5228715491369035,0.0008409805984045948
35,0.6931230015381743,1.679934038155266,0.7,-0.28421060950249166,0.11647118646192989,7,0.0,0.0002618989705346908
36,0.6931229909582289,1.679934038155266,0.7,-1.3967820690686752,0.11457212431821104,7,0.0,0.0007967412707847732
37,0.6931229909582289,1.679934038155266,0.7,0.0,0.11275345073989092,7,0.0,0.0
38,0.6931229909582289,1.679934038155266,0.7,0.0,0.11100977841979782,7,0.0,0.0
39,0.6931229909582289,1.554003135054057,0.7,0.0,0.10933620739432781,8,0.279897483703922,0.0
40,0.6931229909582289,1.554003135054057,0.7,0.0,0.10772827009130774,8,0.0,0.0
41,0.6931230693969558,1.554003135054057,0.7,-0.3610870425212402,0.10618188374086235,8,0.0,0.00025463804339409535
42,0.6931230636818946,1.554003135054057,0.7,-1.193758717872516,0.10469330901369864,8,0.0,0.0005855797625268777
43,0.6931231474794621,1.554003135054057,0.7,-0.36108720331545535,0.10325911394829501,8,0.0,0.0002546349700811579
44,0.6931231474794621,1.5351181181972202,0.3,0.0,0.10187614238771993,9,0.045335723236227116,0.0
45,0.6931231474794621,1.5351181181972202,0.3,0.0,0.10054148627613585,9,0.0,0.0
46,0.6931231474794621,1.5351181181972202,0.3,0.0,0.09925246127060626,9,0.0,0.0
47,0.6931231474794621,1.5351181181972202,0.3,0.0,0.09800658521038948,9,0.0,0.0
48,0.6931231474794621,1.5351181181972202,0.3,0.0,0.09680155905721158,9,0.0,0.0
49,0.6931231474794621,1.5351181181972202,0.3,0.0,0.0956352499790037,10,0.0,0.0
50,0.6931231474794621,1.5351181181972202,0.3,0.0,0.09450567629859262,10,0.0,0.0
51,0.6931231040006526,1.5351181181972202,0.3333333333333333,-1.1624594528445753,0.09341099406970098,10,0.0,0.0016151555489172797
52,0.6931230605218428,1.5351181181972202,0.36666666666666664,-1.1624594528445753,0.09234948507682411,10,0.0,0.0016151555489172797
53,0.6931230515204982,1.5351181181972202,0.36666666666666664,-0.37500872421411346,0.09131954608429033,10,0.0,0.0007349017757404819
54,0.6931230080416886,1.3856816731011752,0.4,-1.1624594528445753,0.09031967918404249,11,0.7275660475515376,0.0016151555489172797
55,0.6931230080416886,1.3856816731011752,0.4,0.0,0.08934848311217299,11,0.0,0.0
56,0.6931230080416886,1.3856816731011752,0.4,0.0,0.08840464542163656,11,0.0,0.0
57,0.693123005497773,1.3856816731011752,0.43333333333333335,-0.6636532859377242,0.08748693541336866,11,0.0,0.0007322456540015398
58,0.693123005497773,1.3856816731011752,0.43333333333333335,0.0,0.08659419774067573,11,0.0,0.0
59,0.693123757756506,1.3822255077021062,0.5666666666666667,-0.7235611429942159,0.08572534661258403,12,0.013065465388524653,0.0007767800659688184
60,0.6931236628842465,1.3822255077021062,0.5666666666666667,-0.717626126249135,0.08487936053112406,12,0.0,0.0023858604682442386
