condition,seed,round,prototype_update_idx,prototype_update_norm,theta_0_a0,theta_0_a1,theta_1_a0,theta_1_a1,p_0_cooperate,p_0_defect,p_1_cooperate,p_1_defect
main,42,0,-1,0.0,0.01,-0.01,-0.01,0.01,0.5049998333399998,0.49500016666000024,0.49500016666000024,0.5049998333399998
main,42,4,0,1.8008097638593077,0.8830008999640013,-0.8830008999640013,0.9169991000359987,-0.9169991000359987,0.853959750878402,0.14604024912159794,0.8622373376618063,0.13776266233819362
main,42,9,1,3.3111136645558346,-0.7562146303268973,0.7562146303268973,-0.7547393050553337,0.7547393050553337,0.18057905585685094,0.819420944143149,0.18101607596038757,0.8189839240396125
main,42,14,2,1.710111009114813,0.09588975394272126,-0.09588975394272126,0.1032571693292268,-0.10325716932922724,0.5477984668657325,0.45220153313426753,0.551445875117674,0.448554124882326
main,42,19,3,0.9312345228189967,0.5633885954573444,-0.5633885954573445,0.5669852161707429,-0.5669852161707434,0.7552436508153707,0.24475634918462924,0.7565708838138729,0.243429116186127
main,42,24,4,0.20643624524989673,0.6668869553669438,-0.6668869553669439,0.6699223385924467,-0.6699223385924471,0.7914641987040626,0.2085358012959375,0.7924643974998249,0.207535602500175
main,42,29,5,0.2986406150466928,0.8172190731199112,-0.8172190731199114,0.8182239328173282,-0.8182239328173286,0.8367767135806103,0.16322328641938966,0.8370510182109612,0.1629489817890387
main,42,34,6,0.5228715491369035,0.5557564095751413,-0.5557564095751415,0.5568150499910418,-0.5568150499910423,0.7524110401035642,0.24758895989643584,0.7528052547016063,0.24719474529839372
main,42,39,7,0.279897483703922,0.41591691072460407,-0.4159169107246043,0.4167571503454872,-0.41675715034548766,0.6967425420461929,0.30325745795380715,0.6970974970521521,0.3029025029478479
main,42,44,8,0.045335723236227116,0.3949003937459649,-0.3949003937459652,0.3925503348844964,-0.3925503348844968,0.6877885541938975,0.3122114458061025,0.6867783825112374,0.3132216174887627
main,42,49,9,0.0,0.3949003937459649,-0.3949003937459652,0.3925503348844964,-0.3925503348844968,0.6877885541938975,0.3122114458061025,0.6867783825112374,0.3132216174887627
main,42,54,10,0.7275660475515376,0.03069742403186687,-0.03069742403186715,0.029187742387256743,-0.029187742387257243,0.5153438926391498,0.4846561073608502,0.5145897283141961,0.4854102716858039
main,42,59,11,0.013065465388524653,0.021854294604431862,-0.02185429460443214,0.02651337239808156,-0.026513372398082092,0.5109254079955234,0.4890745920044766,0.5132535807703138,0.4867464192296862
main,42,64,12,0.00869351966931978,0.017944165043802918,-0.017944165043803202,0.02177000556222323,-0.02177000556222376,0.5089711196631489,0.4910288803368511,0.5108832835191802,0.48911671648081984
main,42,69,13,0.3481170078129245,-0.15838123305539567,0.1583812330553954,-0.14999168850682992,0.14999168850682928,0.42146496166189645,0.5785350383381035,0.42556154682054564,0.5744384531794544
main,42,74,14,0.13325701108697935,-0.2247259105236879,0.22472591052368762,-0.21690281817556253,0.2169028181755619,0.3894911084104123,0.6105088915895878,0.39321794784685793,0.6067820521531421
main,42,79,15,0.7228034557862676,0.137681023405049,-0.13768102340504929,0.14349089998369954,-0.14349089998370018,0.5684088030858633,0.4315911969141367,0.5712570675547508,0.4287429324452492
main,42,84,16,0.16019441650754673,0.05778424442343029,-0.05778424442343057,0.0631937627466906,-0.06319376274669124,0.5288600079889555,0.4711399920110445,0.5315548882450618,0.46844511175493825
