prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,4,False,1.8008097638593077,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.853959750878402,0.14604024912159794,0.8622373376618063,0.13776266233819362
1,9,False,3.3111136645558346,5,5,0.5,0.5,0.0,0.6931271815599009,0.8,0.2,0.18057905585685094,0.819420944143149,0.18101607596038757,0.8189839240396125
2,14,False,1.710111009114813,5,5,0.5029166673240837,0.49708333267591626,0.005833334648167432,0.6930620990116839,1.0,0.0,0.5477984668657325,0.45220153313426753,0.551445875117674,0.448554124882326
3,19,False,0.9312345228189967,5,5,0.5029172265063637,0.4970827734936362,0.005834453012727503,0.6931004199546917,1.0,0.0,0.7552436508153707,0.24475634918462924,0.7565708838138729,0.243429116186127
4,24,False,0.20643624524989673,5,4,0.5038554938759436,0.4961445061240564,0.007710987751887222,0.6930504602704106,0.8,0.2,0.7914641987040626,0.2085358012959375,0.7924643974998249,0.207535602500175
5,29,False,0.2986406150466928,5,5,0.5008791077113693,0.49912089228863066,0.0017582154227386848,0.6931370349910135,0.8,0.2,0.8367767135806103,0.16322328641938966,0.8370510182109612,0.1629489817890387
6,34,False,0.5228715491369035,5,4,0.5039334908325132,0.49606650916748674,0.007866981665026418,0.6930517460574837,1.0,0.0,0.7524110401035642,0.24758895989643584,0.7528052547016063,0.24719474529839372
7,39,False,0.279897483703922,5,5,0.49981599447389585,0.5001840055261042,0.0003680110522083502,0.6931468419794179,0.8,0.2,0.6967425420461929,0.30325745795380715,0.6970974970521521,0.3029025029478479
8,44,False,0.045335723236227116,5,4,0.5049386684546666,0.49506133154533344,0.009877336909333179,0.6930417264966177,1.0,0.0,0.6877885541938975,0.3122114458061025,0.6867783825112374,0.3132216174887627
9,49,False,0.0,5,5,0.5024906484706329,0.4975093515293671,0.004981296941265756,0.6930592897894913,0.6,0.4,0.6877885541938975,0.3122114458061025,0.6867783825112374,0.3132216174887627
10,54,False,0.7275660475515376,5,5,0.49987914104337144,0.5001208589566286,0.00024171791325716674,0.6931470344910358,0.8,0.2,0.5153438926391498,0.4846561073608502,0.5145897283141961,0.4854102716858039
11,59,False,0.013065465388524653,5,5,0.5033351640446176,0.49666483595538224,0.0066703280892354,0.6930508622032407,0.4,0.6,0.5109254079955234,0.4890745920044766,0.5132535807703138,0.4867464192296862
12,64,False,0.00869351966931978,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5089711196631489,0.4910288803368511,0.5108832835191802,0.48911671648081984
13,69,False,0.3481170078129245,5,4,0.5024406049579754,0.49755939504202457,0.004881209915950813,0.6930622791930794,0.6,0.4,0.42146496166189645,0.5785350383381035,0.42556154682054564,0.5744384531794544
14,74,False,0.13325701108697935,5,3,0.5002994999169306,0.49970050008306943,0.0005989998338611358,0.6931443756755646,0.6,0.4,0.3894911084104123,0.6105088915895878,0.39321794784685793,0.6067820521531421
15,79,False,0.7228034557862676,5,5,0.49996915877854836,0.5000308412214516,6.168244290322145e-05,0.693146724491679,0.8,0.2,0.5684088030858633,0.4315911969141367,0.5712570675547508,0.4287429324452492
16,84,False,0.16019441650754673,5,5,0.5003368414150746,0.49966315858492544,0.0006736828301491804,0.6931351558118566,0.6,0.4,0.5288600079889555,0.4711399920110445,0.5315548882450618,0.46844511175493825
17,89,False,0.25089519288490253,5,4,0.49926971928373415,0.5007302807162659,0.0014605614325317595,0.6931442675551176,0.6,0.4,0.5907010332429866,0.4092989667570135,0.5931207620401178,0.4068792379598822
18,94,False,0.04678677459145509,5,5,0.5027938151482007,0.49720618485179946,0.0055876302964011915,0.6931017670563879,0.8,0.2,0.5797913118307092,0.4202086881692907,0.5813517851745185,0.4186482148254814
19,99,False,0.14100381193158143,5,3,0.49954005677836494,0.500459943221635,0.0009198864432700682,0.6931431684588215,0.6,0.4,0.5451244195703377,0.45487558042966236,0.5466747420122124,0.4533252579877876
20,104,False,0.0842105485482081,5,5,0.49902729749680497,0.5009727025031949,0.0019454050063899553,0.6931424789008849,0.4,0.6,0.5658583004040264,0.43414169959597354,0.5675057921824883,0.43249420781751163
21,109,False,0.15606175604744985,5,5,0.5020097431797595,0.49799025682024045,0.004019486359519098,0.6931060894279474,0.8,0.2,0.5265823276566071,0.47341767234339305,0.5295011096907505,0.4704988903092496
22,114,False,0.08906518620807934,5,5,0.4996617015629557,0.5003382984370444,0.0006765968740886641,0.693141816610414,0.6,0.4,0.5486360168240443,0.4513639831759557,0.5516993870248565,0.4483006129751434
23,119,False,0.13407940594597137,5,4,0.5001954200774167,0.4998045799225833,0.00039084015483337176,0.6931426579435244,0.8,0.2,0.5154061008777956,0.4845938991222044,0.5182169495223157,0.4817830504776843
24,124,False,0.013379947097074994,5,5,0.49998332300462883,0.5000166769953712,3.335399074239076e-05,0.6931460676656461,0.6,0.4,0.5122505161332058,0.4877494838667942,0.5146987293845295,0.4853012706154704
25,129,False,0.27992993910669656,5,4,0.49900553231208705,0.500994467687913,0.001988935375825951,0.6931387329587616,0.6,0.4,0.5814009941010887,0.4185990058989113,0.583985427330295,0.41601457266970493
26,134,False,0.12406601060115381,5,4,0.49975950604502567,0.5002404939549743,0.00048098790994860474,0.6931285989231577,0.4,0.6,0.6113717479854381,0.38862825201456197,0.6136618751352253,0.3863381248647746
27,139,False,0.0695254856854365,5,4,0.501748129982675,0.49825187001732496,0.003496259965350079,0.6931312935888588,0.6,0.4,0.6279193005837628,0.37208069941623734,0.629845994063877,0.3701540059361231
28,144,False,0.01970438577166078,5,4,0.500520570738878,0.4994794292611219,0.0010411414777561356,0.6931413618599652,0.6,0.4,0.6325277757397153,0.3674722242602848,0.6344114484325089,0.3655885515674912
29,149,False,0.04501029564855143,5,5,0.499164184103902,0.5008358158960979,0.0016716317921959267,0.6931350785699367,0.6,0.4,0.6220367130390079,0.377963286960992,0.6238784883873904,0.37612151161260976
30,154,False,0.12345404036783908,5,5,0.5015857280686248,0.4984142719313752,0.003171456137249562,0.6931343185838678,0.8,0.2,0.6507350946654397,0.34926490533456034,0.6522351077325377,0.3477648922674624
31,159,False,0.04820366606604809,5,5,0.5006373144440364,0.4993626855559635,0.0012746288880728374,0.6930925404480315,0.4,0.6,0.6396774671628691,0.36032253283713095,0.6412465782321654,0.3587534217678346
32,164,False,0.012177884139578791,5,5,0.5002119685175002,0.49978803148249973,0.00042393703500043234,0.693134895752485,0.6,0.4,0.6423471050463198,0.3576528949536802,0.6441694322337832,0.3558305677662168
33,169,False,0.04316441098216477,5,5,0.5032687111125037,0.4967312888874963,0.0065374222250074165,0.6930490038928696,0.8,0.2,0.6323740335462845,0.36762596645371554,0.6342119495264006,0.36578805047359947
34,174,False,0.039129948733906926,5,5,0.4996474091796864,0.5003525908203136,0.0007051816406271616,0.6931263353415931,0.4,0.6,0.6231121363399489,0.3768878636600511,0.6252077438042759,0.3747922561957242
35,179,False,0.0,5,4,0.49913226329310295,0.500867736706897,0.001735473413794042,0.6931365021407181,0.4,0.6,0.6231121363399489,0.3768878636600511,0.6252077438042759,0.3747922561957242
36,184,False,0.17427897639773676,5,5,0.4991792259808978,0.5008207740191022,0.0016415480382043768,0.6931368112521719,0.4,0.6,0.5813214856652238,0.4186785143347761,0.5836397065090679,0.41636029349093207
37,189,False,0.15878378211031488,5,5,0.5019398630335898,0.49806013696641027,0.0038797260671795675,0.6930940637180537,0.6,0.4,0.5421749063647555,0.4578250936352446,0.544696637316731,0.455303362683269
38,194,False,0.01156908192703638,5,5,0.5005168941939566,0.4994831058060433,0.0010337883879132925,0.6931316632540334,0.6,0.4,0.5392548030736749,0.4607451969263251,0.5418738108661808,0.45812618913381925
39,199,False,0.021151194027312182,5,4,0.49986124598052994,0.5001387540194699,0.00027750803893999976,0.6931249608958536,0.4,0.6,0.5337074948036948,0.46629250519630516,0.5369230102474946,0.4630769897525055
40,204,False,0.20443682491715415,5,4,0.5049419110406246,0.49505808895937553,0.00988382208124905,0.6930229505354795,0.8,0.2,0.4818425658316093,0.5181574341683907,0.4867123912352032,0.5132876087647967
41,209,False,0.0,5,5,0.4983972866604077,0.5016027133395923,0.003205426679184553,0.6931315075975767,0.4,0.6,0.4818425658316093,0.5181574341683907,0.4867123912352032,0.5132876087647967
