round,i,j,r_i,r_j
0,0,3,0.0,5.0
1,4,3,1.0,1.0
2,0,3,0.0,5.0
3,4,0,5.0,0.0
4,4,2,5.0,0.0
5,4,2,5.0,0.0
6,5,0,5.0,0.0
7,2,4,0.0,5.0
8,4,3,1.0,1.0
9,3,5,1.0,1.0
10,2,4,0.0,5.0
11,1,2,3.0,3.0
12,5,0,5.0,0.0
13,4,5,1.0,1.0
14,4,1,5.0,0.0
15,2,0,3.0,3.0
16,4,0,5.0,0.0
17,4,3,1.0,1.0
18,2,5,0.0,5.0
19,0,2,3.0,3.0
20,5,2,5.0,0.0
21,4,2,5.0,0.0
22,5,2,5.0,0.0
23,2,1,3.0,3.0
24,2,4,0.0,5.0
25,0,4,0.0,5.0
26,3,1,5.0,0.0
27,4,0,5.0,0.0
28,3,4,1.0,1.0
29,4,1,5.0,0.0
30,2,4,0.0,5.0
31,4,5,1.0,1.0
32,1,3,0.0,5.0
33,4,0,5.0,0.0
34,4,5,1.0,1.0
35,0,1,3.0,3.0
36,2,5,0.0,5.0
37,4,1,5.0,0.0
38,3,0,5.0,0.0
39,3,2,5.0,0.0
40,2,4,0.0,5.0
41,4,0,5.0,0.0
42,0,3,0.0,5.0
43,4,2,5.0,0.0
44,0,3,0.0,5.0
45,3,1,5.0,0.0
46,2,0,3.0,3.0
47,2,4,0.0,5.0
48,5,4,1.0,1.0
49,5,0,5.0,0.0
50,5,0,5.0,0.0
51,1,4,0.0,5.0
52,0,4,0.0,5.0
53,3,1,5.0,0.0
54,2,3,0.0,5.0
55,2,3,0.0,5.0
56,2,0,3.0,3.0
57,0,1,3.0,3.0
58,4,0,5.0,0.0
59,2,4,0.0,5.0
60,5,3,1.0,1.0
61,0,5,0.0,5.0
62,0,5,0.0,5.0
63,2,1,3.0,3.0
64,3,4,1.0,1.0
65,2,0,3.0,3.0
66,2,0,3.0,3.0
67,5,3,1.0,1.0
68,2,4,0.0,5.0
69,1,3,0.0,5.0
70,1,3,0.0,5.0
71,4,1,5.0,0.0
72,0,3,0.0,5.0
73,0,3,0.0,5.0
74,4,1,5.0,0.0
75,1,2,3.0,3.0
76,3,1,5.0,0.0
77,1,0,3.0,3.0
78,2,5,0.0,5.0
79,4,1,5.0,0.0
80,0,5,0.0,5.0
81,3,2,5.0,0.0
82,4,2,5.0,0.0
83,2,3,0.0,5.0
84,1,0,3.0,3.0
85,1,5,0.0,5.0
86,1,0,3.0,3.0
87,3,2,5.0,0.0
88,5,4,1.0,1.0
89,3,2,5.0,0.0
90,1,4,0.0,5.0
91,0,1,3.0,3.0
92,2,5,0.0,5.0
93,4,3,1.0,1.0
94,4,0,5.0,0.0
95,2,5,0.0,5.0
96,3,1,5.0,0.0
97,2,5,0.0,5.0
98,3,1,5.0,0.0
99,3,0,5.0,0.0
100,2,0,3.0,3.0
101,4,5,1.0,1.0
102,1,5,0.0,5.0
103,3,1,5.0,0.0
104,0,4,0.0,5.0
105,1,4,0.0,5.0
106,5,3,1.0,1.0
107,4,3,1.0,1.0
108,5,4,1.0,1.0
109,1,2,3.0,3.0
110,3,1,5.0,0.0
111,2,1,3.0,3.0
112,5,3,1.0,1.0
113,1,5,0.0,5.0
114,3,4,1.0,1.0
115,3,0,5.0,0.0
116,1,0,3.0,3.0
117,0,5,0.0,5.0
118,5,4,1.0,1.0
119,5,4,1.0,1.0
120,5,0,5.0,0.0
121,5,1,5.0,0.0
122,2,5,0.0,5.0
123,1,5,0.0,5.0
124,2,3,0.0,5.0
125,2,1,3.0,3.0
126,2,1,3.0,3.0
127,1,3,0.0,5.0
128,0,1,3.0,3.0
129,0,4,0.0,5.0
130,4,2,5.0,0.0
131,1,0,3.0,3.0
132,0,2,3.0,3.0
133,1,0,3.0,3.0
134,1,5,0.0,5.0
135,5,4,1.0,1.0
136,5,3,1.0,1.0
137,0,1,3.0,3.0
138,0,1,3.0,3.0
139,4,0,5.0,0.0
140,5,2,5.0,0.0
141,4,0,5.0,0.0
142,5,0,5.0,0.0
143,4,5,1.0,1.0
144,4,5,1.0,1.0
145,0,4,0.0,5.0
146,0,3,0.0,5.0
147,2,1,3.0,3.0
148,3,0,5.0,0.0
149,3,5,1.0,1.0
150,5,3,1.0,1.0
151,5,2,5.0,0.0
152,0,5,0.0,5.0
153,3,5,1.0,1.0
154,4,2,5.0,0.0
155,2,3,0.0,5.0
156,1,0,3.0,3.0
157,5,2,5.0,0.0
158,3,5,1.0,1.0
159,4,3,1.0,1.0
160,1,4,0.0,5.0
161,4,5,1.0,1.0
162,2,0,3.0,3.0
163,3,0,5.0,0.0
164,4,2,5.0,0.0
165,3,4,1.0,1.0
166,5,2,5.0,0.0
167,2,3,0.0,5.0
168,1,4,0.0,5.0
169,2,4,0.0,5.0
170,5,4,1.0,1.0
171,4,2,5.0,0.0
172,5,1,5.0,0.0
173,0,2,3.0,3.0
174,1,0,3.0,3.0
175,4,5,1.0,1.0
176,5,2,5.0,0.0
177,5,2,5.0,0.0
178,3,2,5.0,0.0
179,0,5,0.0,5.0
180,4,1,5.0,0.0
181,0,2,3.0,3.0
182,2,3,0.0,5.0
183,3,2,5.0,0.0
184,4,5,1.0,1.0
185,1,5,0.0,5.0
186,4,3,1.0,1.0
187,5,0,5.0,0.0
188,5,1,5.0,0.0
189,1,3,0.0,5.0
190,5,3,1.0,1.0
191,2,3,0.0,5.0
192,5,2,5.0,0.0
193,3,0,5.0,0.0
194,0,4,0.0,5.0
195,0,2,3.0,3.0
196,5,0,5.0,0.0
197,5,0,5.0,0.0
198,1,5,0.0,5.0
199,4,5,1.0,1.0
200,3,4,1.0,1.0
201,4,3,1.0,1.0
202,1,5,0.0,5.0
203,3,0,5.0,0.0
204,4,3,1.0,1.0
205,2,1,3.0,3.0
206,0,2,3.0,3.0
207,0,5,0.0,5.0
208,3,4,1.0,1.0
209,1,2,3.0,3.0
210,4,2,5.0,0.0
211,1,5,0.0,5.0
212,1,3,0.0,5.0
213,1,4,0.0,5.0
214,5,0,5.0,0.0
215,2,5,0.0,5.0
216,5,3,1.0,1.0
217,5,0,5.0,0.0
218,3,1,5.0,0.0
219,3,0,5.0,0.0
220,1,0,3.0,3.0
221,4,2,5.0,0.0
222,3,0,5.0,0.0
223,5,0,5.0,0.0
224,3,5,1.0,1.0
225,0,3,0.0,5.0
226,3,0,5.0,0.0
227,5,3,1.0,1.0
228,1,0,3.0,3.0
229,4,5,1.0,1.0
230,5,4,1.0,1.0
231,4,3,1.0,1.0
232,4,1,5.0,0.0
233,3,2,5.0,0.0
234,1,0,3.0,3.0
235,1,0,3.0,3.0
236,2,5,0.0,5.0
237,2,4,0.0,5.0
238,5,2,5.0,0.0
239,4,3,1.0,1.0
240,0,5,0.0,5.0
241,5,2,5.0,0.0
242,4,1,5.0,0.0
243,0,3,0.0,5.0
244,5,2,5.0,0.0
245,4,3,1.0,1.0
246,4,2,5.0,0.0
247,5,1,5.0,0.0
248,4,3,1.0,1.0
249,2,0,3.0,3.0
250,5,3,1.0,1.0
251,0,5,0.0,5.0
252,4,2,5.0,0.0
253,2,1,3.0,3.0
254,5,3,1.0,1.0
255,5,3,1.0,1.0
256,0,5,0.0,5.0
257,2,1,3.0,3.0
258,5,0,5.0,0.0
259,5,3,1.0,1.0
260,5,1,5.0,0.0
261,3,5,1.0,1.0
262,0,1,3.0,3.0
263,4,0,5.0,0.0
264,4,1,5.0,0.0
265,4,5,1.0,1.0
266,1,5,0.0,5.0
267,2,4,0.0,5.0
268,4,2,5.0,0.0
269,4,3,1.0,1.0
270,0,2,3.0,3.0
271,5,1,5.0,0.0
272,0,2,3.0,3.0
273,0,4,0.0,5.0
274,0,5,0.0,5.0
275,3,5,1.0,1.0
276,5,0,5.0,0.0
277,0,1,3.0,3.0
278,5,0,5.0,0.0
279,4,3,1.0,1.0
280,1,4,0.0,5.0
281,3,5,1.0,1.0
282,0,5,0.0,5.0
283,0,2,3.0,3.0
284,5,3,1.0,1.0
285,1,3,0.0,5.0
286,4,0,5.0,0.0
287,4,5,1.0,1.0
288,5,0,5.0,0.0
289,4,0,5.0,0.0
290,2,4,0.0,5.0
291,1,2,3.0,3.0
292,3,1,5.0,0.0
293,4,2,5.0,0.0
294,2,4,0.0,5.0
295,0,5,0.0,5.0
296,0,1,3.0,3.0
297,1,4,0.0,5.0
298,4,2,5.0,0.0
299,3,4,1.0,1.0
300,0,1,3.0,3.0
301,0,2,3.0,3.0
302,2,3,0.0,5.0
303,1,0,3.0,3.0
304,2,1,3.0,3.0
305,5,4,1.0,1.0
306,1,3,0.0,5.0
307,3,5,1.0,1.0
308,1,3,0.0,5.0
309,5,3,1.0,1.0
310,3,1,5.0,0.0
311,4,0,5.0,0.0
312,0,5,0.0,5.0
313,0,5,0.0,5.0
314,5,2,5.0,0.0
315,2,5,0.0,5.0
316,5,3,1.0,1.0
317,1,4,0.0,5.0
318,4,3,1.0,1.0
319,3,4,1.0,1.0
320,0,5,0.0,5.0
321,2,3,0.0,5.0
322,3,4,1.0,1.0
323,1,5,0.0,5.0
324,2,5,0.0,5.0
325,2,5,0.0,5.0
326,2,0,3.0,3.0
327,3,1,5.0,0.0
328,3,2,5.0,0.0
329,3,5,1.0,1.0
330,2,0,3.0,3.0
331,3,1,5.0,0.0
332,3,0,5.0,0.0
333,2,0,3.0,3.0
334,3,1,5.0,0.0
335,5,1,5.0,0.0
336,4,2,5.0,0.0
337,3,0,5.0,0.0
338,3,0,5.0,0.0
339,5,0,5.0,0.0
340,0,2,3.0,3.0
341,0,3,0.0,5.0
342,0,3,0.0,5.0
343,1,4,0.0,5.0
344,4,1,5.0,0.0
345,1,5,0.0,5.0
346,2,4,0.0,5.0
347,4,5,1.0,1.0
348,4,1,5.0,0.0
349,0,5,0.0,5.0
350,3,0,5.0,0.0
351,2,0,3.0,3.0
352,2,4,0.0,5.0
353,4,3,1.0,1.0
354,0,5,0.0,5.0
355,4,1,5.0,0.0
356,2,0,3.0,3.0
357,0,1,3.0,3.0
358,2,5,0.0,5.0
359,0,5,0.0,5.0
360,5,2,5.0,0.0
361,5,4,1.0,1.0
362,4,5,1.0,1.0
363,5,4,1.0,1.0
364,5,0,5.0,0.0
365,2,1,3.0,3.0
366,0,2,3.0,3.0
367,2,4,0.0,5.0
368,1,5,0.0,5.0
369,1,0,3.0,3.0
370,3,4,1.0,1.0
371,1,2,3.0,3.0
372,5,4,1.0,1.0
373,3,2,5.0,0.0
374,1,4,0.0,5.0
375,1,3,0.0,5.0
376,3,1,5.0,0.0
377,3,5,1.0,1.0
378,3,4,1.0,1.0
379,0,2,3.0,3.0
380,5,1,5.0,0.0
381,2,0,3.0,3.0
382,3,0,5.0,0.0
383,4,3,1.0,1.0
384,2,3,0.0,5.0
385,5,2,5.0,0.0
386,2,1,3.0,3.0
387,2,0,3.0,3.0
388,3,0,5.0,0.0
389,0,4,0.0,5.0
390,3,4,1.0,1.0
391,3,4,1.0,1.0
392,1,5,0.0,5.0
393,1,0,3.0,3.0
394,4,0,5.0,0.0
395,2,4,0.0,5.0
396,3,1,5.0,0.0
397,0,1,3.0,3.0
398,3,0,5.0,0.0
399,3,5,1.0,1.0
