prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,4,False,0.1,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.52497918747894,0.47502081252106,0.52497918747894,0.47502081252106
1,9,False,0.10182294020249996,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5502851641127436,0.44971483588725636,0.5502851641127436,0.44971483588725636
2,14,False,0.1228372047986567,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5197361741689148,0.4802638258310852,0.5197361741689148,0.4802638258310852
3,19,False,0.002267091080176743,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5191702593896764,0.4808297406103236,0.5191702593896764,0.4808297406103236
4,24,False,0.048786177709362756,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5069826626568253,0.49301733734317454,0.5069826626568253,0.49301733734317454
5,29,False,0.04098809048453032,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.49673614039253106,0.5032638596074689,0.49673614039253106,0.5032638596074689
6,34,False,0.0344824022588919,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4881177310760208,0.5118822689239791,0.4881177310760208,0.5118822689239791
7,39,False,0.06009434176688393,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.47311785487514474,0.5268821451248552,0.47311785487514474,0.5268821451248552
8,44,False,0.0014883519957896276,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.47348888209327206,0.5265111179067279,0.47348888209327206,0.5265111179067279
9,49,False,0.014591785319612742,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.47712791591388226,0.5228720840861177,0.47712791591388226,0.5228720840861177
10,54,False,0.0010570908499998573,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4773916419798646,0.5226083580201354,0.4773916419798646,0.5226083580201354
11,59,False,0.011167172513632778,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.48017840176058396,0.519821598239416,0.48017840176058396,0.519821598239416
12,64,False,0.008759142650557276,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4779924510291062,0.5220075489708937,0.4779924510291062,0.5220075489708937
13,69,False,0.000818684251321784,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.47819672924590123,0.5218032707540987,0.47819672924590123,0.5218032707540987
14,74,False,0.0007622536385178124,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.47838693344531474,0.5216130665546853,0.47838693344531474,0.5216130665546853
15,79,False,0.007177476481269278,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4765962025799861,0.5234037974200139,0.4765962025799861,0.5234037974200139
16,84,False,0.01488697776603569,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4728839742412104,0.5271160257587896,0.4728839742412104,0.5271160257587896
17,89,False,0.006210661094837231,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4713361411787164,0.5286638588212835,0.4713361411787164,0.5286638588212835
18,94,False,0.00666012678611906,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.46967690444400606,0.530323095555994,0.46967690444400606,0.530323095555994
19,99,False,0.0055189812567057435,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.46830246728289826,0.5316975327171019,0.46830246728289826,0.5316975327171019
20,104,False,0.024189064225122372,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4622844124697742,0.5377155875302259,0.4622844124697742,0.5377155875302259
21,109,False,0.011449560822837419,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.45943956842809824,0.5405604315719017,0.45943956842809824,0.5405604315719017
22,114,False,0.0009651782046595721,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4596792844834875,0.5403207155165124,0.4596792844834875,0.5403207155165124
23,119,False,0.013297741766955659,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4629838241020156,0.5370161758979844,0.4629838241020156,0.5370161758979844
24,124,False,0.011854994345134755,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.46593258846834334,0.5340674115316567,0.46593258846834334,0.5340674115316567
25,129,False,0.0056904951939356465,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.46734887868420466,0.5326511213157953,0.46734887868420466,0.5326511213157953
26,134,False,0.009626619550841509,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.46495325818618705,0.535046741813813,0.46495325818618705,0.535046741813813
27,139,False,0.0013973184966675552,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4653008884876198,0.5346991115123801,0.4653008884876198,0.5346991115123801
28,144,False,0.0006702242661102593,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.4654676414569331,0.5345323585430669,0.4654676414569331,0.5345323585430669
