round,i,j,r_i,r_j
0,1,2,3.0,3.0
1,0,3,0.0,5.0
2,4,1,5.0,0.0
3,4,3,1.0,1.0
4,3,0,5.0,0.0
5,2,1,3.0,3.0
6,2,3,0.0,5.0
7,4,5,1.0,1.0
8,0,3,0.0,5.0
9,3,1,5.0,0.0
10,1,4,0.0,5.0
11,3,4,1.0,1.0
12,0,3,0.0,5.0
13,5,4,1.0,1.0
14,4,2,5.0,0.0
15,1,0,3.0,3.0
16,3,1,5.0,0.0
17,0,5,0.0,5.0
18,2,0,3.0,3.0
19,5,4,1.0,1.0
20,0,3,0.0,5.0
21,2,5,0.0,5.0
22,4,0,5.0,0.0
23,2,5,0.0,5.0
24,5,3,1.0,1.0
25,2,4,0.0,5.0
26,0,3,0.0,5.0
27,1,5,0.0,5.0
28,5,0,5.0,0.0
29,2,1,3.0,3.0
30,3,5,1.0,1.0
31,0,5,0.0,5.0
32,4,3,1.0,1.0
33,4,3,1.0,1.0
34,1,4,0.0,5.0
35,4,3,1.0,1.0
36,0,2,3.0,3.0
37,0,5,0.0,5.0
38,3,5,1.0,1.0
39,2,5,0.0,5.0
40,3,2,5.0,0.0
41,3,5,1.0,1.0
42,4,3,1.0,1.0
43,1,5,0.0,5.0
44,5,4,1.0,1.0
45,1,2,3.0,3.0
46,0,2,3.0,3.0
47,1,3,0.0,5.0
48,5,2,5.0,0.0
49,1,4,0.0,5.0
50,3,0,5.0,0.0
51,4,3,1.0,1.0
52,2,3,0.0,5.0
53,4,5,1.0,1.0
54,0,4,0.0,5.0
55,0,3,0.0,5.0
56,4,1,5.0,0.0
57,0,5,0.0,5.0
58,2,5,0.0,5.0
59,4,0,5.0,0.0
60,1,3,0.0,5.0
61,1,5,0.0,5.0
62,5,3,1.0,1.0
63,0,3,0.0,5.0
64,2,0,3.0,3.0
65,5,2,5.0,0.0
66,4,2,5.0,0.0
67,5,4,1.0,1.0
68,4,3,1.0,1.0
69,2,4,0.0,5.0
70,2,4,0.0,5.0
71,5,2,5.0,0.0
72,4,1,5.0,0.0
73,1,5,0.0,5.0
74,2,4,0.0,5.0
75,5,0,5.0,0.0
76,3,5,1.0,1.0
77,2,3,0.0,5.0
78,0,3,0.0,5.0
79,3,5,1.0,1.0
80,4,3,1.0,1.0
81,0,2,3.0,3.0
82,3,5,1.0,1.0
83,0,5,0.0,5.0
84,4,3,1.0,1.0
85,1,0,3.0,3.0
86,2,4,0.0,5.0
87,2,0,3.0,3.0
88,0,5,0.0,5.0
89,5,3,1.0,1.0
90,0,2,3.0,3.0
91,0,3,0.0,5.0
92,2,4,0.0,5.0
93,5,3,1.0,1.0
94,4,5,1.0,1.0
95,1,4,0.0,5.0
96,5,0,5.0,0.0
97,2,4,0.0,5.0
98,0,1,3.0,3.0
99,5,1,5.0,0.0
100,1,5,0.0,5.0
101,0,4,0.0,5.0
102,1,3,0.0,5.0
103,3,5,1.0,1.0
104,1,5,0.0,5.0
105,0,4,0.0,5.0
106,1,3,0.0,5.0
107,0,2,3.0,3.0
108,1,5,0.0,5.0
109,4,5,1.0,1.0
110,1,2,3.0,3.0
111,5,3,1.0,1.0
112,5,2,5.0,0.0
113,1,3,0.0,5.0
114,3,0,5.0,0.0
115,0,2,3.0,3.0
116,0,5,0.0,5.0
117,5,1,5.0,0.0
118,1,2,3.0,3.0
119,5,1,5.0,0.0
120,0,1,3.0,3.0
121,4,3,1.0,1.0
122,5,1,5.0,0.0
123,0,3,0.0,5.0
124,0,1,3.0,3.0
125,5,3,1.0,1.0
126,0,3,0.0,5.0
127,4,5,1.0,1.0
128,2,1,3.0,3.0
129,3,2,5.0,0.0
130,1,4,0.0,5.0
131,1,5,0.0,5.0
132,2,5,0.0,5.0
133,3,0,5.0,0.0
134,1,0,3.0,3.0
135,1,2,3.0,3.0
136,5,4,1.0,1.0
137,0,4,0.0,5.0
138,4,2,5.0,0.0
139,3,2,5.0,0.0
140,0,1,3.0,3.0
141,4,1,5.0,0.0
142,2,4,0.0,5.0
143,0,4,0.0,5.0
144,5,4,1.0,1.0
145,1,5,0.0,5.0
146,1,5,0.0,5.0
147,5,3,1.0,1.0
148,2,5,0.0,5.0
149,0,1,3.0,3.0
150,5,0,5.0,0.0
151,0,4,0.0,5.0
152,0,1,3.0,3.0
153,5,3,1.0,1.0
154,4,2,5.0,0.0
155,4,5,1.0,1.0
156,5,0,5.0,0.0
157,0,1,3.0,3.0
158,1,3,0.0,5.0
159,4,3,1.0,1.0
160,4,2,5.0,0.0
161,3,4,1.0,1.0
162,1,4,0.0,5.0
163,2,3,0.0,5.0
164,0,4,0.0,5.0
165,3,5,1.0,1.0
166,3,0,5.0,0.0
167,1,3,0.0,5.0
168,5,0,5.0,0.0
169,4,5,1.0,1.0
170,2,5,0.0,5.0
171,3,2,5.0,0.0
172,1,5,0.0,5.0
173,1,5,0.0,5.0
174,3,2,5.0,0.0
175,0,5,0.0,5.0
176,2,4,0.0,5.0
177,0,4,0.0,5.0
178,1,0,3.0,3.0
179,1,0,3.0,3.0
180,3,0,5.0,0.0
181,4,0,5.0,0.0
182,5,4,1.0,1.0
183,3,0,5.0,0.0
184,3,1,5.0,0.0
185,0,2,3.0,3.0
186,1,2,3.0,3.0
187,1,3,0.0,5.0
188,1,4,0.0,5.0
189,0,2,3.0,3.0
190,5,1,5.0,0.0
191,0,4,0.0,5.0
192,2,3,0.0,5.0
193,5,2,5.0,0.0
194,4,5,1.0,1.0
195,5,2,5.0,0.0
196,3,2,5.0,0.0
197,4,3,1.0,1.0
198,4,2,5.0,0.0
199,0,5,0.0,5.0
200,5,4,1.0,1.0
201,5,0,5.0,0.0
202,4,0,5.0,0.0
203,3,5,1.0,1.0
204,2,4,0.0,5.0
205,2,5,0.0,5.0
206,2,0,3.0,3.0
207,2,1,3.0,3.0
208,2,4,0.0,5.0
209,2,1,3.0,3.0
210,4,3,1.0,1.0
211,5,3,1.0,1.0
212,4,3,1.0,1.0
213,1,5,0.0,5.0
214,2,5,0.0,5.0
215,3,5,1.0,1.0
216,4,2,5.0,0.0
217,3,4,1.0,1.0
218,0,2,3.0,3.0
219,1,2,3.0,3.0
220,5,2,5.0,0.0
221,0,4,0.0,5.0
222,3,4,1.0,1.0
223,4,1,5.0,0.0
224,4,1,5.0,0.0
225,0,5,0.0,5.0
226,2,3,0.0,5.0
227,3,2,5.0,0.0
228,5,2,5.0,0.0
229,5,3,1.0,1.0
230,0,2,3.0,3.0
231,0,3,0.0,5.0
232,0,4,0.0,5.0
233,3,1,5.0,0.0
234,4,0,5.0,0.0
235,3,0,5.0,0.0
236,3,0,5.0,0.0
237,2,5,0.0,5.0
238,5,0,5.0,0.0
239,0,4,0.0,5.0
240,2,5,0.0,5.0
241,3,5,1.0,1.0
242,1,2,3.0,3.0
243,4,0,5.0,0.0
244,4,5,1.0,1.0
245,4,2,5.0,0.0
246,3,0,5.0,0.0
247,1,5,0.0,5.0
248,0,3,0.0,5.0
249,5,3,1.0,1.0
250,0,4,0.0,5.0
251,4,1,5.0,0.0
252,2,0,3.0,3.0
253,4,3,1.0,1.0
254,3,5,1.0,1.0
255,5,4,1.0,1.0
256,2,3,0.0,5.0
257,0,4,0.0,5.0
258,0,4,0.0,5.0
259,0,4,0.0,5.0
260,3,1,5.0,0.0
261,0,1,3.0,3.0
262,2,3,0.0,5.0
263,1,4,0.0,5.0
264,0,1,3.0,3.0
265,1,5,0.0,5.0
266,3,1,5.0,0.0
267,0,4,0.0,5.0
268,4,0,5.0,0.0
269,1,4,0.0,5.0
270,3,5,1.0,1.0
271,5,4,1.0,1.0
272,3,4,1.0,1.0
273,0,3,0.0,5.0
274,1,3,0.0,5.0
275,1,3,0.0,5.0
276,4,5,1.0,1.0
277,1,0,3.0,3.0
278,5,2,5.0,0.0
279,0,2,3.0,3.0
280,4,5,1.0,1.0
281,3,4,1.0,1.0
282,1,4,0.0,5.0
283,5,0,5.0,0.0
284,5,4,1.0,1.0
285,5,2,5.0,0.0
286,4,5,1.0,1.0
287,5,0,5.0,0.0
288,0,4,0.0,5.0
289,0,4,0.0,5.0
290,3,1,5.0,0.0
291,3,4,1.0,1.0
292,4,5,1.0,1.0
293,4,2,5.0,0.0
294,0,3,0.0,5.0
295,4,1,5.0,0.0
296,3,0,5.0,0.0
297,0,2,3.0,3.0
298,1,2,3.0,3.0
299,5,1,5.0,0.0
300,2,1,3.0,3.0
301,0,3,0.0,5.0
302,3,2,5.0,0.0
303,2,4,0.0,5.0
304,5,1,5.0,0.0
305,3,2,5.0,0.0
306,3,1,5.0,0.0
307,1,5,0.0,5.0
308,1,3,0.0,5.0
309,3,5,1.0,1.0
310,2,4,0.0,5.0
311,3,0,5.0,0.0
312,0,4,0.0,5.0
313,0,4,0.0,5.0
314,0,3,0.0,5.0
315,1,5,0.0,5.0
316,2,3,0.0,5.0
317,3,5,1.0,1.0
318,5,0,5.0,0.0
319,1,2,3.0,3.0
320,5,2,5.0,0.0
321,0,2,3.0,3.0
322,0,5,0.0,5.0
323,1,2,3.0,3.0
324,3,2,5.0,0.0
325,4,1,5.0,0.0
326,3,4,1.0,1.0
327,1,5,0.0,5.0
328,1,0,3.0,3.0
329,2,3,0.0,5.0
330,5,3,1.0,1.0
331,3,0,5.0,0.0
332,0,4,0.0,5.0
333,5,2,5.0,0.0
334,1,4,0.0,5.0
335,4,3,1.0,1.0
336,2,1,3.0,3.0
337,2,5,0.0,5.0
338,5,1,5.0,0.0
339,5,0,5.0,0.0
340,3,1,5.0,0.0
341,2,0,3.0,3.0
342,0,2,3.0,3.0
343,4,2,5.0,0.0
344,4,1,5.0,0.0
345,5,0,5.0,0.0
346,1,3,0.0,5.0
347,3,4,1.0,1.0
348,3,0,5.0,0.0
349,5,3,1.0,1.0
350,2,3,0.0,5.0
351,1,5,0.0,5.0
352,4,2,5.0,0.0
353,2,1,3.0,3.0
354,4,0,5.0,0.0
355,1,2,3.0,3.0
356,4,1,5.0,0.0
357,0,5,0.0,5.0
358,5,3,1.0,1.0
359,3,1,5.0,0.0
360,3,5,1.0,1.0
361,0,5,0.0,5.0
362,1,5,0.0,5.0
363,0,3,0.0,5.0
364,2,5,0.0,5.0
365,2,5,0.0,5.0
366,1,3,0.0,5.0
367,5,2,5.0,0.0
368,1,0,3.0,3.0
369,1,4,0.0,5.0
370,4,1,5.0,0.0
371,2,5,0.0,5.0
372,5,0,5.0,0.0
373,5,0,5.0,0.0
374,2,3,0.0,5.0
375,4,0,5.0,0.0
376,4,1,5.0,0.0
377,2,0,3.0,3.0
378,5,2,5.0,0.0
379,5,0,5.0,0.0
380,4,0,5.0,0.0
381,5,0,5.0,0.0
382,1,5,0.0,5.0
383,3,2,5.0,0.0
384,3,2,5.0,0.0
385,2,5,0.0,5.0
386,0,1,3.0,3.0
387,2,1,3.0,3.0
388,2,1,3.0,3.0
389,1,0,3.0,3.0
390,1,3,0.0,5.0
391,0,1,3.0,3.0
392,2,3,0.0,5.0
393,1,5,0.0,5.0
394,2,3,0.0,5.0
395,1,4,0.0,5.0
396,4,1,5.0,0.0
397,5,4,1.0,1.0
398,5,4,1.0,1.0
399,4,2,5.0,0.0
