prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,9,False,3.5590237130554585,99,98,0.49995570910008835,0.5000442908999116,8.858179982329517e-05,0.6931467921415718,0.98989898989899,0.010101010101010102,0.026229589968425962,0.9737704100315742,0.030471016243370435,0.9695289837566295
1,19,False,6.563940802979969,94,94,0.5000913907902346,0.4999086092097655,0.00018278158046908244,0.6931463954362939,1.0,0.0,0.9515100393604871,0.04848996063951305,0.9559236409688853,0.04407635903111471
2,29,False,3.4982744698252852,95,90,0.4993794320560092,0.5006205679439908,0.0012411358879815815,0.6929544920338785,0.9263157894736842,0.07368421052631578,0.3749464991046297,0.6250535008953704,0.39364514616864266,0.6063548538313572
3,39,False,0.7709307241292144,83,83,0.4998489627434932,0.5001510372565068,0.0003020745130135616,0.6930996503193958,0.9759036144578314,0.024096385542168676,0.5773535944869728,0.42264640551302735,0.5703050001127727,0.4296949998872272
4,49,False,0.06253509201703004,119,117,0.49890188569988553,0.5010981143001144,0.002196228600228889,0.6930345190497259,0.8571428571428571,0.14285714285714285,0.5567264353642948,0.4432735646357052,0.5635370867474853,0.4364629132525148
5,59,False,0.18429705715041614,110,109,0.5001622326851518,0.49983776731484825,0.0003244653703035616,0.6930893203929621,0.9272727272727272,0.07272727272727272,0.5136055140908004,0.48639448590919976,0.5152429551032365,0.4847570448967636
6,69,False,0.015707657816792227,96,93,0.49887551013760384,0.5011244898623962,0.002248979724792377,0.693040426401334,0.8645833333333334,0.13541666666666666,0.508900639931907,0.49109936006809285,0.5122985559858428,0.48770144401415716
7,79,False,0.0711740865183961,96,94,0.49841228563255924,0.5015877143674408,0.0031754287348815247,0.6930216064940579,0.8020833333333334,0.19791666666666666,0.4912482807432021,0.508751719256798,0.4943695079117298,0.5056304920882703
8,89,False,0.0565911258973773,97,96,0.4995339609660577,0.5004660390339424,0.0009320780678847007,0.6930531667276284,0.8969072164948454,0.10309278350515463,0.47699739554952353,0.5230026044504764,0.4803510714310139,0.5196489285689861
9,99,False,0.05635654685764545,120,117,0.49957475349019087,0.5004252465098091,0.0008504930196182592,0.6930847790667053,0.8416666666666667,0.15833333333333333,0.4632947308255363,0.5367052691744637,0.4659757586781736,0.5340242413218264
10,109,False,0.1143459054215535,104,103,0.5002426660237613,0.49975733397623867,0.00048533204752265746,0.6930398907742958,0.8173076923076923,0.18269230769230768,0.49151206429311955,0.5084879357068804,0.4948103706449916,0.5051896293550083
11,119,False,0.015845660082153417,111,110,0.4998702928972587,0.5001297071027413,0.00025941420548258876,0.6931182751794323,0.8468468468468469,0.15315315315315314,0.48814499888412827,0.5118550011158717,0.4903348927085513,0.5096651072914488
12,129,False,0.05462128431241401,84,83,0.4996843523288834,0.5003156476711166,0.0006312953422331624,0.6930394182986793,0.8095238095238095,0.19047619047619047,0.47398764831520196,0.5260123516847981,0.4772382950396613,0.5227617049603386
13,139,False,0.09013210639564867,95,90,0.49961174171351297,0.500388258286487,0.000776516572974062,0.6929757413780125,0.8105263157894737,0.18947368421052632,0.4509654531218049,0.5490345468781951,0.45544952467705135,0.5445504753229486
14,149,False,0.12492803260483337,110,109,0.49903676036113753,0.5009632396388625,0.001926479277724935,0.6930228418422331,0.7090909090909091,0.2909090909090909,0.4818770247114094,0.5181229752885906,0.4867355313383842,0.5132644686616158
