round,i,j,r_i,r_j
0,29,34,1.0,1.0
0,41,37,1.0,1.0
0,8,17,3.0,3.0
0,10,35,0.0,5.0
0,25,49,1.0,1.0
0,0,14,3.0,3.0
0,43,39,1.0,1.0
0,13,44,0.0,5.0
0,14,10,3.0,3.0
0,0,25,0.0,5.0
0,6,47,0.0,5.0
0,42,4,5.0,0.0
0,23,25,0.0,5.0
0,10,33,0.0,5.0
0,30,24,5.0,0.0
1,39,36,1.0,1.0
1,34,23,5.0,0.0
1,43,16,5.0,0.0
1,30,37,1.0,1.0
1,45,14,5.0,0.0
1,23,47,0.0,5.0
1,48,20,5.0,0.0
1,14,17,3.0,3.0
1,12,21,3.0,3.0
2,1,47,0.0,5.0
2,4,44,0.0,5.0
2,18,13,3.0,3.0
2,9,48,0.0,5.0
2,7,44,0.0,5.0
2,16,33,0.0,5.0
2,8,45,0.0,5.0
2,40,1,5.0,0.0
2,13,47,0.0,5.0
3,16,23,3.0,3.0
3,45,46,1.0,1.0
3,42,13,5.0,0.0
3,1,30,0.0,5.0
3,11,28,0.0,5.0
3,19,27,0.0,5.0
3,30,37,1.0,1.0
4,42,45,1.0,1.0
4,35,15,5.0,0.0
4,36,12,5.0,0.0
4,3,26,0.0,5.0
4,1,36,0.0,5.0
4,3,31,0.0,5.0
4,10,29,0.0,5.0
4,48,39,1.0,1.0
4,23,39,0.0,5.0
4,43,26,1.0,1.0
4,32,17,5.0,0.0
5,46,49,1.0,1.0
5,33,41,1.0,1.0
5,21,44,0.0,5.0
5,43,34,1.0,1.0
5,38,1,5.0,0.0
5,14,34,0.0,5.0
5,15,32,0.0,5.0
5,19,5,3.0,3.0
5,30,10,5.0,0.0
6,39,38,1.0,1.0
6,8,38,0.0,5.0
6,18,0,3.0,3.0
6,1,29,0.0,5.0
6,31,41,1.0,1.0
6,14,45,0.0,5.0
6,9,26,0.0,5.0
7,34,13,5.0,0.0
7,49,21,1.0,1.0
7,37,49,1.0,1.0
7,9,46,0.0,5.0
7,29,11,5.0,0.0
7,35,43,1.0,1.0
7,34,46,1.0,1.0
7,21,24,3.0,3.0
7,4,39,0.0,5.0
7,36,7,5.0,0.0
7,29,43,1.0,1.0
7,24,1,3.0,3.0
8,19,0,0.0,5.0
8,6,22,3.0,3.0
8,26,15,5.0,0.0
8,23,44,0.0,5.0
8,14,30,3.0,3.0
8,18,34,0.0,5.0
8,3,37,0.0,5.0
8,40,37,1.0,1.0
8,5,42,0.0,5.0
8,34,26,1.0,1.0
9,11,33,0.0,5.0
9,29,41,1.0,1.0
9,46,34,1.0,1.0
9,48,3,5.0,0.0
9,45,43,1.0,1.0
9,36,17,5.0,0.0
9,5,21,3.0,3.0
9,9,13,3.0,3.0
9,39,42,1.0,1.0
9,23,29,0.0,5.0
10,44,7,5.0,0.0
10,24,36,0.0,5.0
10,35,2,5.0,0.0
10,37,5,5.0,0.0
10,16,48,0.0,5.0
10,15,37,0.0,5.0
10,35,41,1.0,1.0
10,44,5,5.0,0.0
10,38,3,5.0,0.0
10,6,21,3.0,3.0
10,24,3,3.0,3.0
10,19,11,3.0,3.0
11,38,11,5.0,0.0
11,13,43,0.0,5.0
11,42,8,5.0,0.0
11,44,6,5.0,0.0
11,36,12,5.0,0.0
11,45,15,5.0,0.0
11,46,47,1.0,1.0
11,20,1,3.0,3.0
12,34,2,3.0,3.0
12,49,22,5.0,0.0
12,14,41,0.0,5.0
12,17,19,3.0,3.0
12,12,7,3.0,3.0
12,14,1,3.0,3.0
12,18,29,0.0,5.0
12,13,1,3.0,3.0
13,41,18,5.0,0.0
13,6,37,0.0,5.0
13,49,38,1.0,1.0
13,24,48,0.0,5.0
13,14,22,3.0,3.0
13,29,2,5.0,0.0
