round,i,j,r_i,r_j
0,12,6,3.0,3.0
0,21,45,1.0,1.0
0,8,34,0.0,5.0
0,0,29,0.0,5.0
0,14,34,0.0,5.0
1,8,0,3.0,3.0
1,10,13,3.0,3.0
1,2,20,3.0,3.0
1,12,46,0.0,5.0
1,4,16,3.0,3.0
1,24,9,5.0,0.0
1,43,14,5.0,0.0
1,25,8,3.0,3.0
1,12,41,0.0,5.0
1,47,39,1.0,1.0
1,2,0,3.0,3.0
2,8,9,3.0,3.0
2,15,39,0.0,5.0
2,1,42,0.0,5.0
2,26,29,0.0,5.0
2,29,36,1.0,1.0
2,5,44,0.0,5.0
2,2,49,0.0,5.0
2,25,47,0.0,5.0
2,14,7,3.0,3.0
2,8,24,3.0,3.0
2,42,5,5.0,0.0
2,8,37,0.0,5.0
2,40,23,5.0,0.0
2,41,28,1.0,1.0
2,31,22,1.0,1.0
3,22,11,5.0,0.0
3,5,6,3.0,3.0
3,38,20,1.0,1.0
3,33,14,3.0,3.0
3,10,14,3.0,3.0
3,25,15,5.0,0.0
4,17,32,0.0,5.0
4,44,22,1.0,1.0
4,37,21,1.0,1.0
4,18,49,0.0,5.0
4,33,24,3.0,3.0
4,8,16,3.0,3.0
4,0,24,0.0,5.0
4,42,10,5.0,0.0
4,39,2,5.0,0.0
4,8,49,0.0,5.0
4,7,47,0.0,5.0
5,44,32,1.0,1.0
5,45,43,1.0,1.0
5,16,39,0.0,5.0
5,38,0,5.0,0.0
5,24,43,0.0,5.0
5,7,21,0.0,5.0
5,35,49,1.0,1.0
5,34,11,5.0,0.0
5,14,33,3.0,3.0
5,49,48,1.0,1.0
5,43,49,1.0,1.0
5,47,15,5.0,0.0
5,30,40,1.0,1.0
5,38,39,1.0,1.0
5,49,42,1.0,1.0
6,4,21,0.0,5.0
6,35,27,5.0,0.0
6,24,28,3.0,3.0
6,42,13,5.0,0.0
6,6,17,3.0,3.0
6,25,34,0.0,5.0
6,24,49,0.0,5.0
7,21,45,1.0,1.0
7,44,42,1.0,1.0
7,0,37,0.0,5.0
7,20,41,1.0,1.0
7,37,39,1.0,1.0
7,17,25,5.0,0.0
7,26,29,3.0,3.0
7,19,6,5.0,0.0
8,20,6,3.0,3.0
8,42,31,1.0,1.0
8,19,36,1.0,1.0
8,23,25,1.0,1.0
8,44,12,5.0,0.0
9,13,37,0.0,5.0
9,5,43,0.0,5.0
9,5,6,3.0,3.0
9,43,8,5.0,0.0
9,33,35,0.0,5.0
9,18,34,1.0,1.0
9,3,22,3.0,3.0
9,5,11,3.0,3.0
9,22,27,3.0,3.0
9,47,30,1.0,1.0
9,36,14,5.0,0.0
9,19,4,3.0,3.0
9,17,2,3.0,3.0
10,34,38,1.0,1.0
10,42,1,5.0,0.0
10,5,24,3.0,3.0
10,21,49,1.0,1.0
10,17,35,0.0,5.0
10,9,10,3.0,3.0
10,0,39,0.0,5.0
10,17,32,3.0,3.0
10,24,26,3.0,3.0
10,9,15,3.0,3.0
11,19,10,5.0,0.0
11,44,46,1.0,1.0
11,31,30,0.0,5.0
11,4,1,3.0,3.0
11,13,46,0.0,5.0
11,27,35,1.0,1.0
11,27,44,0.0,5.0
11,33,36,0.0,5.0
11,26,34,1.0,1.0
