round,i,j,r_i,r_j
0,0,3,0.0,5.0
1,4,3,1.0,1.0
2,3,5,1.0,1.0
3,2,4,0.0,5.0
4,2,3,0.0,5.0
5,5,0,5.0,0.0
6,0,3,0.0,5.0
7,4,0,5.0,0.0
8,1,2,3.0,3.0
9,0,3,0.0,5.0
10,3,0,5.0,0.0
11,5,4,1.0,1.0
12,4,2,5.0,0.0
13,4,2,5.0,0.0
14,4,1,5.0,0.0
15,4,3,1.0,1.0
16,3,0,5.0,0.0
17,0,4,0.0,5.0
18,5,0,5.0,0.0
19,2,4,0.0,5.0
20,3,0,5.0,0.0
21,2,1,3.0,3.0
22,1,0,3.0,3.0
23,5,2,5.0,0.0
24,4,3,1.0,1.0
25,3,5,1.0,1.0
26,2,3,0.0,5.0
27,4,5,1.0,1.0
28,3,1,5.0,0.0
29,2,4,0.0,5.0
30,2,4,0.0,5.0
31,1,2,3.0,3.0
32,0,3,0.0,5.0
33,3,1,5.0,0.0
34,5,1,5.0,0.0
35,0,2,3.0,3.0
36,5,0,5.0,0.0
37,4,5,1.0,1.0
38,1,4,0.0,5.0
39,3,4,1.0,1.0
40,0,5,0.0,5.0
41,4,2,5.0,0.0
42,4,1,5.0,0.0
43,2,0,3.0,3.0
44,0,3,0.0,5.0
45,5,4,1.0,1.0
46,2,4,0.0,5.0
47,5,1,5.0,0.0
48,4,0,5.0,0.0
49,4,3,1.0,1.0
