condition,seed,round,prototype_update_idx,prototype_update_norm,theta_0_a0,theta_0_a1,theta_1_a0,theta_1_a1,p_0_cooperate,p_0_defect,p_1_cooperate,p_1_defect
main,42,0,-1,0.0,0.01,-0.01,-0.01,0.01,0.5049998333399998,0.49500016666000024,0.49500016666000024,0.5049998333399998
main,42,4,0,9.000449958753762,-4.534998500059998,4.534998500059998,-4.465001499940002,4.465001499940002,0.00011505364496815003,0.9998849463550319,0.00013234011124920383,0.9998676598887508
main,42,9,1,5.786383189751189,-1.641762834134762,1.641762834134762,-1.5718539767853787,1.5718539767853787,0.036140700252035265,0.9638592997479648,0.04133991947864631,0.9586600805213538
main,42,14,2,5.09819058810793,0.8726069856709797,-0.8726069856709797,1.0115000534602205,-1.011500053460221,0.8513481264868169,0.14865187351318312,0.8831908704134703,0.11680912958652964
main,42,19,3,2.4193374563311494,-0.295658651655873,0.295658651655873,-0.23820081652616154,0.2382008165261611,0.35633266087146,0.64366733912854,0.38310218643973265,0.6168978135602674
main,42,24,4,1.8199343846444733,0.6025733151602197,-0.6025733151602197,0.6833521748939317,-0.6833521748939322,0.7694390748543234,0.2305609251456766,0.796847169822312,0.20315283017768793
main,42,29,5,2.0918364203637276,-0.44407305111424833,0.44407305111424833,-0.36183737190823506,0.36183737190823484,0.2914925549601668,0.7085074450398332,0.326584293141803,0.673415706858197
main,42,34,6,0.9098380143095223,0.003687885995849738,-0.003687885995849738,0.10012880579272404,-0.10012880579272415,0.5018439346384529,0.49815606536154716,0.5498977596302774,0.4501022403697226
main,42,39,7,0.3498976329436161,-0.15831450425639523,0.1583145042563952,-0.08687226993234251,0.0868722699323424,0.4214975032690202,0.5785024967309798,0.4566728040046855,0.5433271959953145
main,42,44,8,0.39959597731268975,0.03350428353873322,-0.03350428353873319,0.12059827060546324,-0.12059827060546344,0.5167458762829065,0.48325412371709364,0.5600084969371095,0.4399915030628904
main,42,49,9,0.31694212307074987,-0.15132350008020382,0.15132350008020376,-0.006148899346408221,0.006148899346408027,0.4249105298575643,0.5750894701424357,0.49692558907346146,0.5030744109265386
