prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,4,False,9.000449958753762,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.00011505364496815003,0.9998849463550319,0.00013234011124920383,0.9998676598887508
1,9,False,5.786383189751189,5,4,0.4980009310078839,0.501999068992116,0.003998137984232097,0.693127198839307,0.6,0.4,0.036140700252035265,0.9638592997479648,0.04133991947864631,0.9586600805213538
2,14,False,5.09819058810793,5,4,0.4932896519871045,0.5067103480128955,0.01342069602579099,0.6926965543135705,0.8,0.2,0.8513481264868169,0.14865187351318312,0.8831908704134703,0.11680912958652964
3,19,False,2.4193374563311494,5,5,0.4843022884080764,0.5156977115919237,0.031395423183847304,0.6921879154214491,0.2,0.8,0.35633266087146,0.64366733912854,0.38310218643973265,0.6168978135602674
4,24,False,1.8199343846444733,5,5,0.5024728627917542,0.49752713720824593,0.004945725583508254,0.6912033917563152,0.8,0.2,0.7694390748543234,0.2305609251456766,0.796847169822312,0.20315283017768793
5,29,False,2.0918364203637276,5,5,0.509008566953999,0.4909914330460009,0.018017133907998084,0.6919128511126594,0.6,0.4,0.2914925549601668,0.7085074450398332,0.326584293141803,0.673415706858197
6,34,False,0.9098380143095223,5,5,0.5074726391702259,0.4925273608297741,0.014945278340451784,0.6896419464794964,0.4,0.6,0.5018439346384529,0.49815606536154716,0.5498977596302774,0.4501022403697226
7,39,False,0.3498976329436161,5,5,0.49750746608340934,0.5024925339165907,0.004985067833181311,0.6919700571647355,0.8,0.2,0.4214975032690202,0.5785024967309798,0.4566728040046855,0.5433271959953145
8,44,False,0.39959597731268975,5,5,0.48147061035928196,0.5185293896407179,0.03705877928143597,0.6908824034539012,0.6,0.4,0.5167458762829065,0.48325412371709364,0.5600084969371095,0.4399915030628904
9,49,False,0.31694212307074987,5,5,0.5203685334389627,0.47963146656103717,0.040737066877925554,0.6867227648657597,0.6,0.4,0.4249105298575643,0.5750894701424357,0.49692558907346146,0.5030744109265386
