prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,4,False,0.1,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.52497918747894,0.47502081252106,0.52497918747894,0.47502081252106
1,9,False,0.04020265799899128,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5349933618534406,0.4650066381465595,0.5349933618534406,0.4650066381465595
2,14,False,0.09859335003606412,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5594169230768642,0.44058307692313575,0.5594169230768642,0.44058307692313575
3,19,False,0.10321540707412243,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5338433235049491,0.46615667649505094,0.5338433235049491,0.46615667649505094
4,24,False,0.03144298063895423,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5260109027464458,0.47398909725355426,0.5260109027464458,0.47398909725355426
5,29,False,0.05462571771330147,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5396076741866396,0.46039232581336037,0.5396076741866396,0.46039232581336037
6,34,False,0.02422819475108001,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5335831473404018,0.4664168526595981,0.5335831473404018,0.4664168526595981
7,39,False,0.020557518195645823,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5284635989634384,0.4715364010365616,0.5284635989634384,0.4715364010365616
8,44,False,0.03758458844478798,5,5,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5378181872896991,0.46218181271030095,0.5378181872896991,0.46218181271030095
9,49,False,0.017350281818641004,5,4,0.5,0.5,0.0,0.6931471805599453,1.0,0.0,0.5335027081025914,0.46649729189740863,0.5335027081025914,0.46649729189740863
