round,i,j,r_i,r_j
0,1,2,3.0,3.0
1,0,3,0.0,5.0
2,3,0,5.0,0.0
3,5,4,1.0,1.0
4,4,2,5.0,0.0
5,4,2,5.0,0.0
6,4,1,5.0,0.0
7,4,3,1.0,1.0
8,3,0,5.0,0.0
9,0,4,0.0,5.0
10,5,0,5.0,0.0
11,2,4,0.0,5.0
12,3,0,5.0,0.0
13,2,1,3.0,3.0
14,1,0,3.0,3.0
15,5,2,5.0,0.0
16,4,3,1.0,1.0
17,3,5,1.0,1.0
18,2,3,0.0,5.0
19,4,5,1.0,1.0
20,3,1,5.0,0.0
21,2,4,0.0,5.0
22,2,4,0.0,5.0
23,1,2,3.0,3.0
24,0,3,0.0,5.0
25,3,1,5.0,0.0
26,5,1,5.0,0.0
27,0,2,3.0,3.0
28,5,0,5.0,0.0
29,4,5,1.0,1.0
30,1,4,0.0,5.0
31,3,4,1.0,1.0
32,0,5,0.0,5.0
33,4,2,5.0,0.0
34,4,1,5.0,0.0
35,2,0,3.0,3.0
36,0,3,0.0,5.0
37,5,4,1.0,1.0
38,2,4,0.0,5.0
39,5,1,5.0,0.0
40,4,0,5.0,0.0
41,4,3,1.0,1.0
42,4,2,5.0,0.0
43,1,0,3.0,3.0
44,2,0,3.0,3.0
45,2,5,0.0,5.0
46,2,5,0.0,5.0
47,0,2,3.0,3.0
48,3,1,5.0,0.0
49,0,5,0.0,5.0
