round,belief_entropy_mean,matched_cross_entropy,belief_argmax_accuracy,batch_log_likelihood,alpha_logged,prototype_step_m,prototype_update_norm,belief_change_norm
0,0.6931460028316438,1.3674585249344233,0.5105263157894737,-0.6918078560115437,1.0,0,0.0,0.09460753185734327
1,0.6931357669760545,1.4299152541096245,0.4842105263157895,-1.1179769980919358,0.6597539553864471,1,0.7256048214710389,0.1896612897973834
2,0.6931207864552115,1.4299152541096245,0.48947368421052634,-1.1179769980919358,0.5172818579717866,1,0.0,0.2274310893177015
3,0.6931014937779407,1.4299152541096245,0.49473684210526314,-1.1179769980919358,0.43527528164806206,1,0.0,0.2846626229722383
4,0.6929852886163429,3.2168834082436977,0.5105263157894737,-0.037333130197427705,0.3807307877431757,2,4.004975899959953,0.7225766708884567
5,0.6928782513108681,1.70571776165864,0.5236842105263158,-0.23478294640426578,0.34127875184653655,3,4.611292030066609,0.76936692211242
6,0.6928371808164809,1.4036699785117288,0.46842105263157896,-0.8510137734664682,0.3111294892118257,4,1.6304349123663684,0.4757799007557204
7,0.6928371497069975,1.4036699785117288,0.4763157894736842,-0.8510137734664682,0.2871745887492588,4,0.0,0.010769143629196398
8,0.6928377782173932,1.4146318212118973,0.5236842105263158,-0.9332844959498916,0.2675805205867436,5,0.14120488529923775,0.01886710600327074
9,0.69283727907476,1.4146318212118973,0.531578947368421,-0.4997340907460335,0.251188643150958,5,0.0,0.043972516306673426
10,0.6928367459499681,1.4146318212118973,0.5394736842105263,-0.499721177074102,0.23722714866171576,5,0.0,0.0439724460718986
11,0.692836145335525,1.3929620261444167,0.4710526315789474,-0.6068718546747508,0.22516000642010225,6,0.6146018974117314,0.04783008411782286
12,0.6928363227305108,1.387306280298247,0.4763157894736842,-0.7634384690385443,0.21460211045300662,7,0.044806408016879094,0.022452147950352663
13,0.6928364650754055,1.4068619910571898,0.5210526315789473,-0.5470560641472597,0.20526891114486695,8,0.4535373611412341,0.016051231442329894
14,0.6928360015196161,1.4068619910571898,0.5289473684210526,-0.5469467404207194,0.19694512927085184,8,0.0,0.021945737183415748
15,0.6928362296179656,1.4171639893076042,0.5421052631578948,-0.9024699946474986,0.18946457081379978,9,0.06482108582028677,0.028893292712153185
16,0.6928360718424202,1.3951567667503868,0.4473684210526316,-0.8053323916000215,0.1826966765645725,10,0.16939066704805877,0.01781609051200933
17,0.692836182871063,1.4486043220863467,0.45789473684210524,-0.9752325487730447,0.17653730684146873,11,0.28875401960110286,0.01541677690694554
18,0.6928361829397346,1.4486043220863467,0.46842105263157896,-0.47337675300902227,0.17090227321766677,11,0.0,2.7976753200598115e-05
19,0.6928361740121161,1.3855953443931615,0.5447368421052632,-0.7042375306977078,0.16572270086699936,12,0.5239153364574033,0.0041362673667657
20,0.6928361740927244,1.488241590986612,0.55,-0.4213807484125004,0.16094164024930613,13,0.6681983869831463,0.0022926913271091864
21,0.6928361699353891,1.488241590986612,0.5552631578947368,-0.4213811820951292,0.15651154965461567,13,0.0,0.001980754121104822
22,0.6928361697104769,1.495084871124325,0.5736842105263158,-1.0817045367608842,0.15239239637031693,14,0.021537579109491927,0.0033145835655168376
23,0.6928361531423579,1.429940754298929,0.4236842105263158,-0.9263836748265686,0.1485502048305003,15,0.24544974905066802,0.004978543034630911
24,0.692836236326674,1.389075433023137,0.5684210526315789,-0.610372576822279,0.1449559327355391,16,0.2492564920603818,0.005357042862770001
25,0.6928357542770738,1.389075433023137,0.5842105263157895,-0.7834028125745061,0.1415845912056503,16,0.0,0.02563397599903061
26,0.6928356834288734,1.4168337428472602,0.5921052631578947,-0.9041982208325934,0.1384145488461686,17,0.21219688827617547,0.0139899788323547
27,0.6928331615468898,1.3870107542143477,0.6026315789473684,-0.5189820383007455,0.13542697604569512,18,0.10170630081232808,0.039313871177697635
28,0.692831747928537,1.3870107542143477,0.6157894736842106,-0.5610636046043159,0.1326053973592681,18,0.0,0.09211151163196551
29,0.6928305119682675,1.400516097389838,0.6210526315789474,-0.8717255401368037,0.12993532803053964,19,0.04614709656386833,0.06523282145449222
