round,i,j,r_i,r_j
0,9,14,0.0,5.0
0,14,4,5.0,0.0
0,11,16,1.0,1.0
0,8,11,0.0,5.0
0,6,18,0.0,5.0
0,18,4,5.0,0.0
0,14,8,5.0,0.0
0,2,4,3.0,3.0
0,4,14,0.0,5.0
0,1,17,0.0,5.0
1,15,11,1.0,1.0
1,16,6,5.0,0.0
1,10,0,5.0,0.0
1,18,13,1.0,1.0
1,3,8,3.0,3.0
1,14,1,5.0,0.0
1,16,15,1.0,1.0
1,11,0,5.0,0.0
2,17,19,1.0,1.0
2,7,15,0.0,5.0
2,19,2,5.0,0.0
2,18,9,5.0,0.0
2,10,2,5.0,0.0
3,5,6,3.0,3.0
3,19,15,1.0,1.0
3,7,3,3.0,3.0
3,19,11,1.0,1.0
3,2,0,3.0,3.0
3,3,7,3.0,3.0
4,13,0,5.0,0.0
4,8,15,0.0,5.0
4,12,11,1.0,1.0
4,8,1,3.0,3.0
4,5,14,0.0,5.0
4,16,6,5.0,0.0
4,7,14,0.0,5.0
4,10,17,1.0,1.0
4,14,9,5.0,0.0
5,3,2,3.0,3.0
5,4,8,3.0,3.0
5,5,11,0.0,5.0
5,9,8,3.0,3.0
5,3,15,0.0,5.0
5,8,19,0.0,5.0
5,9,11,0.0,5.0
5,3,10,0.0,5.0
5,11,14,1.0,1.0
5,13,9,5.0,0.0
5,4,12,0.0,5.0
5,9,1,3.0,3.0
5,10,15,1.0,1.0
6,16,5,5.0,0.0
6,11,4,5.0,0.0
6,18,2,5.0,0.0
6,9,17,0.0,5.0
6,7,9,3.0,3.0
6,13,11,1.0,1.0
6,12,6,5.0,0.0
6,6,17,0.0,5.0
6,0,14,0.0,5.0
6,15,2,5.0,0.0
6,9,10,0.0,5.0
6,14,0,5.0,0.0
6,11,7,5.0,0.0
6,5,6,3.0,3.0
6,4,15,0.0,5.0
7,1,15,0.0,5.0
7,1,18,0.0,5.0
7,17,6,5.0,0.0
7,17,3,5.0,0.0
7,5,19,0.0,5.0
8,16,4,5.0,0.0
8,5,1,3.0,3.0
8,10,17,1.0,1.0
8,15,6,5.0,0.0
8,14,18,1.0,1.0
9,15,16,1.0,1.0
9,12,18,1.0,1.0
9,8,9,3.0,3.0
9,11,8,5.0,0.0
9,11,7,5.0,0.0
10,10,11,1.0,1.0
10,1,2,3.0,3.0
10,19,18,1.0,1.0
10,4,9,3.0,3.0
10,4,0,3.0,3.0
11,9,10,0.0,5.0
11,2,10,0.0,5.0
11,6,15,0.0,5.0
11,6,0,3.0,3.0
11,2,0,3.0,3.0
11,19,9,5.0,0.0
11,7,17,0.0,5.0
11,1,3,3.0,3.0
11,12,15,1.0,1.0
11,18,15,1.0,1.0
11,7,11,0.0,5.0
11,0,12,0.0,5.0
11,1,14,0.0,5.0
11,18,13,1.0,1.0
12,12,7,5.0,0.0
12,13,10,1.0,1.0
12,5,4,3.0,3.0
12,14,4,5.0,0.0
12,16,6,5.0,0.0
12,19,18,1.0,1.0
12,1,2,3.0,3.0
12,15,4,5.0,0.0
12,11,16,1.0,1.0
12,6,1,3.0,3.0
12,7,12,0.0,5.0
12,5,3,3.0,3.0
12,3,0,3.0,3.0
12,14,8,5.0,0.0
12,7,1,3.0,3.0
13,9,4,3.0,3.0
13,11,3,5.0,0.0
13,6,18,0.0,5.0
13,7,17,0.0,5.0
13,6,12,0.0,5.0
13,3,10,0.0,5.0
13,0,19,0.0,5.0
13,11,0,5.0,0.0
14,5,10,0.0,5.0
14,0,13,0.0,5.0
14,19,3,5.0,0.0
14,5,3,3.0,3.0
14,16,5,5.0,0.0
14,11,13,1.0,1.0
14,0,9,3.0,3.0
14,14,9,5.0,0.0
14,17,11,1.0,1.0
14,9,7,3.0,3.0
15,7,8,3.0,3.0
15,7,0,3.0,3.0
15,16,10,1.0,1.0
15,13,5,5.0,0.0
15,1,16,0.0,5.0
15,0,10,0.0,5.0
15,18,0,5.0,0.0
15,12,5,5.0,0.0
15,14,1,5.0,0.0
15,19,10,1.0,1.0
15,19,17,1.0,1.0
16,11,2,5.0,0.0
16,11,12,1.0,1.0
16,19,6,5.0,0.0
16,3,1,3.0,3.0
16,15,19,1.0,1.0
16,6,9,3.0,3.0
16,6,2,3.0,3.0
16,17,19,1.0,1.0
17,14,4,5.0,0.0
17,18,19,1.0,1.0
17,6,17,0.0,5.0
17,9,0,3.0,3.0
17,6,5,3.0,3.0
17,19,0,5.0,0.0
17,1,9,3.0,3.0
17,17,3,5.0,0.0
17,7,12,0.0,5.0
17,11,8,5.0,0.0
17,13,16,1.0,1.0
17,12,4,5.0,0.0
17,3,8,3.0,3.0
17,15,18,1.0,1.0
17,11,17,1.0,1.0
18,18,5,5.0,0.0
