prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_mean_b_snap_k2,batch_mean_b_snap_k3,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,batch_frac_argmax_k2,batch_frac_argmax_k3,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1,softmax_k2_a0,softmax_k2_a1,softmax_k3_a0,softmax_k3_a1
0,6,False,0.44583117272007816,91,81,0.24998338313322094,0.25005912235362926,0.2500038172760503,0.24995367723709946,7.573922040832182e-05,1.3862801846755899,0.8901098901098901,0.054945054945054944,0.0,0.054945054945054944,0.5714908708966054,0.4285091291033946,0.5912296625795377,0.4087703374204624,0.576949648946623,0.42305035105337707,0.5633704286322961,0.43662957136770375
1,13,False,0.5829432103979961,73,68,0.2498913242765944,0.2503942175404221,0.2500305052691652,0.24968395291381829,0.0005028932638277139,1.3862459688635331,0.6164383561643836,0.2191780821917808,0.0,0.1643835616438356,0.4777661016589536,0.5222338983410464,0.4642098335245262,0.5357901664754738,0.47400394677160257,0.5259960532283974,0.48337715742177867,0.5166228425782213
2,20,False,0.3990319378104628,64,60,0.2500062447587982,0.2499779201212985,0.24999860269509,0.25001723242481344,2.8324637499688166e-05,1.38624312183851,0.640625,0.1875,0.0,0.171875,0.40571782720590527,0.5942821727940948,0.40600401992700846,0.5939959800729916,0.4058023346472757,0.5941976653527242,0.40558627755425486,0.5944137224457451
3,27,False,0.7209771019035444,67,61,0.25005519887825295,0.2498177578987527,0.24999758266989125,0.2501294605531031,0.00023744097950023635,1.3862396934288435,0.5223880597014925,0.208955223880597,0.029850746268656716,0.23880597014925373,0.5320347601985029,0.467965239801497,0.5320889647572686,0.46791103524273137,0.532051617042833,0.46794838295716695,0.5320078417366935,0.46799215826330653
4,34,False,0.47078752137937097,62,58,0.24984169456171368,0.25057981009030383,0.2500488593215858,0.2495296360263966,0.0007381155285901553,1.386222219535138,0.41935483870967744,0.3709677419354839,0.0,0.20967741935483872,0.44923328030599174,0.5507667196940083,0.4483769107528761,0.5516230892471239,0.4490043205197615,0.5509956794802384,0.44956303777806417,0.5504369622219358
5,41,False,0.22747645261411548,67,63,0.25013069547875116,0.24952725577555238,0.24996421625894788,0.25037783248674855,0.0006034397031987881,1.3862269671512548,0.417910447761194,0.31343283582089554,0.0,0.26865671641791045,0.48918279723711183,0.5108172027628881,0.48871673310854186,0.5112832668914581,0.4890569661502385,0.5109430338497616,0.48936592968324544,0.5106340703167547
6,48,False,0.09651098679342372,75,70,0.25012929058628874,0.24953464085163238,0.24996609710769524,0.2503699714543835,0.0005946497346563662,1.386217898522303,0.32,0.22666666666666666,0.0,0.4533333333333333,0.4721968030222341,0.5278031969777658,0.4715049254141176,0.5284950745858823,0.47200468173996807,0.5279953182600319,0.4724839544044973,0.5275160455955026
7,55,False,0.16550319063762892,85,79,0.25003249661482424,0.24988509129642417,0.2499931312649172,0.25008928082383436,0.00014740531840007343,1.3862233884884925,0.12941176470588237,0.43529411764705883,0.0,0.43529411764705883,0.5015445301359983,0.4984554698640016,0.5002929176190618,0.4997070823809381,0.5011979689730302,0.49880203102696985,0.5020609874502902,0.49793901254970974
8,62,False,0.10649413131655565,69,65,0.24979482152736593,0.2507465223340644,0.25005953791593755,0.24939911822263222,0.0009517008066984856,1.3862246194679644,0.2318840579710145,0.4782608695652174,0.0,0.2898550724637681,0.5202307582928475,0.4797692417071525,0.5195602546533826,0.4804397453466174,0.520043530023426,0.4799564699765741,0.5205119135996891,0.479488086400311
9,69,False,0.08597753408457602,84,80,0.2500539927295205,0.24980552125909902,0.24998576576298395,0.2501547202483965,0.00024847147042147966,1.3862246542099739,0.2261904761904762,0.35714285714285715,0.0,0.4166666666666667,0.5049491860842189,0.49505081391578104,0.5047207061729662,0.49527929382703384,0.5048852607125675,0.4951147392874325,0.5050455744794371,0.4949544255205629
10,76,False,0.1086738527986978,81,77,0.25021808603537454,0.2492165834728676,0.24994434728948708,0.2506209832022711,0.0010015025625069451,1.3862089255065757,0.16049382716049382,0.4074074074074074,0.0,0.43209876543209874,0.4858419422106382,0.5141580577893619,0.4851617633922628,0.5148382366077372,0.4856543801359785,0.5143456198640216,0.48612048056551155,0.5138795194344884
11,83,False,0.04912858688448559,57,55,0.2502526112064313,0.24909415979554436,0.2499367512072855,0.25071647779073897,0.0011584514108869126,1.386227485406275,0.14035087719298245,0.38596491228070173,0.0,0.47368421052631576,0.47722718377873374,0.5227728162212661,0.47627964067941125,0.5237203593205887,0.4769630898506108,0.5230369101493891,0.47762327032345464,0.5223767296765454
12,90,False,0.13941987685783172,67,61,0.2501071436931062,0.24961991163947936,0.24997618450787557,0.2502967601595388,0.00048723205362685706,1.3862226013961083,0.08955223880597014,0.47761194029850745,0.014925373134328358,0.417910447761194,0.5020084188618242,0.4979915811381759,0.5003537638394367,0.49964623616056325,0.501550865746606,0.498449134253394,0.5026894033577916,0.4973105966422084
13,97,False,0.0063235012346527725,83,76,0.2503405792278688,0.24877451142959164,0.24991144193174042,0.25097346741079923,0.0015660677982771432,1.3862175824645402,0.07228915662650602,0.40963855421686746,0.0,0.5180722891566265,0.5031217618013399,0.49687823819866,0.5014837301459715,0.49851626985402847,0.5026670005080398,0.4973329994919602,0.5038011559453607,0.49619884405463927
14,104,False,0.0320193202725285,76,73,0.24992749402577125,0.2502558930977099,0.2500153305475542,0.2498012823289647,0.00032839907193865647,1.3861926973610543,0.05263157894736842,0.4868421052631579,0.013157894736842105,0.4473684210526316,0.5088108007515714,0.49118919924842863,0.5070352298643971,0.49296477013560297,0.5083186164903528,0.4916813835096472,0.5095451643026365,0.49045483569736353
15,111,False,0.1349760871388642,44,44,0.2500084716633857,0.24997501620815782,0.2500021006668986,0.25001441146155784,3.345545522787097e-05,1.3862296656352724,0.06818181818181818,0.5,0.0,0.4318181818181818,0.5326735373086701,0.46732646269133,0.5306851311458651,0.46931486885413487,0.5321234832976424,0.4678765167023577,0.5334926322656928,0.4665073677343073
16,118,False,0.1350907231680119,57,52,0.24995585846199828,0.25014730861326945,0.2500029767815657,0.2498938561431665,0.00019145015127117193,1.3861621494619811,0.017543859649122806,0.49122807017543857,0.017543859649122806,0.47368421052631576,0.5089996703944194,0.4910003296055806,0.5062736287212749,0.49372637127872504,0.5082466378336108,0.49175336216638915,0.5101193861810618,0.48988061381893827
17,125,False,0.03807545747081491,61,55,0.24981336075147964,0.25067753574648743,0.2500529074034814,0.2494561960985516,0.0008641749950077937,1.3862242440440447,0.03278688524590164,0.5409836065573771,0.01639344262295082,0.4098360655737705,0.5022791593647283,0.4977208406352716,0.4995131430053974,0.5004868569946026,0.5015168588188818,0.4984831411811182,0.5034102098307988,0.49658979016920124
18,132,False,0.1374536523382696,77,70,0.2500929018275484,0.2496706983422879,0.2499793846357715,0.2502570151943922,0.0004222034852605083,1.3862171862984844,0.05194805194805195,0.4805194805194805,0.012987012987012988,0.45454545454545453,0.47790556675582346,0.5220944332441765,0.47555871764166063,0.5244412823583394,0.4772574770989493,0.5227425229010506,0.47886914773144895,0.521130852268551
19,139,False,0.010194811244466537,62,58,0.24972841428401257,0.25097420515051844,0.25006801318992017,0.24922936737554882,0.0012457908665058637,1.3862038755719193,0.03225806451612903,0.5967741935483871,0.0,0.3709677419354839,0.4762046706041813,0.5237953293958186,0.4734639421481718,0.5265360578518282,0.47544925537234045,0.5245507446276596,0.47732578066135906,0.522674219338641
