prototype_update_index_m,env_round_ended,final_flush,prototype_update_norm,batch_size,batch_unique_ordered_pairs,batch_mean_b_snap_k0,batch_mean_b_snap_k1,batch_delta_resp,batch_mean_b_snap_entropy,batch_frac_argmax_k0,batch_frac_argmax_k1,softmax_k0_a0,softmax_k0_a1,softmax_k1_a0,softmax_k1_a1
0,6,False,1.4135430040288441,80,72,0.49972819791845097,0.500271802081549,0.0005436041630980104,0.6931304133466218,0.9375,0.0625,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
1,13,False,3.4663660236085603,58,53,0.4998834174595498,0.5001165825404502,0.00023316508090043264,0.6930063136729779,0.8275862068965517,0.1724137931034483,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
2,20,False,3.3911933846652533,65,62,0.5006041063549754,0.4993958936450245,0.0012082127099509177,0.6928486441900195,0.7846153846153846,0.2153846153846154,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
3,27,False,1.937116668945145,63,59,0.5124471174385934,0.4875528825614065,0.024894234877186894,0.6915005207456004,0.8412698412698413,0.15873015873015872,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
4,34,False,1.0237944825883556,63,56,0.5058184609948855,0.4941815390051145,0.011636921989770954,0.6923817827866536,0.8412698412698413,0.15873015873015872,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
5,41,False,0.6733879480806403,80,75,0.5059634287535762,0.49403657124642386,0.011926857507152389,0.6919242062432769,0.6375,0.3625,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
6,48,False,0.1885483452934734,76,72,0.5091287516234996,0.49087124837650037,0.018257503246999207,0.6920143012645579,0.7894736842105263,0.21052631578947367,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
7,55,False,0.01425267123952087,75,70,0.505466394975133,0.49453360502486693,0.010932789950266086,0.6920619734574301,0.6266666666666667,0.37333333333333335,0.5274859889081671,0.472514011091833,0.5379908203056891,0.462009179694311
8,62,False,0.14563988801664987,66,56,0.5070395428518789,0.49296045714812103,0.014079085703757876,0.6920763389941638,0.5909090909090909,0.4090909090909091,0.49032094318122205,0.5096790568187779,0.502455470762339,0.497544529237661
9,69,False,0.051734542543687936,67,60,0.5092638351348129,0.49073616486518706,0.018527670269625818,0.6917609934414101,0.7014925373134329,0.29850746268656714,0.4768892878582037,0.5231107121417964,0.49005768575720043,0.5099423142427996
10,76,False,0.0909673658202366,67,61,0.5073823120850893,0.49261768791491056,0.014764624170178764,0.6919065275240809,0.6119402985074627,0.3880597014925373,0.4521647591116403,0.5478352408883597,0.46968230086139684,0.530317699138603
11,83,False,0.3630648700321318,62,57,0.5047092449770282,0.49529075502297165,0.00941848995405653,0.6918562916520058,0.5806451612903226,0.41935483870967744,0.3621533584290365,0.6378466415709635,0.3838825163967149,0.6161174836032851
12,90,False,0.19605394738412837,80,72,0.5067960568358072,0.4932039431641928,0.013592113671614392,0.691428116921102,0.575,0.425,0.40925901972190043,0.5907409802780996,0.43044423707620244,0.5695557629237975
13,97,False,0.26065289380928364,53,48,0.5036627077217734,0.4963372922782266,0.007325415443546757,0.6916746233985205,0.4716981132075472,0.5283018867924528,0.47346679396608515,0.5265332060339147,0.49511766143741626,0.5048823385625838
14,104,False,0.242184255994941,67,62,0.5094363890247088,0.49056361097529133,0.01887277804941745,0.6914672759193896,0.6865671641791045,0.31343283582089554,0.4118004694112618,0.5881995305887381,0.437005857665481,0.5629941423345189
15,111,False,0.18395950836898114,78,74,0.5061475740534621,0.4938524259465377,0.012295148106924392,0.6915457215756172,0.5641025641025641,0.4358974358974359,0.45690541240712784,0.5430945875928721,0.4827258507938361,0.5172741492061639
16,118,False,0.06620624887567514,65,63,0.5091330427811738,0.4908669572188263,0.01826608556234749,0.6908266129298767,0.5692307692307692,0.4307692307692308,0.4707502452847168,0.5292497547152831,0.5015386751914354,0.49846132480856464
17,125,False,0.17776146719733762,61,58,0.5098248859583756,0.49017511404162434,0.01964977191675127,0.6907258393095677,0.639344262295082,0.36065573770491804,0.4246563373196143,0.5753436626803857,0.4595000616004551,0.5404999383995449
18,132,False,0.19777986172593146,58,55,0.5054509436818139,0.49454905631818624,0.010901887363627627,0.690612252300141,0.5344827586206896,0.46551724137931033,0.4709598004783874,0.5290401995216126,0.5113205603622102,0.48867943963778976
19,139,False,0.002737422590152043,65,62,0.5029340368890111,0.4970659631109891,0.005868073778021954,0.6907327383427069,0.5846153846153846,0.4153846153846154,0.4719243750120892,0.5280756249879107,0.5113071326321693,0.4886928673678308
20,146,False,0.06569096067524115,84,77,0.5006213548067998,0.4993786451932002,0.001242709613599624,0.6887398509855996,0.4642857142857143,0.5357142857142857,0.48265091937575316,0.5173490806242468,0.5318539341412752,0.46814606585872465
21,153,False,0.06356086881993031,76,73,0.5029389773748729,0.4970610226251271,0.0058779547497458395,0.6900945943193332,0.5921052631578947,0.40789473684210525,0.46591044068421816,0.534089559315782,0.5169503516834684,0.4830496483165317
22,160,False,0.03810073518709489,81,75,0.49711619879227936,0.5028838012077207,0.005767602415441331,0.6891496497299071,0.4567901234567901,0.5432098765432098,0.4710955897297703,0.5289044102702297,0.5293471418835768,0.47065285811642316
23,167,False,0.059003738269641344,77,70,0.5077064870287599,0.49229351297124,0.015412974057519846,0.6868048242622444,0.5714285714285714,0.42857142857142855,0.45311809739415554,0.5468819026058446,0.5189711925445958,0.4810288074554042
24,174,False,0.017902119737061108,61,56,0.5107937169183752,0.4892062830816249,0.02158743383675027,0.68544707329326,0.6065573770491803,0.39344262295081966,0.4468590842865292,0.5531409157134708,0.5192684306753125,0.48073156932468747
25,181,False,0.02532109810753586,80,67,0.5124844796881792,0.48751552031182105,0.02496895937635818,0.682561481188996,0.625,0.375,0.44849813434499647,0.5515018656550036,0.5280461463293347,0.4719538536706654
26,188,False,0.026069554909843647,86,79,0.5003628381724688,0.4996371618275311,0.0007256763449377535,0.6807989468569347,0.5,0.5,0.4462505873987923,0.5537494126012077,0.536940563314469,0.4630594366855309
27,195,False,0.03823384151796613,73,69,0.4943837298814318,0.5056162701185681,0.011232540237136324,0.6793698986855206,0.4794520547945205,0.5205479452054794,0.4484920210550692,0.5515079789449308,0.5501649813050736,0.44983501869492637
28,202,False,0.026366963333330072,78,73,0.5119473802289455,0.48805261977105435,0.02389476045789113,0.6742297984927698,0.5512820512820513,0.44871794871794873,0.43978079378593965,0.5602192062140603,0.5531464095575384,0.4468535904424616
29,209,False,0.07612034550026031,73,66,0.5091098958727958,0.49089010412720413,0.01821979174559163,0.6709664626907699,0.5616438356164384,0.4383561643835616,0.4165876603528535,0.5834123396471466,0.5404824514277152,0.4595175485722847
30,216,False,0.0458299314935833,60,55,0.5001700121986569,0.49982998780134313,0.0003400243973137318,0.6628002514183868,0.5166666666666667,0.48333333333333334,0.4119820638446144,0.5880179361553856,0.5558304400679257,0.4441695599320742
31,223,False,0.018355451863286413,56,51,0.5061216291982893,0.4938783708017107,0.012243258396578582,0.6635447946792529,0.5,0.5,0.4070386453949782,0.5929613546050218,0.5518775589394068,0.4481224410605931
32,230,False,0.04230887453722324,81,74,0.5387696435052262,0.46123035649477373,0.07753928701045243,0.6594109138258117,0.6172839506172839,0.38271604938271603,0.393907784425031,0.6060922155749691,0.5458701925819351,0.45412980741806475
