round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1
0,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485
1,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485
2,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485
3,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485
4,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485
5,0,-0.016867998910774465,-0.04063375110179309,0.04213822910040209,-0.04487926932808904,0.5059411584144294,0.49405884158557045,0.5217406579013651,0.47825934209863485
6,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
7,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
8,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
9,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
10,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
11,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
12,1,-0.6397639644818633,0.5822622144692975,-0.7395602602129037,0.7368192199852167,0.2275800772864325,0.7724199227135675,0.18597490035413874,0.8140250996458613
13,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
14,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
15,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
16,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
17,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
18,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
19,2,0.9614595033064413,-1.018961253319007,1.1162226233750194,-1.1189636636027065,0.8787260078614555,0.12127399213854453,0.9033650525066155,0.09663494749338455
20,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
21,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
22,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
23,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
24,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
25,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
26,3,-0.6785881382777652,0.6210863882651994,-0.6331601304649657,0.6304190902372786,0.21421979870324293,0.7857802012967571,0.22035836469035489,0.7796416353096451
27,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
28,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
29,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
30,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
31,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
32,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
33,4,0.29908193343986944,-0.3565836834524353,0.3261999298982964,-0.32894097012598345,0.6582860583595689,0.3417139416404311,0.658168015847526,0.34183198415247396
34,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
35,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
36,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
37,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
38,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
39,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
40,5,-0.2341670141715515,0.17666526415898565,-0.16341535903832527,0.1606743188106382,0.3987125732210196,0.6012874267789804,0.4196793866390628,0.5803206133609371
41,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
42,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
43,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
44,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
45,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
46,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
47,6,0.11421134993836402,-0.17171309995092987,0.161173888673651,-0.1639149289013379,0.5709980793149237,0.42900192068507614,0.5805639328944822,0.41943606710551795
48,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
49,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
50,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
51,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
52,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
53,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
54,7,0.018439052316737786,-0.07594080232930339,0.06842203551303715,-0.07116307574072425,0.5235774647916585,0.47642253520834155,0.5348397280598182,0.46516027194018184
55,8,0.026276577037402583,-0.0837783270499682,0.07475784840357462,-0.07749888863126173,0.5274859889081671,0.472514011091833,0.5379908203056891,0.462009179694311
