round,belief_entropy_mean,matched_cross_entropy,belief_argmax_accuracy,batch_log_likelihood,alpha_logged,prototype_step_m,prototype_update_norm,belief_change_norm
0,1.0985902000469265,1.9846786227559485,0.35,-0.6974915919096616,1.0,0,0.0,0.3307419699506281
1,1.0985654062099717,1.9846786227559485,0.3631578947368421,-0.6974915919096616,0.6597539553864471,0,0.0,0.3718819994323051
2,1.0985381306047397,1.9846786227559485,0.3684210526315789,-0.6909000775582805,0.5172818579717866,0,0.0,0.41221116186537604
3,1.0985025159046908,1.9846786227559485,0.37105263157894736,-0.6909000775582805,0.43527528164806206,0,0.0,0.536442117359013
4,1.0984696064204154,1.9846786227559485,0.3868421052631579,-0.6974915919096616,0.3807307877431757,0,0.0,0.4953020878773361
5,1.0984558531499564,1.9846786227559485,0.3868421052631579,-0.6974915919096616,0.34127875184653655,0,0.0,0.2878915917816642
6,1.0984145997293557,2.072861055559451,0.2894736842105263,-0.6974915919096616,0.3111294892118257,1,1.0829303727629223,0.6194449112879152
7,1.098341066641746,2.072861055559451,0.2894736842105263,-0.3744409212925047,0.2871745887492588,1,0.0,0.4832904240718285
8,1.0981984446039545,2.072861055559451,0.3026315789473684,-0.37781010937378745,0.2675805205867436,1,0.0,0.7986098025794738
9,1.0980976338325397,2.072861055559451,0.31842105263157894,-0.3744409212925047,0.251188643150958,1,0.0,1.0836801135327139
10,1.0979085264110937,2.072861055559451,0.32894736842105265,-0.3744409212925047,0.23722714866171576,1,0.0,0.7898354468899196
11,1.0976205785858002,2.072861055559451,0.33157894736842103,-1.1844434345987715,0.22516000642010225,1,0.0,1.3734395282967955
12,1.0975033722513314,2.072861055559451,0.3394736842105263,-1.1844434345987715,0.21460211045300662,1,0.0,0.5780277840189688
13,1.0972456682759386,1.961622313846699,0.32894736842105265,-1.1844434345987715,0.20526891114486695,2,1.5932281355790259,1.2144763605329958
14,1.0971358863530705,1.961622313846699,0.33421052631578946,-0.9363007585708731,0.19694512927085184,2,0.0,1.13616602301134
15,1.0970449882453468,1.961622313846699,0.33421052631578946,-0.9281215476135701,0.18946457081379978,2,0.0,0.6232857646100607
16,1.0970354283404171,1.961622313846699,0.34210526315789475,-0.9281215476135701,0.1826966765645725,2,0.0,0.7328557920557817
