round,prototype_step_m,theta_0_0,theta_0_1,theta_1_0,theta_1_1,theta_2_0,theta_2_1,theta_3_0,theta_3_1,softmax_0_0,softmax_0_1,softmax_1_0,softmax_1_1,softmax_2_0,softmax_2_1,softmax_3_0,softmax_3_1
0,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.005834290457036411,0.010934429836450647,0.0435714388974095,0.011179777438734113,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562,0.49872496791892834,0.5012750320810717,0.5080972073979009,0.49190279260209907
1,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.005834290457036411,0.010934429836450647,0.0435714388974095,0.011179777438734113,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562,0.49872496791892834,0.5012750320810717,0.5080972073979009,0.49190279260209907
2,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.005834290457036411,0.010934429836450647,0.0435714388974095,0.011179777438734113,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562,0.49872496791892834,0.5012750320810717,0.5080972073979009,0.49190279260209907
3,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.005834290457036411,0.010934429836450647,0.0435714388974095,0.011179777438734113,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562,0.49872496791892834,0.5012750320810717,0.5080972073979009,0.49190279260209907
4,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.005834290457036411,0.010934429836450647,0.0435714388974095,0.011179777438734113,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562,0.49872496791892834,0.5012750320810717,0.5080972073979009,0.49190279260209907
5,0,0.03716270856017211,0.02715771341525975,-0.03327548536443472,0.01160806615333599,0.005834290457036411,0.010934429836450647,0.0435714388974095,0.011179777438734113,0.5025012279218684,0.4974987720781317,0.48878099547874376,0.5112190045212562,0.49872496791892834,0.5012750320810717,0.5080972073979009,0.49190279260209907
6,1,0.1761284442727851,-0.11180802229735348,0.17369182327207694,-0.19535924248317568,0.1635162571421769,-0.14674753684868985,0.1548017051040379,-0.10005048876789424,0.5714908708966054,0.4285091291033946,0.5912296625795377,0.4087703374204624,0.576949648946623,0.42305035105337707,0.5633704286322961,0.43662957136770375
7,1,0.1761284442727851,-0.11180802229735348,0.17369182327207694,-0.19535924248317568,0.1635162571421769,-0.14674753684868985,0.1548017051040379,-0.10005048876789424,0.5714908708966054,0.4285091291033946,0.5912296625795377,0.4087703374204624,0.576949648946623,0.42305035105337707,0.5633704286322961,0.43662957136770375
8,1,0.1761284442727851,-0.11180802229735348,0.17369182327207694,-0.19535924248317568,0.1635162571421769,-0.14674753684868985,0.1548017051040379,-0.10005048876789424,0.5714908708966054,0.4285091291033946,0.5912296625795377,0.4087703374204624,0.576949648946623,0.42305035105337707,0.5633704286322961,0.43662957136770375
9,1,0.1761284442727851,-0.11180802229735348,0.17369182327207694,-0.19535924248317568,0.1635162571421769,-0.14674753684868985,0.1548017051040379,-0.10005048876789424,0.5714908708966054,0.4285091291033946,0.5912296625795377,0.4087703374204624,0.576949648946623,0.42305035105337707,0.5633704286322961,0.43662957136770375
