round,i,j,r_i,r_j
0,20,5,5.0,0.0
0,26,7,5.0,0.0
0,16,28,0.0,5.0
0,13,2,3.0,3.0
0,2,4,3.0,3.0
0,3,12,3.0,3.0
0,1,27,0.0,5.0
0,24,7,5.0,0.0
0,12,13,3.0,3.0
0,18,24,0.0,5.0
0,25,11,5.0,0.0
1,22,18,5.0,0.0
1,2,8,3.0,3.0
1,21,9,5.0,0.0
1,4,9,3.0,3.0
1,28,10,1.0,1.0
1,22,5,5.0,0.0
1,20,12,1.0,1.0
1,2,23,0.0,5.0
1,22,9,5.0,0.0
1,2,13,0.0,5.0
1,23,1,5.0,0.0
2,2,11,0.0,5.0
2,23,6,5.0,0.0
2,24,6,5.0,0.0
2,25,1,1.0,1.0
2,1,19,3.0,3.0
2,12,5,3.0,3.0
2,7,12,3.0,3.0
2,9,23,0.0,5.0
2,15,17,0.0,5.0
2,23,21,1.0,1.0
2,2,23,0.0,5.0
2,10,19,5.0,0.0
2,23,13,5.0,0.0
2,2,15,3.0,3.0
3,27,0,5.0,0.0
3,4,19,3.0,3.0
3,6,4,3.0,3.0
3,22,26,1.0,1.0
3,16,25,0.0,5.0
3,0,8,3.0,3.0
4,13,25,1.0,1.0
4,23,21,1.0,1.0
4,25,15,1.0,1.0
4,22,5,5.0,0.0
4,14,4,5.0,0.0
4,27,25,1.0,1.0
4,1,11,3.0,3.0
4,7,6,3.0,3.0
4,13,20,0.0,5.0
5,27,28,1.0,1.0
5,1,11,3.0,3.0
5,12,27,0.0,5.0
5,20,18,1.0,1.0
5,9,20,0.0,5.0
5,20,25,1.0,1.0
5,11,26,0.0,5.0
5,21,1,5.0,0.0
5,16,7,3.0,3.0
5,4,28,0.0,5.0
5,21,11,1.0,1.0
5,19,4,3.0,3.0
5,7,17,0.0,5.0
5,22,28,1.0,1.0
6,8,22,0.0,5.0
6,0,17,5.0,0.0
6,14,23,0.0,5.0
6,5,3,3.0,3.0
6,6,2,3.0,3.0
6,19,29,0.0,5.0
6,1,23,0.0,5.0
6,19,20,0.0,5.0
6,20,11,5.0,0.0
6,24,15,5.0,0.0
6,14,0,3.0,3.0
6,26,3,5.0,0.0
6,5,2,3.0,3.0
7,18,1,5.0,0.0
7,5,2,3.0,3.0
7,27,20,1.0,1.0
7,12,20,1.0,1.0
7,27,3,5.0,0.0
7,13,23,0.0,5.0
7,28,25,1.0,1.0
7,23,17,5.0,0.0
