round,i,j,r_i,r_j
0,14,7,1.0,-1.0
0,29,6,1.0,-1.0
0,18,23,1.0,-1.0
0,18,26,1.0,-1.0
0,2,4,-1.0,1.0
1,12,9,1.0,-1.0
1,0,14,1.0,-1.0
1,28,1,-1.0,1.0
1,20,10,-1.0,1.0
1,6,21,1.0,-1.0
1,20,6,-1.0,1.0
1,3,6,1.0,-1.0
1,20,27,1.0,-1.0
1,20,15,1.0,-1.0
1,22,14,-1.0,1.0
1,2,7,1.0,-1.0
2,23,8,-1.0,1.0
2,15,18,1.0,-1.0
2,11,29,-1.0,1.0
2,2,11,-1.0,1.0
2,16,21,-1.0,1.0
2,3,25,-1.0,1.0
2,26,5,-1.0,1.0
2,6,15,-1.0,1.0
2,21,12,-1.0,1.0
2,6,1,-1.0,1.0
2,12,22,1.0,-1.0
2,24,10,1.0,-1.0
2,14,20,-1.0,1.0
2,8,14,1.0,-1.0
3,23,20,1.0,-1.0
3,14,15,-1.0,1.0
3,29,16,1.0,-1.0
3,27,14,-1.0,1.0
3,26,29,1.0,-1.0
3,0,8,1.0,-1.0
3,21,9,-1.0,1.0
4,3,23,-1.0,1.0
4,3,4,1.0,-1.0
4,1,11,1.0,-1.0
4,25,14,-1.0,1.0
4,27,16,-1.0,1.0
4,15,24,-1.0,1.0
4,21,28,-1.0,1.0
4,26,21,1.0,-1.0
4,4,19,-1.0,1.0
4,6,26,-1.0,1.0
4,19,1,1.0,-1.0
4,13,10,1.0,-1.0
4,28,0,-1.0,1.0
4,29,15,1.0,-1.0
5,9,4,-1.0,1.0
5,28,18,1.0,-1.0
5,18,4,-1.0,1.0
5,23,4,-1.0,1.0
5,16,8,-1.0,1.0
5,25,10,-1.0,1.0
5,15,5,1.0,-1.0
5,4,3,1.0,-1.0
5,4,22,-1.0,1.0
5,5,6,1.0,-1.0
6,14,8,1.0,-1.0
6,28,1,-1.0,1.0
6,8,22,-1.0,1.0
6,24,7,1.0,-1.0
6,9,17,-1.0,1.0
6,29,8,-1.0,1.0
6,0,17,1.0,-1.0
6,8,12,1.0,-1.0
7,5,10,-1.0,1.0
7,13,10,1.0,-1.0
7,6,28,-1.0,1.0
7,15,11,1.0,-1.0
7,13,6,1.0,-1.0
7,7,0,1.0,-1.0
8,2,1,1.0,-1.0
8,6,23,-1.0,1.0
8,2,17,-1.0,1.0
8,15,22,-1.0,1.0
8,22,23,1.0,-1.0
9,18,7,-1.0,1.0
9,17,23,1.0,-1.0
9,22,25,1.0,-1.0
9,17,25,1.0,-1.0
9,21,27,1.0,-1.0
10,12,17,-1.0,1.0
10,29,8,-1.0,1.0
10,23,25,1.0,-1.0
10,28,11,-1.0,1.0
10,13,5,1.0,-1.0
10,18,8,-1.0,1.0
10,25,5,-1.0,1.0
10,16,17,1.0,-1.0
10,4,28,1.0,-1.0
10,19,9,-1.0,1.0
11,8,14,1.0,-1.0
11,11,19,1.0,-1.0
11,9,10,1.0,-1.0
11,14,5,-1.0,1.0
11,23,4,-1.0,1.0
11,25,0,-1.0,1.0
11,14,20,-1.0,1.0
11,18,17,1.0,-1.0
11,3,4,-1.0,1.0
11,11,8,-1.0,1.0
11,22,24,1.0,-1.0
11,26,19,1.0,-1.0
11,7,9,-1.0,1.0
12,9,27,-1.0,1.0
12,27,18,1.0,-1.0
12,25,20,1.0,-1.0
12,29,5,-1.0,1.0
12,3,10,-1.0,1.0
12,6,29,-1.0,1.0
12,23,25,1.0,-1.0
12,24,17,1.0,-1.0
12,1,19,-1.0,1.0
12,1,21,1.0,-1.0
12,23,0,1.0,-1.0
12,0,29,-1.0,1.0
12,13,12,1.0,-1.0
13,4,7,-1.0,1.0
13,11,21,1.0,-1.0
13,14,15,-1.0,1.0
13,26,22,1.0,-1.0
13,0,15,-1.0,1.0
13,18,17,1.0,-1.0
13,2,20,-1.0,1.0
13,24,15,-1.0,1.0
13,17,9,-1.0,1.0
13,8,26,-1.0,1.0
14,22,20,1.0,-1.0
14,2,17,1.0,-1.0
14,2,0,1.0,-1.0
14,13,21,-1.0,1.0
14,8,16,-1.0,1.0
14,21,19,-1.0,1.0
14,14,3,1.0,-1.0
14,11,29,1.0,-1.0
14,27,11,1.0,-1.0
14,8,4,1.0,-1.0
15,20,19,-1.0,1.0
15,0,19,-1.0,1.0
15,26,25,1.0,-1.0
15,29,17,1.0,-1.0
15,3,21,-1.0,1.0
15,21,2,-1.0,1.0
15,14,12,1.0,-1.0
15,22,5,-1.0,1.0
15,1,11,1.0,-1.0
15,7,21,-1.0,1.0
16,13,4,-1.0,1.0
16,20,9,-1.0,1.0
16,20,24,1.0,-1.0
16,2,12,1.0,-1.0
16,14,23,-1.0,1.0
16,24,17,1.0,-1.0
16,17,14,-1.0,1.0
16,5,15,-1.0,1.0
16,16,5,-1.0,1.0
16,6,9,1.0,-1.0
17,7,3,1.0,-1.0
17,13,9,1.0,-1.0
17,17,9,-1.0,1.0
17,10,7,1.0,-1.0
17,7,14,1.0,-1.0
18,4,1,1.0,-1.0
18,25,12,1.0,-1.0
18,4,17,-1.0,1.0
18,16,5,-1.0,1.0
18,2,0,-1.0,1.0
18,7,4,1.0,-1.0
18,25,9,-1.0,1.0
18,20,24,1.0,-1.0
18,22,21,1.0,-1.0
19,23,13,-1.0,1.0
19,25,6,-1.0,1.0
19,16,12,-1.0,1.0
19,19,3,-1.0,1.0
19,2,0,1.0,-1.0
19,0,13,1.0,-1.0
20,3,5,-1.0,1.0
20,29,3,-1.0,1.0
20,24,8,-1.0,1.0
20,21,5,-1.0,1.0
20,29,20,1.0,-1.0
20,14,10,1.0,-1.0
20,5,1,1.0,-1.0
20,6,13,1.0,-1.0
20,10,11,1.0,-1.0
21,19,6,-1.0,1.0
21,3,28,-1.0,1.0
21,20,27,1.0,-1.0
21,24,0,-1.0,1.0
21,29,3,1.0,-1.0
21,27,9,1.0,-1.0
21,2,13,1.0,-1.0
21,19,17,1.0,-1.0
21,26,17,1.0,-1.0
21,26,10,-1.0,1.0
21,12,23,1.0,-1.0
21,19,11,-1.0,1.0
21,20,26,-1.0,1.0
21,9,4,1.0,-1.0
21,9,27,1.0,-1.0
22,3,21,-1.0,1.0
22,15,18,1.0,-1.0
22,20,0,-1.0,1.0
22,22,16,1.0,-1.0
22,7,18,-1.0,1.0
22,5,3,-1.0,1.0
22,12,11,1.0,-1.0
22,2,20,1.0,-1.0
22,8,17,-1.0,1.0
22,23,27,-1.0,1.0
22,12,4,1.0,-1.0
22,4,17,-1.0,1.0
23,5,24,-1.0,1.0
23,26,7,-1.0,1.0
23,25,21,1.0,-1.0
23,0,23,-1.0,1.0
23,8,16,-1.0,1.0
23,27,11,-1.0,1.0
24,21,29,-1.0,1.0
24,11,8,-1.0,1.0
24,25,6,-1.0,1.0
24,25,18,1.0,-1.0
24,2,13,-1.0,1.0
24,0,11,1.0,-1.0
24,8,6,1.0,-1.0
24,28,10,-1.0,1.0
24,26,6,1.0,-1.0
24,8,11,1.0,-1.0
24,29,21,1.0,-1.0
25,24,11,1.0,-1.0
25,24,8,-1.0,1.0
25,28,0,-1.0,1.0
25,5,19,1.0,-1.0
25,26,25,1.0,-1.0
26,23,5,-1.0,1.0
26,25,8,-1.0,1.0
26,6,9,1.0,-1.0
26,23,26,1.0,-1.0
26,24,9,-1.0,1.0
26,4,8,1.0,-1.0
26,1,0,1.0,-1.0
26,12,19,-1.0,1.0
27,7,29,-1.0,1.0
27,9,3,1.0,-1.0
27,22,8,-1.0,1.0
27,17,11,-1.0,1.0
27,12,1,-1.0,1.0
27,2,24,-1.0,1.0
27,15,4,-1.0,1.0
28,8,14,1.0,-1.0
28,23,26,1.0,-1.0
28,4,21,-1.0,1.0
28,20,23,-1.0,1.0
28,24,20,1.0,-1.0
28,17,25,1.0,-1.0
29,16,21,1.0,-1.0
29,3,16,-1.0,1.0
29,27,21,-1.0,1.0
29,7,8,1.0,-1.0
29,19,8,1.0,-1.0
29,23,4,-1.0,1.0
29,6,23,-1.0,1.0
29,23,1,-1.0,1.0
29,27,18,1.0,-1.0
30,19,8,-1.0,1.0
30,27,16,1.0,-1.0
30,4,8,1.0,-1.0
30,5,12,-1.0,1.0
30,18,12,-1.0,1.0
30,19,4,-1.0,1.0
30,2,16,-1.0,1.0
30,28,22,-1.0,1.0
31,3,5,1.0,-1.0
31,17,5,-1.0,1.0
31,5,24,-1.0,1.0
31,6,9,1.0,-1.0
31,4,25,-1.0,1.0
31,28,8,1.0,-1.0
31,13,17,-1.0,1.0
32,10,1,1.0,-1.0
32,16,23,-1.0,1.0
32,9,25,-1.0,1.0
32,5,29,-1.0,1.0
32,15,7,-1.0,1.0
32,18,28,1.0,-1.0
32,29,4,-1.0,1.0
32,5,21,-1.0,1.0
32,27,2,-1.0,1.0
32,26,24,1.0,-1.0
